Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Новороссийск, Центральная"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747	УИК №3748	УИК №3749	УИК №3750	УИК №3797	УИК №3798	УИК №3799					
19	. Малышкин Олег Александрович	944	20	18	25	14	9	18	13	6	6	10	7	21	17	13	24	19	28	19	14	23	21	24	21	14	13	10	18	22	15	13	12	12	21	30	29	16	12	16	29	31	18	17	16	34	2	40	17	12	23	34	21	2	5					
		1.69%	1.65%	1.94%	2.17%	1.59%	1.06%	2.12%	1.79%	0.74%	0.74%	0.92%	1.09%	2.25%	1.94%	0.94%	1.87%	1.68%	2.43%	1.55%	1.18%	1.80%	1.65%	1.79%	1.97%	1.65%	1.34%	0.94%	1.44%	2.91%	1.21%	1.27%	1.29%	1.02%	2.19%	2.45%	1.83%	1.29%	1.10%	1.48%	2.22%	2.61%	1.80%	1.52%	1.92%	2.35%	0.79%	2.17%	1.24%	0.98%	2.73%	1.99%	3.00%	1.39%	1.22%					
20	. Миронов Сергей Михайлович	306	4	6	7	3	8	4	3	1	5	3	3	3	6	7	7	7	5	11	6	6	6	7	12	2	6	8	5	3	8	9	8	4	2	8	16	7	2	9	5	7	6	10	1	10	2	7	7	9	1	6	6	0	2					
		0.55%	0.33%	0.65%	0.61%	0.34%	0.94%	0.47%	0.41%	0.12%	0.61%	0.28%	0.47%	0.32%	0.68%	0.51%	0.55%	0.62%	0.43%	0.90%	0.51%	0.47%	0.47%	0.52%	1.12%	0.24%	0.62%	0.75%	0.40%	0.40%	0.64%	0.88%	0.86%	0.34%	0.21%	0.65%	1.01%	0.56%	0.18%	0.83%	0.38%	0.59%	0.60%	0.90%	0.12%	0.69%	0.79%	0.38%	0.51%	0.73%	0.12%	0.35%	0.86%	0.00%	0.49%					
21	. Путин Владимир Владимирович	41558	959	689	871	654	598	616	545	607	563	805	476	694	653	1012	909	835	860	888	904	974	966	981	788	616	720	782	937	555	872	723	642	913	694	873	1148	932	817	827	984	884	727	835	689	1128	213	1469	992	892	663	1210	527	117	330					
		74.31%	79.06%	74.33%	75.67%	74.23%	70.11%	72.39%	75.17%	74.48%	69.08%	74.26%	74.38%	74.46%	74.37%	73.07%	70.79%	73.63%	74.59%	72.49%	76.16%	76.33%	75.76%	73.05%	73.78%	72.47%	74.15%	73.36%	75.20%	73.41%	70.27%	70.67%	69.26%	77.50%	72.29%	71.44%	72.29%	75.10%	74.61%	76.36%	75.34%	74.29%	72.77%	74.75%	82.71%	77.95%	84.52%	79.84%	72.36%	72.82%	78.65%	70.80%	75.18%	81.25%	80.68%					
22	. Хакамада Ирина Муцуовна	2890	65	38	53	53	59	31	32	58	71	78	27	56	50	75	62	73	59	40	66	68	56	59	61	39	49	53	56	51	64	48	55	55	43	72	108	73	51	55	73	56	55	56	32	66	4	101	64	63	39	91	14	1	13					
		5.17%	5.36%	4.10%	4.60%	6.02%	6.92%	3.64%	4.41%	7.12%	8.71%	7.20%	4.22%	6.01%	5.69%	5.42%	4.83%	6.44%	5.12%	3.27%	5.56%	5.33%	4.39%	4.39%	5.71%	4.59%	5.05%	4.97%	4.49%	6.75%	5.16%	4.69%	5.93%	4.67%	4.48%	5.89%	6.80%	5.88%	4.66%	5.08%	5.59%	4.71%	5.51%	5.01%	3.84%	4.56%	1.59%	5.49%	4.67%	5.14%	4.63%	5.32%	2.00%	0.69%	3.18%					
23	. Харитонов Николай Михайлович	5980	95	96	132	103	108	119	88	79	102	118	73	104	92	148	168	101	116	172	128	108	149	185	126	97	106	136	150	82	191	124	128	112	128	132	149	116	134	108	116	117	130	121	52	79	24	117	166	160	72	168	4	17	34					
		10.69%	7.83%	10.36%	11.47%	11.69%	12.66%	13.98%	12.14%	9.69%	12.52%	10.89%	11.41%	11.16%	10.48%	10.69%	13.08%	8.91%	10.06%	14.04%	10.78%	8.46%	11.69%	13.78%	11.80%	11.41%	10.92%	12.76%	12.04%	10.85%	15.39%	12.12%	13.81%	9.51%	13.33%	10.80%	9.38%	9.35%	12.24%	9.97%	8.88%	9.83%	13.01%	10.83%	6.24%	5.46%	9.52%	6.36%	12.11%	13.06%	8.54%	9.83%	0.57%	11.81%	8.31%					
																																																												
24	Против всех	1897	31	29	18	15	31	18	22	31	28	29	27	25	25	57	50	42	36	40	24	46	29	31	9	24	28	27	43	19	44	44	48	24	27	53	58	47	44	34	51	40	29	35	14	73	2	63	60	40	22	74	122	2	13					
		3.39%	2.56%	3.13%	1.56%	1.70%	3.63%	2.12%	3.03%	3.80%	3.44%	2.68%	4.22%	2.68%	2.85%	4.12%	3.89%	3.70%	3.12%	3.27%	2.02%	3.61%	2.27%	2.31%	0.84%	2.82%	2.88%	2.53%	3.45%	2.51%	3.55%	4.30%	5.18%	2.04%	2.81%	4.34%	3.65%	3.79%	4.02%	3.14%	3.91%	3.36%	2.90%	3.13%	1.68%	5.04%	0.79%	3.42%	4.38%	3.27%	2.61%	4.33%	17.40%	1.39%	3.18%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
