Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Рославльская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271					
		2.25%	2.83%	1.91%	1.75%	2.88%	3.75%	2.77%	2.97%	3.67%	3.03%	0.85%	2.39%	1.67%	2.16%	3.01%	2.14%	1.93%	2.36%	1.30%	2.34%	3.05%	3.30%	3.51%	2.58%	2.64%	2.61%	1.95%	1.40%	2.46%	0.00%	3.40%	0.88%	1.02%	1.62%	0.26%	1.17%	1.33%	2.74%	1.90%	0.72%	0.40%	0.63%	1.32%	1.12%	1.01%	1.46%	2.48%	2.68%	0.38%	2.54%	1.04%	2.05%	0.96%	2.97%					
23	. Харитонов Николай Михайлович	8962	245	164	236	303	104	192	224	368	168	131	219	207	135	346	271	115	262	300	201	258	276	327	314	330	280	56	139	91	82	109	82	88	66	212	70	63	316	35	51	54	20	75	190	51	110	279	208	121	66	75	77	54	146					
		27.08%	28.89%	31.36%	29.54%	26.44%	29.97%	28.03%	33.23%	29.35%	28.24%	27.81%	27.58%	28.75%	29.09%	29.73%	27.60%	22.16%	29.41%	35.55%	31.36%	31.50%	23.35%	26.06%	27.02%	24.23%	28.08%	21.88%	24.34%	32.04%	38.32%	28.53%	23.98%	44.90%	26.72%	18.58%	16.36%	42.00%	29.81%	16.59%	12.17%	21.43%	12.66%	19.79%	35.38%	12.85%	32.07%	31.49%	26.50%	23.22%	16.75%	19.53%	22.58%	17.36%	39.46%					
																																																												
24	Против всех	1083	28	11	26	32	10	26	32	105	23	12	17	25	24	62	23	10	27	28	30	36	60	46	45	64	38	6	14	2	2	8	2	5	11	7	6	1	31	13	4	2	2	19	8	11	6	27	20	4	13	7	1	6	5					
		3.27%	3.30%	2.10%	3.25%	2.79%	2.88%	3.80%	4.75%	8.37%	3.87%	2.55%	2.14%	3.47%	5.17%	5.33%	2.34%	1.93%	3.03%	3.32%	4.68%	4.40%	5.08%	3.67%	3.87%	4.70%	3.81%	2.34%	2.45%	0.70%	0.93%	2.09%	0.58%	2.55%	4.45%	0.61%	1.40%	0.67%	2.92%	6.16%	0.95%	0.79%	1.27%	5.01%	1.49%	2.77%	1.75%	3.05%	2.55%	0.77%	3.30%	1.82%	0.29%	1.93%	1.35%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
