Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Буинская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250					
11	Число полученных открепительных  удостоверений	405	15	6	5	4	6	4	5	5	4	4	8	5	7	8	10	13	5	4	7	4	7	4	5	5	5	5	4	4	4	5	5	4	4	8	6	4	4	7	9	8	7	4	3	10	10	4	5	8	6	5	4	4	8	4	6	5	6	4	5	5	8	5	5	5	15	8	10					
12	Число выданных открепительных удостоверений	185	15	6	5	1	2	0	4	0	0	0	1	1	3	8	10	12	5	4	2	0	3	2	0	0	0	0	0	4	0	1	2	4	1	4	5	1	0	4	5	4	0	0	1	4	7	0	1	6	4	0	1	0	8	1	2	0	1	0	0	0	2	4	1	0	15	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	6	0	2	0	1	0	1	0	1	1	0	0	2	2	0	1	0	2	0	1	1	0	1	3	0	1	0	0	1	2	2	3	1	1	2	0	0	7	0	2	1	0	2	0	1	0	0	3	2	0	3	1	7	0	3	1	3	0	2	1	3	3	2	1	1	1	4					
14	Число неиспользованных открепительных удостоверений	220	0	0	0	3	4	4	1	5	4	4	7	4	4	0	0	1	0	0	5	4	4	2	5	5	5	5	4	0	4	4	3	0	3	4	1	3	4	3	4	4	7	4	2	6	3	4	4	2	2	5	3	4	0	3	4	5	5	4	5	5	6	1	4	5	0	8	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	. Глазьев Сергей Юрьевич	27	4	0	3	0	1	0	0	2	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0					
		0.14%	0.58%	0.00%	0.95%	0.00%	0.20%	0.00%	0.00%	0.63%	0.00%	0.00%	0.33%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	3.12%	0.00%	0.00%	0.24%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	16	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
		0.08%	0.29%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.65%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	15	2	1	1	0	0	1	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.29%	0.19%	0.32%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.42%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19327	551	522	303	181	473	100	261	314	198	82	586	375	444	224	161	468	289	87	876	145	525	186	306	267	289	183	73	190	99	163	154	250	80	196	453	87	117	197	480	101	604	79	132	210	430	154	195	1094	313	209	135	61	613	81	410	128	392	73	365	382	504	113	213	216	507	141	537					
		97.98%	80.32%	98.86%	96.19%	97.84%	96.73%	98.04%	96.31%	99.05%	99.50%	100.00%	97.99%	100.00%	99.55%	97.82%	97.58%	99.36%	98.30%	98.86%	99.10%	100.00%	100.00%	96.37%	95.03%	99.26%	98.30%	97.34%	100.00%	100.00%	100.00%	99.39%	99.35%	96.15%	98.77%	97.51%	99.56%	98.86%	100.00%	100.00%	98.36%	99.02%	98.53%	100.00%	100.00%	100.00%	98.17%	100.00%	99.49%	98.03%	99.05%	98.58%	98.54%	95.31%	99.03%	98.78%	99.27%	99.22%	99.24%	100.00%	99.18%	99.74%	100.00%	99.12%	99.07%	89.63%	100.00%	100.00%	98.53%					
22	. Хакамада Ирина Муцуовна	25	1	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	3					
		0.13%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.44%	0.61%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.50%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	1.66%	0.00%	0.00%	0.55%					
23	. Харитонов Николай Михайлович	267	122	5	2	2	14	1	10	1	1	0	4	0	2	1	2	1	3	1	3	0	0	6	5	0	5	3	0	0	0	0	0	6	1	1	1	1	0	0	6	0	0	0	0	0	5	0	0	16	0	3	2	1	6	1	2	1	1	0	2	0	0	1	0	14	0	0	2					
		1.35%	17.78%	0.95%	0.63%	1.08%	2.86%	0.98%	3.69%	0.32%	0.50%	0.00%	0.67%	0.00%	0.45%	0.44%	1.21%	0.21%	1.02%	1.14%	0.34%	0.00%	0.00%	3.11%	1.55%	0.00%	1.70%	1.60%	0.00%	0.00%	0.00%	0.00%	0.00%	2.31%	1.23%	0.50%	0.22%	1.14%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	1.43%	0.00%	1.42%	1.46%	1.56%	0.97%	1.22%	0.48%	0.78%	0.25%	0.00%	0.54%	0.00%	0.00%	0.88%	0.00%	5.81%	0.00%	0.00%	0.37%					
																																																																										
24	Против всех	13	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3					
		0.07%	0.00%	0.00%	0.63%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.83%	0.00%	0.00%	0.55%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
