Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Миякинская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793					
		0.83%	2.57%	0.41%	0.00%	0.00%	1.42%	1.37%	0.57%	1.28%	0.30%	0.60%	0.25%	0.00%	0.60%	0.78%	1.64%	0.85%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.26%	0.33%	1.69%	0.00%	0.66%	0.21%	1.09%	0.00%	0.59%	0.43%	0.00%	1.39%	1.40%	2.26%	0.86%	1.56%	2.00%	1.09%	0.00%	0.97%	0.00%	0.56%	0.96%	0.80%	0.20%	0.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11516	257	225	251	140	162	227	125	181	217	122	219	293	276	453	163	255	221	250	189	108	119	74	215	187	66	454	198	350	286	52	196	252	80	570	535	270	310	393	276	409	215	288	174	257	91	208	341	316					
		64.75%	60.05%	91.46%	84.23%	66.99%	57.45%	62.19%	71.43%	57.83%	64.78%	72.62%	55.73%	74.94%	83.38%	70.34%	89.07%	71.83%	61.73%	87.11%	77.46%	68.79%	91.54%	62.18%	55.13%	62.33%	55.93%	87.14%	65.78%	72.46%	51.81%	57.14%	57.48%	54.08%	58.82%	56.55%	57.65%	50.85%	53.45%	55.59%	50.18%	63.51%	63.42%	69.73%	71.31%	72.39%	87.50%	55.47%	68.61%	78.80%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	42	1	0	0	0	0	1	0	4	1	0	0	1	1	1	0	1	0	0	0	0	0	0	3	1	1	0	0	0	3	0	1	1	0	5	3	2	1	0	0	2	1	2	2	0	0	2	1	0					
		0.24%	0.23%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	1.28%	0.30%	0.00%	0.00%	0.26%	0.30%	0.16%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.33%	0.85%	0.00%	0.00%	0.00%	0.54%	0.00%	0.29%	0.21%	0.00%	0.50%	0.32%	0.38%	0.17%	0.00%	0.00%	0.31%	0.29%	0.48%	0.82%	0.00%	0.00%	0.53%	0.20%	0.00%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
