Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Добровская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
11	Число полученных открепительных  удостоверений	510	10	20	20	10	10	20	10	10	20	20	10	20	30	10	10	20	20	20	20	20	20	20	10	10	30	30	30	30					
12	Число выданных открепительных удостоверений	96	0	3	3	0	0	2	0	2	2	7	0	5	21	2	2	0	0	1	7	1	3	2	0	0	12	6	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	1	7	10	3	4	12	18	7	9	4	1	5	9	3	3	5	0	0	2	1	3	3	5	1	11	3	1	8					
14	Число неиспользованных открепительных удостоверений	414	10	17	17	10	10	18	10	8	18	13	10	15	9	8	8	20	20	19	13	19	17	18	10	10	18	24	25	20					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	372	10	19	12	4	4	16	5	11	7	20	12	7	30	7	6	22	20	14	15	2	11	8	12	2	33	19	18	26					
		2.28%	3.72%	2.87%	1.52%	2.12%	2.02%	2.57%	2.40%	2.38%	1.15%	3.21%	2.67%	0.92%	2.90%	1.54%	1.62%	3.87%	2.98%	2.64%	1.28%	0.62%	1.83%	1.81%	1.47%	1.16%	3.25%	3.54%	3.11%	2.26%					
19	. Малышкин Олег Александрович	363	9	16	22	6	1	6	7	5	9	18	4	12	33	9	5	27	6	17	17	2	19	17	14	4	22	9	11	36					
		2.23%	3.35%	2.42%	2.80%	3.17%	0.51%	0.96%	3.37%	1.08%	1.48%	2.89%	0.89%	1.58%	3.19%	1.98%	1.35%	4.75%	0.89%	3.20%	1.45%	0.62%	3.16%	3.85%	1.72%	2.33%	2.17%	1.68%	1.90%	3.12%					
20	. Миронов Сергей Михайлович	107	2	1	10	0	3	5	3	2	3	3	3	3	10	2	1	10	0	3	4	3	3	6	10	0	7	4	2	4					
		0.66%	0.74%	0.15%	1.27%	0.00%	1.52%	0.80%	1.44%	0.43%	0.49%	0.48%	0.67%	0.39%	0.97%	0.44%	0.27%	1.76%	0.00%	0.56%	0.34%	0.92%	0.50%	1.36%	1.23%	0.00%	0.69%	0.74%	0.35%	0.35%					
21	. Путин Владимир Владимирович	11547	223	466	610	144	125	471	121	368	418	438	330	546	615	305	289	314	449	336	859	201	457	278	593	131	750	385	429	896					
		70.91%	82.90%	70.39%	77.51%	76.19%	63.13%	75.60%	58.17%	79.65%	68.86%	70.30%	73.33%	71.84%	59.42%	67.03%	77.90%	55.18%	66.92%	63.28%	73.11%	61.85%	76.04%	62.90%	72.67%	76.16%	73.89%	71.69%	74.22%	77.78%					
22	. Хакамада Ирина Муцуовна	225	0	4	9	1	1	9	4	7	5	13	5	10	16	12	4	9	8	5	10	6	3	6	8	4	25	13	10	18					
		1.38%	0.00%	0.60%	1.14%	0.53%	0.51%	1.44%	1.92%	1.52%	0.82%	2.09%	1.11%	1.32%	1.55%	2.64%	1.08%	1.58%	1.19%	0.94%	0.85%	1.85%	0.50%	1.36%	0.98%	2.33%	2.46%	2.42%	1.73%	1.56%					
23	. Харитонов Николай Михайлович	3089	24	131	101	29	58	98	62	60	150	115	87	159	259	101	50	166	167	145	231	95	97	110	155	23	124	84	89	119					
		18.97%	8.92%	19.79%	12.83%	15.34%	29.29%	15.73%	29.81%	12.99%	24.71%	18.46%	19.33%	20.92%	25.02%	22.20%	13.48%	29.17%	24.89%	27.31%	19.66%	29.23%	16.14%	24.89%	19.00%	13.37%	12.22%	15.64%	15.40%	10.33%					
																																			
24	Против всех	381	0	17	18	3	3	14	3	7	9	14	6	11	51	5	12	9	14	9	17	5	11	4	17	8	45	15	16	38					
		2.34%	0.00%	2.57%	2.29%	1.59%	1.52%	2.25%	1.44%	1.52%	1.48%	2.25%	1.33%	1.45%	4.93%	1.10%	3.23%	1.58%	2.09%	1.69%	1.45%	1.54%	1.83%	0.90%	2.08%	4.65%	4.43%	2.79%	2.77%	3.30%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
