Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Ленинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
		84.07%	92.26%	90.09%	70.83%	91.25%	88.05%	92.03%	82.74%	85.94%	83.50%	90.53%	90.98%	82.20%	92.34%	93.03%	81.00%	73.51%	77.58%	81.02%	89.29%	75.82%	82.75%	85.05%	92.31%	80.29%	83.45%	81.97%	81.77%	89.16%	87.44%	91.97%	78.81%	74.49%	86.95%	78.92%	71.06%	76.78%	74.34%	80.12%	81.38%	86.29%	83.39%	92.05%	92.05%	91.78%	92.24%	97.72%					
22	. Хакамада Ирина Муцуовна	1087	4	12	55	12	16	19	17	27	18	2	11	13	8	7	45	42	63	8	19	57	37	28	12	42	50	30	46	20	16	15	38	43	23	44	32	32	53	9	29	11	16	0	2	0	4	0					
		1.55%	0.18%	0.79%	3.38%	0.63%	0.86%	1.33%	1.47%	2.62%	1.61%	0.11%	0.62%	1.13%	0.39%	0.69%	2.46%	1.98%	2.99%	0.99%	0.90%	5.22%	2.96%	1.92%	0.82%	2.79%	2.54%	1.61%	2.31%	1.03%	0.80%	0.84%	3.10%	2.03%	1.22%	2.18%	1.81%	1.81%	3.12%	0.51%	1.50%	0.51%	2.53%	0.00%	0.28%	0.00%	1.19%	0.00%					
23	. Харитонов Николай Михайлович	6058	63	112	239	91	98	35	111	54	147	139	114	135	128	40	135	324	261	78	124	126	91	91	41	98	134	161	240	146	146	88	105	324	129	217	318	268	209	254	171	148	38	6	43	15	13	10					
		8.63%	2.87%	7.35%	14.71%	4.74%	5.25%	2.45%	9.58%	5.24%	13.11%	7.74%	6.47%	11.78%	6.17%	3.93%	7.39%	15.30%	12.40%	9.68%	5.88%	11.54%	7.27%	6.24%	2.81%	6.50%	6.80%	8.61%	12.05%	7.54%	7.27%	4.94%	8.56%	15.30%	6.87%	10.74%	17.98%	15.18%	12.30%	14.26%	8.87%	6.88%	6.01%	2.27%	6.11%	4.11%	3.88%	1.75%					
																																																					
24	Против всех	1078	15	8	75	18	26	28	17	19	4	4	3	8	5	0	44	49	60	7	24	7	25	19	13	75	24	43	22	5	9	22	36	39	23	38	50	30	46	15	51	41	22	1	2	2	3	1					
		1.54%	0.68%	0.52%	4.62%	0.94%	1.39%	1.96%	1.47%	1.84%	0.36%	0.22%	0.17%	0.70%	0.24%	0.00%	2.41%	2.31%	2.85%	0.87%	1.14%	0.64%	2.00%	1.30%	0.89%	4.98%	1.22%	2.30%	1.10%	0.26%	0.45%	1.24%	2.93%	1.84%	1.22%	1.88%	2.83%	1.70%	2.71%	0.84%	2.65%	1.91%	3.48%	0.38%	0.28%	0.55%	0.90%	0.18%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
