Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Волоконовская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440					
12	Число выданных открепительных удостоверений	77	7	10	10	1	0	0	3	4	6	5	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	1	0	5	0	1	2	1	0	1	0	6	1	3	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	0	6	4	3	2	2	2	7	2	3	1	0	0	1	1	0	1	4	0	2	0	1	0	0	0	0	0	2	1	0	1	1	1	0	0	2	0	3	0	0	3	0	2					
14	Число неиспользованных открепительных удостоверений	222	13	10	10	14	20	10	11	16	14	0	4	4	3	3	1	0	3	5	4	3	1	5	3	4	3	3	3	5	3	3	2	4	4	4	3	0	0	7	3	4	3	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	657	53	57	60	19	20	19	36	57	41	7	20	3	0	1	0	23	7	15	25	4	7	21	2	6	5	3	1	20	11	5	12	19	5	6	5	5	2	22	2	8	10	3	10					
		2.80%	3.85%	4.88%	4.25%	2.17%	1.81%	2.39%	3.83%	3.84%	2.76%	1.18%	3.56%	0.95%	0.00%	0.88%	0.00%	5.00%	4.40%	3.13%	3.47%	2.61%	3.78%	3.22%	0.82%	1.64%	2.75%	0.92%	0.38%	2.66%	3.70%	1.44%	3.33%	2.95%	1.35%	0.83%	1.51%	0.99%	1.71%	3.94%	2.08%	2.47%	3.64%	1.37%	1.67%					
19	. Малышкин Олег Александрович	1164	72	61	73	63	81	45	40	111	106	21	21	5	16	6	8	27	3	16	32	13	4	16	7	9	10	5	3	26	13	23	25	17	7	38	9	18	5	25	2	14	9	12	47					
		4.96%	5.23%	5.23%	5.17%	7.20%	7.35%	5.67%	4.26%	7.48%	7.14%	3.53%	3.74%	1.58%	5.39%	5.26%	3.60%	5.87%	1.89%	3.34%	4.44%	8.50%	2.16%	2.45%	2.86%	2.47%	5.49%	1.53%	1.13%	3.46%	4.38%	6.63%	6.94%	2.64%	1.89%	5.27%	2.72%	3.56%	4.27%	4.48%	2.08%	4.32%	3.27%	5.48%	7.85%					
20	. Миронов Сергей Михайлович	196	7	19	8	4	15	12	7	12	20	1	6	1	2	0	1	3	0	8	5	1	0	6	3	1	1	1	1	5	0	1	0	0	7	6	0	5	0	4	1	6	9	3	4					
		0.84%	0.51%	1.63%	0.57%	0.46%	1.36%	1.51%	0.75%	0.81%	1.35%	0.17%	1.07%	0.32%	0.67%	0.00%	0.45%	0.65%	0.00%	1.67%	0.69%	0.65%	0.00%	0.92%	1.22%	0.27%	0.55%	0.31%	0.38%	0.67%	0.00%	0.29%	0.00%	0.00%	1.89%	0.83%	0.00%	0.99%	0.00%	0.72%	1.04%	1.85%	3.27%	1.37%	0.67%					
21	. Путин Владимир Владимирович	10551	616	430	557	428	457	277	464	518	537	285	332	236	156	45	126	182	72	203	293	89	86	222	129	120	102	210	119	423	144	207	197	402	171	265	178	226	47	268	44	138	142	109	299					
		45.00%	44.73%	36.85%	39.48%	48.91%	41.47%	34.89%	49.41%	34.91%	36.19%	47.90%	59.07%	74.68%	52.53%	39.47%	56.76%	39.57%	45.28%	42.38%	40.64%	58.17%	46.49%	34.00%	52.65%	32.88%	56.04%	64.22%	44.74%	56.32%	48.48%	59.65%	54.72%	62.52%	46.22%	36.75%	53.78%	44.75%	40.17%	48.03%	45.83%	42.59%	51.64%	49.77%	49.92%					
22	. Хакамада Ирина Муцуовна	422	36	27	27	14	26	10	27	27	29	12	13	4	5	3	2	7	2	10	6	0	4	13	5	8	1	3	5	13	6	2	10	5	6	4	2	3	0	10	3	13	8	4	7					
		1.80%	2.61%	2.31%	1.91%	1.60%	2.36%	1.26%	2.88%	1.82%	1.95%	2.02%	2.31%	1.27%	1.68%	2.63%	0.90%	1.52%	1.26%	2.09%	0.83%	0.00%	2.16%	1.99%	2.04%	2.19%	0.55%	0.92%	1.88%	1.73%	2.02%	0.58%	2.78%	0.78%	1.62%	0.55%	0.60%	0.59%	0.00%	1.79%	3.12%	4.01%	2.91%	1.83%	1.17%					
23	. Харитонов Николай Михайлович	9384	518	494	614	285	454	380	326	670	645	243	154	61	103	54	77	186	72	210	346	45	76	348	92	214	59	90	134	238	104	106	106	178	170	385	133	216	47	200	43	124	92	84	208					
		40.02%	37.62%	42.33%	43.52%	32.57%	41.20%	47.86%	34.72%	45.15%	43.46%	40.84%	27.40%	19.30%	34.68%	47.37%	34.68%	40.43%	45.28%	43.84%	47.99%	29.41%	41.08%	53.29%	37.55%	58.63%	32.42%	27.52%	50.38%	31.69%	35.02%	30.55%	29.44%	27.68%	45.95%	53.40%	40.18%	42.77%	40.17%	35.84%	44.79%	38.27%	33.45%	38.36%	34.72%					
																																																		
24	Против всех	851	69	67	56	58	41	44	32	84	93	23	13	2	14	3	7	11	2	15	7	1	6	22	2	5	4	3	1	20	15	3	9	19	4	8	2	13	6	27	1	16	2	4	17					
		3.63%	5.01%	5.74%	3.97%	6.63%	3.72%	5.54%	3.41%	5.66%	6.27%	3.87%	2.31%	0.63%	4.71%	2.63%	3.15%	2.39%	1.26%	3.13%	0.97%	0.65%	3.24%	3.37%	0.82%	1.37%	2.20%	0.92%	0.38%	2.66%	5.05%	0.86%	2.50%	2.95%	1.08%	1.11%	0.60%	2.57%	5.13%	4.84%	1.04%	4.94%	0.73%	1.83%	2.84%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
