Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    район Орехово-Борисово Южное																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881					
11	Число полученных открепительных  удостоверений	1825	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	65	50	50	50	50	50	50	50	50	50	50	50	60	50	50	50					
12	Число выданных открепительных удостоверений	1294	43	25	27	44	28	39	37	23	29	47	44	27	39	33	40	31	42	37	41	24	50	36	45	41	35	27	33	38	41	32	46	24	48	36	31	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	906	66	34	24	29	27	15	12	21	40	16	41	18	18	15	46	34	21	19	26	15	11	19	21	39	21	18	22	29	22	26	14	36	32	23	25	11					
14	Число неиспользованных открепительных удостоверений	531	7	25	23	6	22	11	13	27	21	3	6	23	11	17	10	19	8	13	9	26	15	14	5	9	15	23	17	12	9	18	4	26	12	14	19	19					
15	"Число открепительных удостоверений, выданных в ТИК"	67	3	4	3	4	0	2	3	1	5	2	4	3	4	4	1	2	2	3	1	2	2	1	2	1	1	0	0	0	0	1	0	3	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2790	88	103	91	108	38	77	81	72	50	81	110	82	64	80	84	85	78	99	83	90	70	66	78	82	83	56	63	63	66	63	66	77	66	98	64	85					
		5.57%	5.97%	6.71%	6.10%	6.14%	3.51%	6.83%	6.21%	6.49%	3.93%	6.16%	6.44%	4.91%	4.29%	5.28%	6.14%	7.35%	6.29%	6.90%	6.24%	7.31%	4.64%	4.89%	5.42%	5.51%	5.76%	4.33%	4.57%	5.04%	4.24%	4.30%	4.56%	5.62%	4.82%	7.39%	4.98%	5.48%					
19	. Малышкин Олег Александрович	694	22	13	20	18	7	22	16	10	15	24	25	23	11	21	21	10	15	11	26	29	9	17	18	15	18	26	27	20	29	28	32	21	19	16	17	23					
		1.38%	1.49%	0.85%	1.34%	1.02%	0.65%	1.95%	1.23%	0.90%	1.18%	1.83%	1.46%	1.38%	0.74%	1.39%	1.54%	0.87%	1.21%	0.77%	1.95%	2.35%	0.60%	1.26%	1.25%	1.01%	1.25%	2.01%	1.96%	1.60%	1.86%	1.91%	2.21%	1.53%	1.39%	1.21%	1.32%	1.48%					
20	. Миронов Сергей Михайлович	321	8	7	7	5	6	6	11	6	8	14	14	14	6	6	10	8	9	6	7	7	9	12	9	12	14	10	3	5	8	10	15	11	19	10	2	7					
		0.64%	0.54%	0.46%	0.47%	0.28%	0.55%	0.53%	0.84%	0.54%	0.63%	1.07%	0.82%	0.84%	0.40%	0.40%	0.73%	0.69%	0.73%	0.42%	0.53%	0.57%	0.60%	0.89%	0.62%	0.81%	0.97%	0.77%	0.22%	0.40%	0.51%	0.68%	1.04%	0.80%	1.39%	0.75%	0.16%	0.45%					
21	. Путин Владимир Владимирович	35630	1045	1075	991	1191	806	771	914	796	937	901	1147	1241	1178	1011	974	764	820	995	943	855	1076	965	1053	1083	1005	944	1059	878	1136	1063	1082	983	952	920	954	1122					
		71.08%	70.90%	70.08%	66.47%	67.67%	74.35%	68.35%	70.09%	71.78%	73.72%	68.57%	67.19%	74.36%	78.95%	66.73%	71.25%	66.09%	66.13%	69.34%	70.90%	69.40%	71.40%	71.53%	73.12%	72.73%	69.74%	73.07%	76.74%	70.24%	72.96%	72.56%	74.83%	71.75%	69.54%	69.33%	74.24%	72.34%					
22	. Хакамада Ирина Муцуовна	3244	110	105	141	119	60	93	96	80	71	104	105	96	60	126	97	82	85	94	112	62	108	86	102	68	97	59	74	68	115	74	74	78	118	103	60	62					
		6.47%	7.46%	6.84%	9.46%	6.76%	5.54%	8.24%	7.36%	7.21%	5.59%	7.91%	6.15%	5.75%	4.02%	8.32%	7.10%	7.09%	6.85%	6.55%	8.42%	5.03%	7.17%	6.38%	7.08%	4.57%	6.73%	4.57%	5.36%	5.44%	7.39%	5.05%	5.12%	5.69%	8.62%	7.76%	4.67%	4.00%					
23	. Харитонов Николай Михайлович	3594	81	121	114	153	92	85	89	79	85	87	168	108	80	115	75	111	136	125	65	89	146	108	93	109	104	78	81	98	102	97	76	81	83	73	97	110					
		7.17%	5.50%	7.89%	7.65%	8.69%	8.49%	7.54%	6.83%	7.12%	6.69%	6.62%	9.84%	6.47%	5.36%	7.59%	5.49%	9.60%	10.97%	8.71%	4.89%	7.22%	9.69%	8.01%	6.46%	7.32%	7.22%	6.04%	5.87%	7.84%	6.55%	6.62%	5.26%	5.91%	6.06%	5.50%	7.55%	7.09%					
																																											
24	Против всех	3410	99	100	106	148	60	68	90	63	79	88	129	92	73	144	98	91	87	94	86	96	89	82	79	101	97	106	64	100	89	116	91	104	99	98	75	129					
		6.80%	6.72%	6.52%	7.11%	8.41%	5.54%	6.03%	6.90%	5.68%	6.22%	6.70%	7.56%	5.51%	4.89%	9.50%	7.17%	7.87%	7.02%	6.55%	6.47%	7.79%	5.91%	6.08%	5.49%	6.78%	6.73%	8.20%	4.64%	8.00%	5.72%	7.92%	6.29%	7.59%	7.23%	7.39%	5.84%	8.32%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
