Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Тверь, Пролетарская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188					
11	Число полученных открепительных  удостоверений	1279	30	30	30	30	30	30	30	100	30	150	30	30	49	30	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	0	0	0	0					
12	Число выданных открепительных удостоверений	560	14	11	19	10	3	8	11	45	16	80	7	5	25	5	9	18	16	17	14	14	13	19	21	12	9	12	50	5	4	5	7	14	18	24	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	412	20	14	7	10	5	5	5	8	9	33	12	12	11	9	2	14	17	18	11	10	0	8	53	9	12	9	5	12	2	20	13	16	11	6	2	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	719	16	19	11	20	27	22	19	55	14	70	23	25	24	25	21	12	14	13	16	16	17	11	9	18	21	18	0	25	26	25	23	16	12	6	30	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	120	3	4	7	1	10	2	6	1	5	3	1	4	3	5	1	1	3	8	2	2	2	3	2	3	2	2	2	4	5	8	3	9	0	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	2093	91	64	62	83	14	42	42	55	53	66	33	34	94	48	90	110	61	68	68	85	48	60	57	56	99	75	45	40	29	60	50	34	73	81	7	4	3	1	8					
		5.49%	6.20%	5.22%	5.39%	6.04%	2.42%	4.55%	4.44%	5.05%	4.45%	4.68%	6.15%	4.85%	7.87%	5.59%	7.43%	8.26%	5.34%	5.14%	5.24%	6.82%	4.70%	5.09%	4.37%	4.22%	7.08%	6.09%	4.49%	5.12%	4.69%	5.57%	4.94%	3.66%	6.10%	6.62%	5.30%	2.68%	1.83%	1.28%	7.77%					
19	. Малышкин Олег Александрович	580	14	8	17	14	8	15	16	17	12	12	13	20	16	14	18	20	11	16	22	17	16	25	22	24	25	17	27	17	12	17	18	17	21	12	4	0	2	4	0					
		1.52%	0.95%	0.65%	1.48%	1.02%	1.38%	1.62%	1.69%	1.56%	1.01%	0.85%	2.42%	2.85%	1.34%	1.63%	1.49%	1.50%	0.96%	1.21%	1.70%	1.36%	1.57%	2.12%	1.69%	1.81%	1.79%	1.38%	2.69%	2.18%	1.94%	1.58%	1.78%	1.83%	1.75%	0.98%	3.03%	0.00%	1.22%	5.13%	0.00%					
20	. Миронов Сергей Михайлович	200	5	6	4	4	4	5	8	1	5	5	3	3	6	15	4	10	3	9	9	12	5	7	6	9	8	2	5	5	2	1	5	5	2	7	0	4	6	0	0					
		0.52%	0.34%	0.49%	0.35%	0.29%	0.69%	0.54%	0.84%	0.09%	0.42%	0.35%	0.56%	0.43%	0.50%	1.75%	0.33%	0.75%	0.26%	0.68%	0.69%	0.96%	0.49%	0.59%	0.46%	0.68%	0.57%	0.16%	0.50%	0.64%	0.32%	0.09%	0.49%	0.54%	0.17%	0.57%	0.00%	2.68%	3.66%	0.00%	0.00%					
21	. Путин Владимир Владимирович	25817	980	823	767	923	443	682	679	764	820	1028	367	458	722	580	748	857	757	890	865	845	680	786	928	902	864	764	719	528	439	760	697	673	821	841	88	104	119	48	58					
		67.71%	66.76%	67.18%	66.64%	67.13%	76.64%	73.81%	71.70%	70.16%	68.91%	72.86%	68.34%	65.34%	60.47%	67.60%	61.77%	64.34%	66.29%	67.22%	66.69%	67.82%	66.54%	66.72%	71.17%	67.92%	61.76%	62.01%	71.76%	67.61%	71.04%	70.50%	68.81%	72.52%	68.59%	68.77%	66.67%	69.80%	72.56%	61.54%	56.31%					
22	. Хакамада Ирина Муцуовна	2313	100	89	82	117	26	46	44	70	87	60	37	39	86	50	75	77	98	105	71	85	48	76	61	77	71	59	56	55	35	51	38	37	82	99	6	9	2	4	3					
		6.07%	6.81%	7.27%	7.12%	8.51%	4.50%	4.98%	4.65%	6.43%	7.31%	4.25%	6.89%	5.56%	7.20%	5.83%	6.19%	5.78%	8.58%	7.93%	5.47%	6.82%	4.70%	6.45%	4.68%	5.80%	5.08%	4.79%	5.59%	7.04%	5.66%	4.73%	3.75%	3.99%	6.85%	8.09%	4.55%	6.04%	1.22%	5.13%	2.91%					
23	. Харитонов Николай Михайлович	5176	203	177	167	165	50	97	110	121	145	148	62	107	188	97	217	190	149	181	180	142	177	175	167	191	268	245	83	101	82	157	153	135	127	107	20	25	32	9	26					
		13.57%	13.83%	14.45%	14.51%	12.00%	8.65%	10.50%	11.62%	11.11%	12.18%	10.49%	11.55%	15.26%	15.75%	11.31%	17.92%	14.26%	13.05%	13.67%	13.88%	11.40%	17.32%	14.86%	12.81%	14.38%	19.16%	19.89%	8.28%	12.93%	13.27%	14.56%	15.10%	14.55%	10.61%	8.75%	15.15%	16.78%	19.51%	11.54%	25.24%					
																																														
24	Против всех	1757	75	52	41	63	25	36	35	58	63	79	21	36	81	46	52	56	60	54	66	58	42	44	59	62	59	67	64	33	16	25	43	20	70	73	4	3	0	8	8					
		4.61%	5.11%	4.24%	3.56%	4.58%	4.33%	3.90%	3.70%	5.33%	5.29%	5.60%	3.91%	5.14%	6.78%	5.36%	4.29%	4.20%	5.25%	4.08%	5.09%	4.65%	4.11%	3.74%	4.52%	4.67%	4.22%	5.44%	6.39%	4.23%	2.59%	2.32%	4.24%	2.16%	5.85%	5.97%	3.03%	2.01%	0.00%	10.26%	7.77%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
