Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Ачхой-Мартановская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
		3.56%	4.23%	0.80%	2.07%	7.04%	2.65%	2.14%	4.43%	4.02%	4.56%	2.50%	0.44%	1.16%	3.22%	0.96%	1.10%	10.22%	0.29%	0.35%	11.57%	11.10%	3.91%	7.69%	21.36%	0.47%					
23	. Харитонов Николай Михайлович	1048	270	25	10	21	29	26	39	35	21	11	9	20	18	8	13	49	12	135	71	65	50	8	2	101					
		2.66%	9.44%	1.33%	0.90%	1.92%	2.08%	1.74%	2.83%	3.51%	1.33%	0.76%	0.57%	0.89%	0.87%	0.41%	0.65%	2.61%	0.69%	6.67%	3.23%	6.56%	3.32%	1.66%	0.62%	3.15%					
																															
24	Против всех	395	51	6	11	19	10	26	14	12	0	10	4	0	17	2	6	30	7	39	28	18	15	13	9	48					
		1.00%	1.78%	0.32%	0.99%	1.74%	0.72%	1.74%	1.02%	1.20%	0.00%	0.69%	0.25%	0.00%	0.82%	0.10%	0.30%	1.60%	0.40%	1.93%	1.28%	1.82%	0.99%	2.70%	2.79%	1.50%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
