Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Мензелинская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026					
11	Число полученных открепительных  удостоверений	369	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	41	15	16	10	10	10	10	10	10	22	10					
12	Число выданных открепительных удостоверений	229	1	0	0	1	5	0	1	0	0	0	2	2	0	2	5	1	5	0	0	0	5	0	5	5	2	1	1	5	1	3	0	1	0	5	0	0	0	0	10	41	15	16	10	10	10	8	10	10	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	297	1	0	0	1	1	0	1	1	1	0	1	0	2	1	1	0	7	1	1	2	1	1	0	0	1	1	0	1	0	1	0	0	0	4	3	0	0	0	1	7	4	3	15	205	2	2	7	5	6	5					
14	Число неиспользованных открепительных удостоверений	140	4	5	5	4	0	5	4	5	5	5	3	3	5	3	0	4	5	5	5	5	0	5	0	0	3	4	4	0	4	2	5	4	5	0	5	5	5	5	0	0	0	0	0	0	0	2	0	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	2	1	2	0	1	2	4	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	124	0	0	0	0	5	0	0	0	0	0	1	0	0	0	2	0	8	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	4	21	22	14	2	1	2	0	5	3	0	26					
		0.60%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.34%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	1.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.24%	0.41%	1.63%	2.95%	2.13%	0.19%	0.11%	0.22%	0.00%	0.81%	0.34%	0.00%	2.84%					
19	. Малышкин Олег Александрович	73	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	7	0	11	1	2	2	0	1	0	16	17					
		0.35%	0.00%	0.00%	0.00%	0.00%	0.49%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.54%	0.00%	1.67%	0.10%	0.22%	0.22%	0.00%	0.16%	0.00%	1.98%	1.85%					
20	. Миронов Сергей Михайлович	85	0	0	0	0	3	0	0	0	0	0	2	0	0	1	8	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	3	9	0	12	0	8	1	0	4	0	12	16					
		0.41%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.48%	1.38%	0.00%	0.16%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.31%	0.70%	0.00%	1.82%	0.00%	0.88%	0.11%	0.00%	0.65%	0.00%	1.48%	1.74%					
21	. Путин Владимир Владимирович	19282	276	228	288	77	358	111	528	71	379	296	271	187	222	200	552	208	509	145	81	342	358	117	242	310	314	97	95	334	275	286	145	240	187	439	163	272	272	237	886	1175	683	562	1019	851	896	723	575	834	684	682					
		93.73%	99.28%	100.00%	98.97%	97.47%	87.96%	95.69%	99.62%	97.26%	98.70%	99.33%	98.19%	97.40%	96.94%	96.15%	95.17%	97.20%	82.76%	94.77%	96.43%	98.56%	98.35%	98.32%	99.18%	95.38%	94.86%	88.18%	94.06%	99.40%	98.21%	97.95%	97.97%	97.56%	95.41%	97.12%	98.19%	100.00%	98.91%	98.34%	90.22%	91.30%	91.68%	85.41%	97.51%	94.14%	98.46%	98.10%	93.34%	94.77%	84.44%	74.37%					
22	. Хакамада Ирина Муцуовна	171	2	0	3	2	6	0	0	0	2	2	0	0	0	0	3	2	10	0	0	0	0	0	1	1	4	11	2	2	1	3	0	5	5	4	2	0	1	0	5	9	16	10	5	6	3	0	4	1	11	27					
		0.83%	0.72%	0.00%	1.03%	2.53%	1.47%	0.00%	0.00%	0.00%	0.52%	0.67%	0.00%	0.00%	0.00%	0.00%	0.52%	0.93%	1.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.31%	1.21%	10.00%	1.98%	0.60%	0.36%	1.03%	0.00%	2.03%	2.55%	0.88%	1.20%	0.00%	0.36%	0.00%	0.51%	0.70%	2.15%	1.52%	0.48%	0.66%	0.33%	0.00%	0.65%	0.11%	1.36%	2.94%					
23	. Харитонов Николай Михайлович	620	0	0	0	0	25	0	2	1	3	0	1	2	7	4	3	4	78	1	2	3	4	0	1	2	11	2	0	0	2	0	1	1	3	4	1	0	1	0	64	45	21	33	11	21	3	0	21	42	73	117					
		3.01%	0.00%	0.00%	0.00%	0.00%	6.14%	0.00%	0.38%	1.37%	0.78%	0.00%	0.36%	1.04%	3.06%	1.92%	0.52%	1.87%	12.68%	0.65%	2.38%	0.86%	1.10%	0.00%	0.41%	0.62%	3.32%	1.82%	0.00%	0.00%	0.71%	0.00%	0.68%	0.41%	1.53%	0.88%	0.60%	0.00%	0.36%	0.00%	6.52%	3.50%	2.82%	5.02%	1.05%	2.32%	0.33%	0.00%	3.41%	4.77%	9.01%	12.76%					
																																																									
24	Против всех	111	0	0	0	0	5	3	0	0	0	0	0	0	0	2	5	0	7	6	1	2	0	0	0	2	0	0	0	0	0	1	1	0	0	3	0	0	1	0	3	13	3	9	7	5	2	0	1	0	7	22					
		0.54%	0.00%	0.00%	0.00%	0.00%	1.23%	2.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.86%	0.00%	1.14%	3.92%	1.19%	0.58%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.68%	0.00%	0.00%	0.66%	0.00%	0.00%	0.36%	0.00%	0.31%	1.01%	0.40%	1.37%	0.67%	0.55%	0.22%	0.00%	0.16%	0.00%	0.86%	2.40%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
