Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Центральная, Чита"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	2413	35	93	89	85	79	57	59	69	65	69	73	35	73	83	71	66	100	122	102	63	41	46	92	77	59	81	51	70	50	75	52	69	73	65	24					
		4.91%	2.31%	5.90%	5.22%	5.80%	5.05%	4.69%	4.03%	4.54%	4.55%	4.57%	4.69%	3.60%	5.38%	6.25%	5.59%	5.35%	6.80%	8.13%	6.79%	5.67%	3.43%	4.76%	7.14%	4.90%	3.31%	5.45%	2.55%	4.93%	5.19%	5.16%	4.66%	5.73%	5.90%	5.02%	1.25%					
19	. Малышкин Олег Александрович	1186	59	43	60	38	35	33	50	43	45	35	32	13	32	21	31	38	30	28	25	29	15	25	20	38	35	34	52	38	28	22	28	32	26	33	40					
		2.41%	3.90%	2.73%	3.52%	2.59%	2.24%	2.72%	3.42%	2.83%	3.15%	2.32%	2.05%	1.34%	2.36%	1.58%	2.44%	3.08%	2.04%	1.87%	1.66%	2.61%	1.26%	2.59%	1.55%	2.42%	1.96%	2.29%	2.60%	2.68%	2.90%	1.51%	2.51%	2.66%	2.10%	2.55%	2.09%					
20	. Миронов Сергей Михайлович	517	16	15	18	21	22	13	19	23	17	15	16	0	16	14	13	13	11	16	21	13	9	7	22	20	27	13	16	12	12	14	8	9	17	10	9					
		1.05%	1.06%	0.95%	1.06%	1.43%	1.41%	1.07%	1.30%	1.51%	1.19%	0.99%	1.03%	0.00%	1.18%	1.05%	1.02%	1.05%	0.75%	1.07%	1.40%	1.17%	0.75%	0.72%	1.71%	1.27%	1.51%	0.88%	0.80%	0.85%	1.24%	0.96%	0.72%	0.75%	1.37%	0.77%	0.47%					
21	. Путин Владимир Владимирович	34544	1153	1044	1160	1015	1095	855	1056	1087	1048	1087	1091	773	903	890	862	845	1005	988	978	692	899	642	845	1042	1340	986	1591	916	692	1001	763	823	830	879	1668					
		70.27%	76.26%	66.29%	68.08%	69.24%	70.01%	70.37%	72.13%	71.51%	73.29%	72.03%	70.03%	79.45%	66.49%	66.97%	67.87%	68.53%	68.37%	65.82%	65.07%	62.23%	75.29%	66.46%	65.61%	66.37%	75.07%	66.40%	79.55%	64.55%	71.78%	68.89%	68.43%	68.36%	67.04%	67.88%	87.06%					
22	. Хакамада Ирина Муцуовна	2369	64	56	89	78	69	55	61	72	64	90	76	32	72	88	62	44	71	69	91	67	47	50	59	78	79	84	88	92	35	85	60	60	82	70	30					
		4.82%	4.23%	3.56%	5.22%	5.32%	4.41%	4.53%	4.17%	4.74%	4.48%	5.96%	4.88%	3.29%	5.30%	6.62%	4.88%	3.57%	4.83%	4.60%	6.05%	6.03%	3.94%	5.18%	4.58%	4.97%	4.43%	5.66%	4.40%	6.48%	3.63%	5.85%	5.38%	4.98%	6.62%	5.41%	1.57%					
23	. Харитонов Николай Михайлович	6095	117	250	195	169	206	154	161	155	150	149	213	88	201	181	190	182	203	222	208	202	143	150	191	251	165	224	129	219	107	176	143	172	162	186	81					
		12.40%	7.74%	15.87%	11.44%	11.53%	13.17%	12.67%	11.00%	10.20%	10.49%	9.87%	13.67%	9.04%	14.80%	13.62%	14.96%	14.76%	13.81%	14.79%	13.84%	18.17%	11.98%	15.53%	14.83%	15.99%	9.24%	15.08%	6.45%	15.43%	11.10%	12.11%	12.83%	14.29%	13.09%	14.36%	4.23%					
																																										
24	Против всех	1821	65	64	82	55	53	36	56	61	36	59	55	26	49	49	39	37	50	49	68	40	34	42	55	56	77	54	67	70	29	73	58	37	45	45	50					
		3.70%	4.30%	4.06%	4.81%	3.75%	3.39%	2.96%	3.83%	4.01%	2.52%	3.91%	3.53%	2.67%	3.61%	3.69%	3.07%	3.00%	3.40%	3.26%	4.52%	3.60%	2.85%	4.35%	4.27%	3.57%	4.31%	3.64%	3.35%	4.93%	3.01%	5.02%	5.20%	3.07%	3.63%	3.47%	2.61%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
