Выборы Президента Российской Федерации																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Екатеринбург, Верх-Исетская"																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321					
11	Число полученных открепительных  удостоверений	1645	15	30	35	15	30	15	25	35	20	30	20	15	25	15	10	15	25	40	25	35	25	20	20	15	25	30	20	25	26	24	25	30	30	15	25	15	20	20	10	25	15	40	20	15	15	25	10	20	35	35	10	40	20	25	35	40	35	20	25	35	25	20	20	30	25	35	35	5	10	5	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1028	9	16	11	8	17	14	20	34	11	13	16	14	13	8	5	9	21	28	23	14	15	9	13	8	22	28	16	12	25	15	23	15	19	11	14	7	15	16	8	14	12	17	9	12	13	17	6	11	12	24	6	17	11	21	18	17	19	13	15	21	16	18	13	19	19	18	21	1	3	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1427	14	14	13	17	19	22	21	9	9	21	17	9	10	14	10	22	25	18	49	9	15	12	13	12	15	47	21	14	15	15	19	12	9	2	16	7	24	19	6	8	6	13	12	4	10	11	17	12	3	36	26	34	6	32	49	3	9	19	17	4	7	17	14	20	9	14	20	2	8	3	174	42	88	5	11	22	0	0	0	5					
14	Число неиспользованных открепительных удостоверений	617	6	14	24	7	13	1	5	1	9	17	4	1	12	7	5	6	4	12	2	21	10	11	7	7	3	2	4	13	1	9	2	15	11	4	11	8	5	4	2	11	3	23	11	3	2	8	4	9	23	11	4	23	9	4	17	23	16	7	10	14	9	2	7	11	6	17	14	4	7	5	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																							
18	. Глазьев Сергей Юрьевич	4035	48	97	80	57	76	56	50	52	62	59	64	53	70	73	15	31	54	67	46	63	47	42	43	62	35	62	41	38	111	68	84	66	79	53	57	53	59	74	16	58	60	70	41	68	48	62	32	63	78	77	30	23	51	67	39	52	56	51	78	42	74	68	60	62	65	61	49	1	10	13	33	34	32	3	5	9	16	19	9	3					
		4.74%	7.16%	7.72%	6.33%	6.14%	5.46%	5.47%	4.40%	4.68%	4.57%	3.84%	5.07%	4.31%	5.22%	5.23%	2.50%	4.72%	3.86%	4.67%	3.13%	6.70%	5.09%	5.14%	3.81%	5.81%	3.78%	3.98%	4.16%	3.61%	7.23%	4.90%	5.66%	4.70%	6.20%	4.48%	3.83%	5.50%	5.45%	5.20%	2.33%	5.13%	4.43%	4.91%	4.41%	5.46%	4.44%	6.13%	4.56%	7.02%	6.85%	6.49%	4.48%	2.43%	4.15%	4.95%	3.24%	3.93%	4.19%	4.49%	5.34%	3.37%	5.06%	5.06%	4.83%	4.42%	4.63%	4.16%	3.75%	0.53%	3.44%	4.19%	4.18%	5.01%	4.66%	4.29%	4.31%	3.44%	2.30%	2.70%	1.18%	2.65%					
19	. Малышкин Олег Александрович	1248	2	4	9	7	17	11	15	15	24	31	22	26	29	23	13	6	20	11	18	15	18	10	9	20	15	27	13	18	21	7	13	16	14	10	19	17	13	16	8	13	17	14	8	11	14	17	5	7	13	16	11	22	28	13	16	13	24	20	19	34	16	14	11	28	17	33	31	2	3	7	13	19	10	1	1	3	26	45	28	3					
		1.47%	0.30%	0.32%	0.71%	0.75%	1.22%	1.08%	1.32%	1.35%	1.77%	2.02%	1.74%	2.12%	2.16%	1.65%	2.17%	0.91%	1.43%	0.77%	1.22%	1.60%	1.95%	1.22%	0.80%	1.87%	1.62%	1.73%	1.32%	1.71%	1.37%	0.50%	0.88%	1.14%	1.10%	0.84%	1.28%	1.76%	1.20%	1.12%	1.16%	1.15%	1.26%	0.98%	0.86%	0.88%	1.30%	1.68%	0.71%	0.78%	1.14%	1.35%	1.64%	2.33%	2.28%	0.96%	1.33%	0.98%	1.80%	1.76%	1.30%	2.72%	1.09%	1.04%	0.89%	2.00%	1.21%	2.25%	2.37%	1.06%	1.03%	2.26%	1.65%	2.80%	1.46%	1.43%	0.86%	1.15%	3.73%	6.39%	3.67%	2.65%					
20	. Миронов Сергей Михайлович	518	4	5	6	5	10	5	9	4	7	11	5	5	7	5	4	2	9	9	10	11	6	2	8	5	6	12	4	2	12	7	14	8	9	4	12	7	5	6	3	5	3	9	1	4	2	7	2	9	7	12	4	7	4	2	9	8	7	7	6	6	15	11	10	12	8	12	8	3	1	2	7	8	6	0	0	2	12	6	7	2					
		0.61%	0.60%	0.40%	0.47%	0.54%	0.72%	0.49%	0.79%	0.36%	0.52%	0.72%	0.40%	0.41%	0.52%	0.36%	0.67%	0.30%	0.64%	0.63%	0.68%	1.17%	0.65%	0.24%	0.71%	0.47%	0.65%	0.77%	0.41%	0.19%	0.78%	0.50%	0.94%	0.57%	0.71%	0.34%	0.81%	0.73%	0.46%	0.42%	0.44%	0.44%	0.22%	0.63%	0.11%	0.32%	0.19%	0.69%	0.28%	1.00%	0.62%	1.01%	0.60%	0.74%	0.33%	0.15%	0.75%	0.60%	0.52%	0.62%	0.41%	0.48%	1.03%	0.82%	0.81%	0.86%	0.57%	0.82%	0.61%	1.60%	0.34%	0.65%	0.89%	1.18%	0.87%	0.00%	0.00%	0.76%	1.72%	0.85%	0.92%	1.77%					
21	. Путин Владимир Владимирович	61745	384	736	747	601	987	712	839	846	1009	1141	895	904	957	1005	488	472	1044	1040	1115	696	652	610	841	742	728	1165	704	789	1091	1011	1057	1039	884	865	1088	716	774	1061	546	822	976	1038	666	894	771	704	533	611	792	840	484	750	936	1007	875	1026	986	872	1017	955	1079	978	893	990	1039	1035	1045	160	224	247	539	483	499	54	92	200	480	508	577	87					
		72.57%	57.31%	58.60%	59.10%	64.76%	70.91%	69.60%	73.86%	76.08%	74.30%	74.24%	70.92%	73.56%	71.36%	72.04%	81.33%	71.84%	74.68%	72.47%	75.85%	74.04%	70.56%	74.66%	74.42%	69.48%	78.62%	74.73%	71.40%	74.86%	71.07%	72.84%	71.18%	74.06%	69.33%	73.06%	73.02%	74.27%	71.53%	74.56%	79.48%	72.74%	72.14%	72.74%	71.69%	71.81%	71.39%	69.57%	75.93%	68.12%	69.60%	70.77%	72.35%	79.37%	76.10%	74.37%	72.73%	77.49%	73.80%	76.69%	69.56%	76.52%	73.80%	72.71%	71.90%	70.56%	74.06%	70.60%	79.95%	85.11%	76.98%	79.68%	68.31%	71.13%	72.63%	77.14%	79.31%	76.34%	68.87%	72.16%	75.72%	76.99%					
22	. Хакамада Ирина Муцуовна	8863	132	200	225	168	133	142	127	104	141	141	147	117	145	155	31	92	123	163	141	69	92	88	106	121	86	155	129	96	139	151	134	140	165	135	158	79	131	138	40	122	168	168	99	129	148	110	69	100	133	127	63	86	92	161	170	112	135	78	212	100	165	125	140	165	149	169	77	7	24	20	27	22	58	5	7	15	34	38	52	3					
		10.42%	19.70%	15.92%	17.80%	18.10%	9.55%	13.88%	11.18%	9.35%	10.38%	9.17%	11.65%	9.52%	10.81%	11.11%	5.17%	14.00%	8.80%	11.36%	9.59%	7.34%	9.96%	10.77%	9.38%	11.33%	9.29%	9.94%	13.08%	9.11%	9.06%	10.88%	9.02%	9.98%	12.94%	11.40%	10.60%	8.20%	12.11%	9.70%	5.82%	10.80%	12.42%	11.77%	10.66%	10.36%	13.70%	10.87%	9.83%	11.15%	11.69%	10.70%	9.42%	9.10%	7.48%	11.89%	14.13%	8.46%	10.10%	6.86%	14.50%	8.01%	11.29%	9.29%	11.27%	11.76%	10.62%	11.53%	5.89%	3.72%	8.25%	6.45%	3.42%	3.24%	8.44%	7.14%	6.03%	5.73%	4.88%	5.40%	6.82%	2.65%					
23	. Харитонов Николай Михайлович	4955	62	145	130	56	101	58	64	52	77	80	75	72	78	81	28	21	84	89	91	52	68	37	74	64	20	65	41	65	110	84	112	87	77	70	97	58	56	68	40	70	77	84	68	89	52	67	40	70	69	75	44	30	77	43	47	56	71	62	72	55	70	78	69	89	64	89	51	9	9	17	135	75	35	5	6	24	9	7	6	1					
		5.82%	9.25%	11.54%	10.28%	6.03%	7.26%	5.67%	5.63%	4.68%	5.67%	5.20%	5.94%	5.86%	5.82%	5.81%	4.67%	3.20%	6.01%	6.20%	6.19%	5.53%	7.36%	4.53%	6.55%	5.99%	2.16%	4.17%	4.16%	6.17%	7.17%	6.05%	7.54%	6.20%	6.04%	5.91%	6.51%	6.02%	5.18%	4.78%	5.82%	6.19%	5.69%	5.89%	7.32%	7.15%	4.81%	6.62%	5.70%	7.80%	6.06%	6.32%	6.58%	3.17%	6.26%	3.18%	3.91%	4.23%	5.31%	5.45%	4.92%	4.41%	4.79%	5.80%	5.56%	6.34%	4.56%	6.07%	3.90%	4.79%	3.09%	5.48%	17.11%	11.05%	5.09%	7.14%	5.17%	9.16%	1.29%	0.99%	0.79%	0.88%					
																																																																																							
24	Против всех	3095	36	68	59	26	55	35	29	29	31	54	48	44	43	43	19	28	47	43	39	29	34	24	36	47	28	59	43	38	43	50	55	37	43	39	42	28	35	54	24	37	46	36	40	44	36	40	21	28	40	33	30	23	34	56	47	41	48	37	47	42	33	58	52	51	46	62	34	4	15	4	23	30	38	1	2	8	109	77	65	13					
		3.64%	5.37%	5.41%	4.67%	2.80%	3.95%	3.42%	2.55%	2.61%	2.28%	3.51%	3.80%	3.58%	3.21%	3.08%	3.17%	4.26%	3.36%	3.00%	2.65%	3.09%	3.68%	2.94%	3.19%	4.40%	3.02%	3.78%	4.36%	3.61%	2.80%	3.60%	3.70%	2.64%	3.37%	3.29%	2.82%	2.90%	3.23%	3.79%	3.49%	3.27%	3.40%	2.52%	4.31%	3.53%	3.33%	3.95%	2.99%	3.12%	3.51%	2.78%	4.48%	2.43%	2.76%	4.14%	3.91%	3.10%	3.59%	3.25%	3.21%	3.37%	2.26%	4.31%	4.19%	3.64%	3.28%	4.23%	2.60%	2.13%	5.15%	1.29%	2.92%	4.42%	5.53%	1.43%	1.72%	3.05%	15.64%	10.94%	8.53%	11.50%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
