Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Владивосток, Ленинская "																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350					
11	Число полученных открепительных  удостоверений	2356	223	38	35	50	37	0	8	30	226	37	52	50	45	55	36	37	30	34	45	74	45	49	49	40	45	34	34	55	30	35	45	48	43	45	40	49	28	32	75	36	43	40	47	51	37	46	33	45	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0					
12	Число выданных открепительных удостоверений	2150	216	36	27	33	33	0	3	29	218	36	47	42	31	49	36	37	30	34	44	68	42	46	41	38	43	29	30	48	30	33	44	40	29	43	39	39	28	28	66	36	42	32	46	47	36	33	33	45	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2475	78	85	32	26	18	233	38	25	41	57	27	13	31	9	17	14	19	35	19	64	29	22	34	157	83	12	145	26	13	24	32	21	9	34	19	16	185	68	13	17	19	18	14	11	32	21	23	15	56	115	9	11	12	23	12	41	15	25	22	13	63	15	26	11	0	13					
14	Число неиспользованных открепительных удостоверений	206	7	2	8	17	4	0	5	1	8	1	5	8	14	6	0	0	0	0	1	6	3	3	8	2	2	5	4	7	0	2	1	8	14	2	1	10	0	4	9	0	1	8	1	4	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	144	1	1	2	3	1	0	0	2	62	1	5	0	3	2	1	5	0	1	2	6	2	1	3	1	1	4	6	0	1	3	0	2	0	2	0	0	4	5	0	2	2	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	4668	72	61	134	122	108	14	17	83	81	136	75	137	97	124	138	135	117	131	97	77	110	83	122	110	118	103	108	58	74	75	79	79	67	96	121	88	68	86	23	69	98	108	80	99	105	106	138	99	16	6	0	5	9	6	7	8	14	6	13	10	8	6	14	6	4	4					
		7.03%	4.47%	6.03%	11.34%	9.06%	9.14%	1.13%	3.87%	9.80%	6.84%	8.31%	6.03%	10.60%	7.11%	8.03%	8.54%	8.03%	7.38%	8.94%	8.10%	4.84%	7.24%	6.04%	10.23%	7.92%	7.55%	8.56%	7.22%	4.87%	7.36%	6.79%	5.78%	7.19%	6.99%	6.93%	8.18%	6.91%	6.63%	7.47%	3.39%	5.97%	7.11%	8.55%	5.90%	6.23%	7.36%	7.12%	9.66%	6.91%	2.55%	4.51%	0.00%	4.59%	5.52%	3.24%	3.08%	2.05%	6.86%	2.50%	4.26%	3.28%	1.68%	2.53%	8.24%	3.31%	5.63%	2.88%					
19	. Малышкин Олег Александрович	2318	39	22	30	40	44	120	13	31	30	45	43	43	35	51	53	58	42	82	53	54	48	64	37	47	43	29	60	57	39	42	51	29	26	34	57	29	39	40	24	45	54	52	52	61	61	38	71	44	29	4	3	6	5	4	9	12	9	8	2	5	10	5	5	1	0	0					
		3.49%	2.42%	2.17%	2.54%	2.97%	3.72%	9.66%	2.96%	3.66%	2.53%	2.75%	3.46%	3.33%	2.57%	3.30%	3.28%	3.45%	2.65%	5.59%	4.42%	3.40%	3.16%	4.66%	3.10%	3.38%	2.75%	2.41%	4.01%	4.79%	3.88%	3.80%	3.73%	2.64%	2.71%	2.45%	3.85%	2.28%	3.80%	3.47%	3.54%	3.90%	3.92%	4.12%	3.84%	3.84%	4.27%	2.55%	4.97%	3.07%	4.62%	3.01%	8.33%	5.50%	3.07%	2.16%	3.96%	3.07%	4.41%	3.33%	0.66%	1.64%	2.11%	2.11%	2.94%	0.55%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	579	7	5	7	13	7	6	0	6	7	14	7	9	9	8	15	10	11	16	6	12	12	22	10	11	19	14	10	6	12	11	19	7	12	11	11	13	10	17	7	16	15	14	13	16	9	16	14	8	5	1	0	2	1	8	2	8	2	3	3	3	3	1	3	3	0	1					
		0.87%	0.43%	0.49%	0.59%	0.97%	0.59%	0.48%	0.00%	0.71%	0.59%	0.86%	0.56%	0.70%	0.66%	0.52%	0.93%	0.59%	0.69%	1.09%	0.50%	0.75%	0.79%	1.60%	0.84%	0.79%	1.22%	1.16%	0.67%	0.50%	1.19%	1.00%	1.39%	0.64%	1.25%	0.79%	0.74%	1.02%	0.98%	1.48%	1.03%	1.39%	1.09%	1.11%	0.96%	1.01%	0.63%	1.07%	0.98%	0.56%	0.80%	0.75%	0.00%	1.83%	0.61%	4.32%	0.88%	2.05%	0.98%	1.25%	0.98%	0.98%	0.63%	0.42%	1.76%	1.66%	0.00%	0.72%					
21	. Путин Владимир Владимирович	38100	1216	636	597	708	638	789	329	430	705	823	718	663	706	830	886	959	903	739	670	978	762	751	635	754	823	673	840	740	644	663	829	676	551	816	664	727	570	623	526	665	843	696	798	896	786	807	768	814	469	76	30	60	90	122	150	245	128	150	201	216	348	165	97	117	57	116					
		57.35%	75.53%	62.85%	50.51%	52.60%	53.98%	63.53%	74.94%	50.77%	59.54%	50.31%	57.76%	51.28%	51.76%	53.72%	54.83%	57.05%	56.94%	50.41%	55.93%	61.51%	50.13%	54.66%	53.27%	54.28%	52.66%	55.94%	56.19%	62.13%	64.02%	60.05%	60.69%	61.57%	57.52%	58.92%	44.86%	57.11%	55.61%	54.08%	77.58%	57.58%	61.13%	55.11%	58.89%	56.39%	55.08%	54.20%	53.78%	56.84%	74.68%	57.14%	83.33%	55.05%	55.21%	65.95%	66.08%	62.66%	62.75%	62.50%	65.90%	70.82%	73.26%	69.62%	57.06%	64.64%	80.28%	83.45%					
22	. Хакамада Ирина Муцуовна	6166	83	103	131	128	126	63	31	79	124	180	128	152	154	165	166	181	151	160	141	142	148	143	131	134	152	117	126	83	82	109	101	70	95	105	160	108	105	114	21	102	123	109	107	155	146	146	155	142	28	5	2	2	9	10	19	26	12	24	30	23	38	20	19	16	2	4					
		9.28%	5.16%	10.18%	11.08%	9.51%	10.66%	5.07%	7.06%	9.33%	10.47%	11.00%	10.30%	11.76%	11.29%	10.68%	10.27%	10.77%	9.52%	10.91%	11.77%	8.93%	9.74%	10.41%	10.99%	9.65%	9.72%	9.73%	8.43%	6.97%	8.15%	9.87%	7.39%	6.38%	9.92%	7.58%	10.81%	8.48%	10.24%	9.90%	3.10%	8.83%	8.92%	8.63%	7.90%	9.75%	10.23%	9.81%	10.85%	9.92%	4.46%	3.76%	5.56%	1.83%	5.52%	5.41%	8.37%	6.65%	5.88%	10.00%	9.84%	7.54%	8.00%	8.44%	11.18%	8.84%	2.82%	2.88%					
23	. Харитонов Николай Михайлович	8809	93	119	192	197	132	25	28	147	135	299	162	194	231	239	217	183	211	189	133	201	278	185	188	225	279	177	228	165	115	131	196	153	133	209	305	205	114	203	39	134	150	182	197	233	195	238	165	211	44	30	0	13	37	4	9	30	9	9	10	14	17	7	7	8	0	1					
		13.26%	5.78%	11.76%	16.24%	14.64%	11.17%	2.01%	6.38%	17.36%	11.40%	18.28%	13.03%	15.00%	16.94%	15.47%	13.43%	10.89%	13.30%	12.89%	11.10%	12.64%	18.29%	13.46%	15.77%	16.20%	17.85%	14.71%	15.25%	13.85%	11.43%	11.87%	14.35%	13.93%	13.88%	15.09%	20.61%	16.10%	11.12%	17.62%	5.75%	11.60%	10.88%	14.41%	14.54%	14.66%	13.67%	15.98%	11.55%	14.73%	7.01%	22.56%	0.00%	11.93%	22.70%	2.16%	3.96%	7.67%	4.41%	3.75%	3.28%	4.59%	3.58%	2.95%	4.12%	4.42%	0.00%	0.72%					
																																																																									
24	Против всех	5390	87	63	87	133	115	206	20	69	95	132	110	91	121	124	134	146	136	139	96	118	154	120	66	92	119	80	110	75	37	73	77	78	73	105	150	99	111	59	34	107	92	96	100	116	113	135	110	108	23	10	1	15	10	30	29	61	29	39	46	31	49	33	25	28	7	13					
		8.11%	5.40%	6.23%	7.36%	9.88%	9.73%	16.59%	4.56%	8.15%	8.02%	8.07%	8.85%	7.04%	8.87%	8.03%	8.29%	8.69%	8.58%	9.48%	8.01%	7.42%	10.13%	8.73%	5.54%	6.62%	7.61%	6.65%	7.36%	6.30%	3.68%	6.61%	5.64%	7.10%	7.62%	7.58%	10.14%	7.78%	10.83%	5.12%	5.01%	9.26%	6.67%	7.60%	7.38%	7.30%	7.92%	9.07%	7.70%	7.54%	3.66%	7.52%	2.78%	13.76%	6.13%	16.22%	12.78%	15.60%	14.22%	16.25%	15.08%	10.16%	10.32%	13.92%	14.71%	15.47%	9.86%	9.35%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
