Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Октябрьская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  2483	УИК  2484	УИК  2506	УИК  2507					
11	Число полученных открепительных  удостоверений	1000	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	30	150	10	100	100	30	50	20	20	10	10	10	10					
12	Число выданных открепительных удостоверений	469	3	1	2	10	1	3	4	1	8	8	10	3	2	2	10	0	4	7	7	0	8	0	0	5	8	2	0	3	3	2	2	9	2	1	4	20	30	111	10	49	58	4	31	7	4	0	2	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	204	1	1	0	0	0	0	1	0	0	4	4	3	2	0	6	0	2	1	1	1	0	0	4	3	9	0	1	1	0	6	2	7	0	1	0	34	17	24	4	8	25	3	15	5	4	0	1	0	3					
14	Число неиспользованных открепительных удостоверений	531	7	9	8	0	9	7	6	9	2	2	0	7	8	8	0	10	6	3	3	10	2	10	10	5	2	8	10	7	7	8	8	1	8	9	6	80	0	39	0	51	42	26	19	13	16	10	8	10	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	134	1	1	0	1	0	1	2	0	2	2	0	1	0	0	2	0	2	4	1	1	1	0	0	3	1	0	0	3	1	7	2	0	0	0	0	11	2	6	1	1	3	22	27	3	14	1	1	1	2					
		0.25%	0.12%	0.09%	0.00%	0.10%	0.00%	0.35%	0.56%	0.00%	0.11%	0.15%	0.00%	0.14%	0.00%	0.00%	0.16%	0.00%	0.16%	0.29%	0.07%	0.22%	0.11%	0.00%	0.00%	0.25%	0.05%	0.00%	0.00%	0.25%	0.21%	0.26%	0.19%	0.00%	0.00%	0.00%	0.00%	0.53%	0.10%	0.25%	0.12%	0.05%	0.12%	1.78%	1.17%	0.11%	1.09%	0.32%	0.33%	0.10%	0.25%					
19	. Малышкин Олег Александрович	102	1	0	0	1	1	1	0	1	2	1	0	1	1	0	7	0	3	4	1	1	1	1	0	2	2	2	0	2	0	3	2	2	0	0	0	7	3	3	1	1	6	19	9	3	3	1	0	1	2					
		0.19%	0.12%	0.00%	0.00%	0.10%	0.62%	0.35%	0.00%	0.49%	0.11%	0.08%	0.00%	0.14%	0.65%	0.00%	0.55%	0.00%	0.25%	0.29%	0.07%	0.22%	0.11%	0.55%	0.00%	0.17%	0.10%	0.24%	0.00%	0.17%	0.00%	0.11%	0.19%	0.08%	0.00%	0.00%	0.00%	0.34%	0.15%	0.12%	0.12%	0.05%	0.25%	1.54%	0.39%	0.11%	0.23%	0.32%	0.00%	0.10%	0.25%					
20	. Миронов Сергей Михайлович	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	2	0	0	0	6	0	0	0	0	0	2	0	0	0	0	3	4	0	0	1	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.07%	0.07%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.24%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.12%	0.32%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	52313	834	1163	720	975	157	273	353	199	1823	1287	310	725	150	284	1233	195	1194	1378	1426	456	915	180	775	1170	1902	832	97	1189	468	2655	1007	2387	294	818	1417	1980	1968	2395	802	2169	2393	1032	2053	2630	1212	312	297	1039	790					
		97.82%	98.70%	99.40%	99.86%	98.48%	98.12%	94.79%	98.06%	97.07%	99.18%	98.92%	97.79%	98.24%	98.04%	99.30%	97.47%	99.49%	97.95%	98.71%	99.03%	98.92%	99.13%	98.36%	99.36%	98.15%	99.42%	98.23%	98.98%	98.59%	99.36%	98.15%	98.15%	99.54%	99.32%	99.76%	99.93%	96.26%	98.94%	98.60%	98.77%	99.72%	98.11%	83.43%	88.95%	99.25%	94.69%	99.05%	98.34%	98.95%	97.41%					
22	. Хакамада Ирина Муцуовна	100	2	0	0	0	0	1	0	1	2	1	0	2	1	0	0	0	1	2	1	0	0	1	0	1	2	0	0	2	0	7	2	0	0	0	0	14	2	5	2	1	9	15	12	3	3	0	1	1	3					
		0.19%	0.24%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.49%	0.11%	0.08%	0.00%	0.27%	0.65%	0.00%	0.00%	0.00%	0.08%	0.14%	0.07%	0.00%	0.00%	0.55%	0.00%	0.08%	0.10%	0.00%	0.00%	0.17%	0.00%	0.26%	0.19%	0.00%	0.00%	0.00%	0.00%	0.68%	0.10%	0.21%	0.25%	0.05%	0.37%	1.21%	0.52%	0.11%	0.23%	0.00%	0.33%	0.10%	0.37%					
23	. Харитонов Николай Михайлович	650	4	3	1	11	2	9	5	3	9	6	7	7	0	2	18	1	18	6	7	1	3	0	3	12	5	8	1	7	2	12	9	7	2	2	1	27	11	13	4	2	11	116	202	11	42	1	2	5	9					
		1.22%	0.47%	0.26%	0.14%	1.11%	1.25%	3.12%	1.39%	1.46%	0.49%	0.46%	2.21%	0.95%	0.00%	0.70%	1.42%	0.51%	1.48%	0.43%	0.49%	0.22%	0.33%	0.00%	0.38%	1.01%	0.26%	0.94%	1.02%	0.58%	0.42%	0.44%	0.88%	0.29%	0.68%	0.24%	0.07%	1.31%	0.55%	0.54%	0.49%	0.09%	0.45%	9.38%	8.75%	0.42%	3.28%	0.32%	0.66%	0.48%	1.11%					
																																																								
24	Против всех	147	3	3	0	2	0	3	0	1	0	4	0	2	1	0	5	0	0	1	3	2	3	1	2	3	1	3	0	3	0	10	4	2	0	0	0	16	3	7	2	1	14	23	5	0	5	0	1	3	5					
		0.27%	0.36%	0.26%	0.00%	0.20%	0.00%	1.04%	0.00%	0.49%	0.00%	0.31%	0.00%	0.27%	0.65%	0.00%	0.40%	0.00%	0.00%	0.07%	0.21%	0.43%	0.33%	0.55%	0.26%	0.25%	0.05%	0.35%	0.00%	0.25%	0.00%	0.37%	0.39%	0.08%	0.00%	0.00%	0.00%	0.78%	0.15%	0.29%	0.25%	0.05%	0.57%	1.86%	0.22%	0.00%	0.39%	0.00%	0.33%	0.29%	0.62%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
