Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Суражская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071					
11	Число полученных открепительных  удостоверений	290	15	15	10	15	15	15	15	15	5	5	5	5	5	5	5	5	5	10	5	5	5	5	15	5	10	5	5	5	5	10	5	5	10	10	5	5	0					
12	Число выданных открепительных удостоверений	120	4	10	9	14	6	8	12	10	0	0	2	1	2	0	0	1	1	3	0	1	0	4	13	0	0	0	3	1	2	7	0	0	0	2	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	4	8	4	8	1	3	7	6	2	1	1	0	4	2	1	1	2	2	2	1	1	8	3	1	2	1	3	2	5	2	3	1	0	2	1	2	1					
14	Число неиспользованных открепительных удостоверений	170	11	5	1	1	9	7	3	5	5	5	3	4	3	5	5	4	4	7	5	4	5	1	2	5	10	5	2	4	3	3	5	5	10	8	4	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	386	41	30	28	43	23	21	19	18	3	3	6	5	10	7	5	2	2	15	4	6	2	6	8	3	1	0	7	3	9	8	8	1	8	17	1	8	5					
		2.88%	6.53%	4.53%	4.38%	6.00%	3.90%	3.34%	3.04%	2.44%	3.26%	2.08%	5.45%	1.80%	2.39%	2.97%	3.42%	0.72%	1.09%	3.92%	1.37%	2.11%	1.22%	1.68%	2.45%	1.88%	0.21%	0.00%	1.64%	1.14%	1.88%	1.47%	2.56%	0.43%	2.29%	3.83%	0.36%	2.97%	4.00%					
19	. Малышкин Олег Александрович	381	19	12	17	18	27	26	17	24	0	5	3	7	11	7	3	2	12	13	7	3	3	15	6	3	11	2	20	6	7	13	9	0	13	21	2	12	5					
		2.85%	3.03%	1.81%	2.66%	2.51%	4.58%	4.13%	2.72%	3.25%	0.00%	3.47%	2.73%	2.52%	2.63%	2.97%	2.05%	0.72%	6.56%	3.39%	2.39%	1.06%	1.83%	4.19%	1.83%	1.88%	2.26%	2.25%	4.67%	2.27%	1.46%	2.38%	2.88%	0.00%	3.71%	4.73%	0.72%	4.46%	4.00%					
20	. Миронов Сергей Михайлович	135	9	10	7	15	5	8	7	6	1	2	0	0	2	4	1	2	2	4	3	2	0	3	9	1	3	1	4	4	1	5	1	1	1	3	5	1	2					
		1.01%	1.43%	1.51%	1.09%	2.09%	0.85%	1.27%	1.12%	0.81%	1.09%	1.39%	0.00%	0.00%	0.48%	1.69%	0.68%	0.72%	1.09%	1.04%	1.02%	0.70%	0.00%	0.84%	2.75%	0.62%	0.62%	1.12%	0.93%	1.52%	0.21%	0.92%	0.32%	0.43%	0.29%	0.68%	1.79%	0.37%	1.60%					
21	. Путин Владимир Владимирович	7337	371	374	388	413	322	329	356	473	36	85	52	179	252	139	92	182	67	215	122	152	69	169	209	123	140	29	294	142	248	333	102	136	136	248	185	101	74					
		54.80%	59.08%	56.50%	60.62%	57.60%	54.58%	52.31%	57.05%	64.01%	39.13%	59.03%	47.27%	64.39%	60.29%	58.90%	63.01%	65.23%	36.61%	56.14%	41.64%	53.52%	42.07%	47.21%	63.91%	76.88%	28.75%	32.58%	68.69%	53.79%	51.67%	60.99%	32.59%	59.13%	38.86%	55.86%	66.31%	37.55%	59.20%					
22	. Хакамада Ирина Муцуовна	224	6	15	3	12	5	19	19	14	0	0	1	0	9	3	3	2	1	6	8	5	3	4	8	1	3	0	8	11	12	9	10	1	5	7	4	6	1					
		1.67%	0.96%	2.27%	0.47%	1.67%	0.85%	3.02%	3.04%	1.89%	0.00%	0.00%	0.91%	0.00%	2.15%	1.27%	2.05%	0.72%	0.55%	1.57%	2.73%	1.76%	1.83%	1.12%	2.45%	0.62%	0.62%	0.00%	1.87%	4.17%	2.50%	1.65%	3.19%	0.43%	1.43%	1.58%	1.43%	2.23%	0.80%					
23	. Харитонов Николай Михайлович	4489	163	194	179	184	183	195	166	166	51	46	47	82	123	68	39	83	99	123	139	111	85	148	77	25	315	56	87	92	192	162	170	87	176	139	75	130	32					
		33.53%	25.96%	29.31%	27.97%	25.66%	31.02%	31.00%	26.60%	22.46%	55.43%	31.94%	42.73%	29.50%	29.43%	28.81%	26.71%	29.75%	54.10%	32.11%	47.44%	39.08%	51.83%	41.34%	23.55%	15.62%	64.68%	62.92%	20.33%	34.85%	40.00%	29.67%	54.31%	37.83%	50.29%	31.31%	26.88%	48.33%	25.60%					
																																												
24	Против всех	288	14	21	18	30	17	23	29	25	1	1	0	1	3	5	2	5	0	6	5	4	1	9	6	2	5	1	5	2	8	9	5	0	5	8	3	4	5					
		2.15%	2.23%	3.17%	2.81%	4.18%	2.88%	3.66%	4.65%	3.38%	1.09%	0.69%	0.00%	0.36%	0.72%	2.12%	1.37%	1.79%	0.00%	1.57%	1.71%	1.41%	0.61%	2.51%	1.83%	1.25%	1.03%	1.12%	1.17%	0.76%	1.67%	1.65%	1.60%	0.00%	1.43%	1.80%	1.08%	1.49%	4.00%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
