Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Петровская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК  411	УИК  412	УИК  413	УИК  414	УИК №929	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981					
		2.93%	2.91%	5.36%	6.88%	1.39%	3.17%	2.38%	2.46%	2.21%	2.19%	2.78%	4.04%	2.16%	3.41%	4.35%	3.99%	2.98%	2.50%	2.59%	2.57%	2.86%	2.97%	3.20%	2.22%	3.36%	2.29%	3.18%	2.87%	3.17%	3.49%	3.14%	3.13%	2.44%	5.11%	5.07%	0.43%	4.11%	2.86%	2.22%	1.92%	3.19%	4.15%	1.92%	3.24%	4.19%					
20	. Миронов Сергей Михайлович	246	5	3	2	9	5	4	4	4	7	9	7	7	7	6	6	9	8	11	8	4	8	10	4	1	0	5	4	5	1	4	12	8	4	0	1	1	12	6	9	9	4	9	2	2					
		0.76%	0.54%	1.34%	1.06%	1.04%	0.45%	0.64%	0.43%	0.63%	0.64%	1.14%	1.09%	0.84%	0.99%	0.97%	0.75%	1.16%	1.54%	0.92%	0.94%	0.42%	0.72%	0.84%	0.59%	0.28%	0.00%	0.79%	0.48%	0.75%	0.44%	0.41%	1.39%	1.03%	0.82%	0.00%	0.43%	1.37%	0.78%	0.55%	0.91%	0.60%	0.44%	0.91%	1.08%	0.31%					
21	. Путин Владимир Владимирович	18052	434	162	104	441	541	427	525	367	633	408	320	464	417	373	425	446	298	716	483	559	638	700	400	246	103	307	381	309	109	439	431	478	268	93	167	50	896	704	543	884	548	442	107	266					
		55.50%	46.77%	72.32%	55.03%	50.92%	49.00%	67.89%	56.09%	57.89%	57.70%	51.65%	49.77%	55.57%	59.23%	60.06%	52.99%	57.70%	57.20%	59.72%	56.49%	59.22%	57.43%	58.92%	59.17%	68.91%	78.63%	48.81%	45.63%	46.61%	47.60%	44.48%	49.94%	61.28%	54.81%	67.39%	71.06%	68.49%	58.26%	65.06%	54.85%	58.82%	59.83%	44.65%	57.84%	41.24%					
22	. Хакамада Ирина Муцуовна	746	30	1	5	19	28	11	35	12	34	13	19	19	32	15	14	17	22	36	29	25	32	32	11	10	1	8	13	5	2	22	22	10	6	5	3	3	24	26	18	17	20	16	9	15					
		2.29%	3.23%	0.45%	2.65%	2.19%	2.54%	1.75%	3.74%	1.89%	3.10%	1.65%	2.95%	2.28%	4.55%	2.42%	1.75%	2.20%	4.22%	3.00%	3.39%	2.65%	2.88%	2.69%	1.63%	2.80%	0.76%	1.27%	1.56%	0.75%	0.87%	2.23%	2.55%	1.28%	1.23%	3.62%	1.28%	4.11%	1.56%	2.40%	1.82%	1.13%	2.18%	1.62%	4.86%	2.33%					
23	. Харитонов Николай Михайлович	10272	382	43	59	343	451	119	269	177	323	260	230	246	140	167	260	209	136	292	243	245	312	309	187	64	18	260	365	280	97	420	327	199	156	24	48	9	480	266	348	465	268	434	50	292					
		31.58%	41.16%	19.20%	31.22%	39.61%	40.85%	18.92%	28.74%	27.92%	29.44%	32.91%	35.77%	29.46%	19.89%	26.89%	32.42%	27.04%	26.10%	24.35%	28.42%	25.95%	28.08%	26.01%	27.66%	17.93%	13.74%	41.34%	43.71%	42.23%	42.36%	42.55%	37.89%	25.51%	31.90%	17.39%	20.43%	12.33%	31.21%	24.58%	35.15%	30.94%	29.26%	43.84%	27.03%	45.27%					
																																																			
24	Против всех	1006	20	3	2	19	13	24	47	29	43	22	15	38	30	18	26	25	27	49	40	43	32	44	29	12	1	15	29	18	2	28	15	28	16	6	5	2	23	34	27	37	8	34	4	24					
		3.09%	2.16%	1.34%	1.06%	2.19%	1.18%	3.82%	5.02%	4.57%	3.92%	2.78%	2.33%	4.55%	4.26%	2.90%	3.24%	3.23%	5.18%	4.09%	4.68%	4.56%	2.88%	3.70%	4.29%	3.36%	0.76%	2.38%	3.47%	2.71%	0.87%	2.84%	1.74%	3.59%	3.27%	4.35%	2.13%	2.74%	1.50%	3.14%	2.73%	2.46%	0.87%	3.43%	2.16%	3.72%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
