Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Николаевская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409					
		20.61%	13.98%	15.81%	26.52%	19.76%	23.77%	13.01%	23.08%	29.07%	25.73%	28.48%	16.97%	13.82%	29.17%	33.19%	13.97%	15.48%	16.18%	25.99%	17.12%	5.79%	31.09%	20.45%	15.43%	18.29%	17.42%	21.97%	20.09%	9.84%	28.24%	19.86%	13.21%	10.38%	19.06%	18.68%	25.21%	17.00%	6.16%	31.57%	21.56%					
																																														
24	Против всех	224	7	9	11	41	25	6	4	1	4	17	15	4	0	0	1	0	4	2	0	2	7	3	3	5	2	3	4	5	4	2	3	0	15	3	2	4	0	5	1					
		1.21%	0.75%	1.33%	1.10%	3.51%	2.28%	4.88%	2.20%	0.29%	0.73%	1.60%	2.77%	0.27%	0.00%	0.00%	0.28%	0.00%	1.66%	0.29%	0.00%	1.65%	1.62%	1.36%	0.96%	1.47%	1.12%	0.87%	1.79%	2.59%	4.71%	0.68%	0.61%	0.00%	1.44%	0.55%	0.21%	0.99%	0.00%	1.20%	0.30%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
