Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Благовещенская городская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747					
14	Число неиспользованных открепительных удостоверений	715	23	17	28	17	22	21	14	21	21	0	19	10	44	15	33	106	38	13	9	14	7	12	25	8	10	10	10	8	15	15	15	3	10	3	4	9	10	15	12	7	9	3	0	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	56	5	0	5	1	0	2	0	1	3	8	2	3	2	2	4	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4					
		0.19%	0.60%	0.00%	0.80%	0.11%	0.00%	0.26%	0.00%	0.13%	0.43%	0.61%	0.28%	0.39%	0.13%	0.13%	0.25%	0.23%	0.28%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.88%					
19	. Малышкин Олег Александрович	40	2	1	0	1	0	1	0	1	3	6	2	0	2	3	3	3	3	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0					
		0.14%	0.24%	0.21%	0.00%	0.11%	0.00%	0.13%	0.00%	0.13%	0.43%	0.45%	0.28%	0.00%	0.13%	0.20%	0.19%	0.14%	0.21%	0.12%	0.00%	0.40%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	29	0	0	0	0	2	2	0	0	2	1	1	1	2	4	0	2	2	3	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.25%	0.26%	0.00%	0.00%	0.29%	0.08%	0.14%	0.13%	0.13%	0.27%	0.00%	0.09%	0.14%	0.18%	0.26%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.22%					
21	. Путин Владимир Владимирович	28865	811	478	609	858	760	752	192	778	679	1293	706	757	1515	1459	1517	2149	1424	1667	388	251	730	272	344	413	157	314	190	317	176	66	1024	200	126	372	371	233	380	159	539	226	374	1643	752	444					
		98.18%	98.07%	98.96%	96.97%	98.17%	95.72%	97.54%	98.97%	98.11%	97.14%	98.03%	98.06%	98.06%	95.70%	97.92%	96.62%	98.08%	98.00%	98.00%	99.49%	99.60%	100.00%	100.00%	100.00%	99.52%	100.00%	100.00%	100.00%	99.69%	94.12%	95.65%	99.51%	97.56%	97.67%	97.89%	100.00%	100.00%	99.74%	100.00%	99.08%	100.00%	100.00%	98.98%	100.00%	97.37%					
22	. Хакамада Ирина Муцуовна	50	0	0	4	3	2	3	0	0	0	1	2	3	7	1	5	4	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0					
		0.17%	0.00%	0.00%	0.64%	0.34%	0.25%	0.39%	0.00%	0.00%	0.00%	0.08%	0.28%	0.39%	0.44%	0.07%	0.32%	0.18%	0.14%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	243	9	4	10	8	15	4	2	12	9	10	2	8	18	13	41	21	5	11	1	0	0	0	0	0	0	0	0	1	7	2	5	5	2	4	0	0	0	0	3	0	0	5	0	6					
		0.83%	1.09%	0.83%	1.59%	0.92%	1.89%	0.52%	1.03%	1.51%	1.29%	0.76%	0.28%	1.04%	1.14%	0.87%	2.61%	0.96%	0.34%	0.65%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	3.74%	2.90%	0.49%	2.44%	1.55%	1.05%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.30%	0.00%	1.32%					
																																																			
24	Против всех	54	0	0	0	2	7	3	0	1	3	0	5	0	0	6	0	7	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	1					
		0.18%	0.00%	0.00%	0.00%	0.23%	0.88%	0.39%	0.00%	0.13%	0.43%	0.00%	0.69%	0.00%	0.00%	0.40%	0.00%	0.32%	0.69%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.26%	0.00%	0.37%	0.00%	0.00%	0.12%	0.00%	0.22%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
