Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Мещанский район																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №3013	УИК №3014	УИК №3015					
		0.28%	0.59%	0.17%	0.19%	0.18%	0.22%	0.43%	0.14%	0.0%	0.55%	0.13%	0.81%	0.12%	0.24%	0.15%	0.19%	0.17%	0.38%	0.66%	0.19%	0.28%					
32	"15. ""Партия СЛОН"""	45	1	3	3	2	5	2	7	5	0	0	5	6	0	0	0	2	3	1	0	0					
		0.19%	0.19%	0.26%	0.28%	0.12%	0.37%	0.12%	0.49%	0.40%	0.0%	0.0%	0.29%	0.38%	0.0%	0.0%	0.0%	0.34%	0.23%	0.22%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3877	108	152	161	317	215	262	269	176	167	300	308	237	244	214	237	91	225	67	68	59					
		16.72%	21.38%	13.38%	15.30%	19.83%	15.93%	16.15%	19.14%	14.21%	18.70%	20.53%	17.92%	15.23%	15.00%	16.32%	15.69%	15.52%	17.33%	14.95%	13.07%	16.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	0	5	3	1	1	3	0	1	1	2	1	0	5	1	1	1	1	1	0	1					
		0.12%	0.0%	0.44%	0.28%	0.06%	0.07%	0.18%	0.0%	0.08%	0.11%	0.13%	0.05%	0.0%	0.30%	0.07%	0.06%	0.17%	0.07%	0.22%	0.0%	0.28%					
35	"18. ""ЛДПР"""	972	45	67	48	66	50	68	47	33	40	44	48	68	76	46	55	29	48	34	44	16					
		4.19%	8.91%	5.89%	4.56%	4.13%	3.70%	4.19%	3.34%	2.66%	4.47%	3.01%	2.79%	4.37%	4.67%	3.50%	3.64%	4.94%	3.69%	7.58%	8.46%	4.58%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	203	1	4	5	19	10	12	14	12	7	18	12	14	9	7	15	4	14	14	7	5					
		0.87%	0.19%	0.35%	0.47%	1.18%	0.74%	0.73%	0.99%	0.96%	0.78%	1.23%	0.69%	0.89%	0.55%	0.53%	0.99%	0.68%	1.07%	3.12%	1.34%	1.43%					
37	"20. ""Политическая партия ""Единая Россия"""	6222	129	288	279	340	394	421	341	330	202	343	466	540	420	325	451	158	366	123	161	145					
		26.84%	25.54%	25.35%	26.52%	21.27%	29.20%	25.95%	24.27%	26.65%	22.62%	23.47%	27.12%	34.70%	25.83%	24.79%	29.86%	26.96%	28.19%	27.45%	30.96%	41.54%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	2	1	0	0	0	2	1	0	5	1	1	2	0	1	0	1	0	2	0					
		0.08%	0.0%	0.17%	0.09%	0.0%	0.0%	0.0%	0.14%	0.08%	0.0%	0.34%	0.05%	0.06%	0.12%	0.0%	0.06%	0.0%	0.07%	0.0%	0.38%	0.0%					
39	"22. ""Развитие предпринимательства"""	71	1	1	9	3	5	5	5	8	3	0	3	2	6	4	5	2	4	2	3	0					
		0.30%	0.19%	0.08%	0.85%	0.18%	0.37%	0.30%	0.35%	0.64%	0.33%	0.0%	0.17%	0.12%	0.36%	0.30%	0.33%	0.34%	0.30%	0.44%	0.57%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2139	25	84	80	231	132	123	177	124	87	154	168	132	153	107	116	50	75	59	33	29					
		9.22%	4.95%	7.39%	7.60%	14.45%	9.78%	7.58%	12.59%	10.01%	9.74%	10.54%	9.77%	8.48%	9.40%	8.16%	7.68%	8.53%	5.77%	13.16%	6.34%	8.30%					
																											
41	Против всех	1299	39	71	53	97	81	95	66	67	48	74	97	87	87	59	70	37	59	38	52	22					
		5.60%	7.72%	6.25%	5.03%	6.07%	6.00%	5.85%	4.69%	5.41%	5.37%	5.06%	5.64%	5.59%	5.35%	4.50%	4.63%	6.31%	4.54%	8.48%	10.0%	6.30%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
