Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    район Солнцево																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №3375					
14	Число погашенных неиспользованных открепительных удостоверений	327	8	20	13	15	7	19	21	20	8	6	9	15	9	14	5	17	12	12	14	4	8	12	13	20	10	13	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	1	5	1	6	4	1	4	4	5	2	7	1	1	4	1	7	5	4	1	3	9	2	2	0	3	2	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3479	106	152	81	178	202	212	124	75	46	97	24	101	60	175	126	105	112	216	12	77	15	195	241	121	200	205	179	42					
		8.60%	14.62%	6.64%	3.89%	10.80%	14.19%	19.81%	6.96%	3.37%	2.31%	6.21%	2.12%	8.62%	8.00%	15.97%	9.12%	8.54%	8.27%	13.53%	0.61%	4.84%	1.00%	15.58%	15.92%	11.02%	9.94%	19.05%	13.22%	7.51%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3002	66	151	105	198	141	130	34	25	31	116	123	33	45	143	108	106	104	201	15	57	68	184	196	97	179	177	159	10					
		7.42%	9.10%	6.59%	5.04%	12.01%	9.90%	12.15%	1.91%	1.12%	1.56%	7.42%	10.86%	2.82%	6.00%	13.05%	7.81%	8.62%	7.68%	12.59%	0.76%	3.58%	4.55%	14.70%	12.95%	8.83%	8.90%	16.45%	11.74%	1.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	414	10	15	12	19	25	23	4	4	5	29	9	3	12	25	21	12	12	21	4	3	15	28	26	23	23	15	15	1					
		1.02%	1.38%	0.66%	0.58%	1.15%	1.76%	2.15%	0.22%	0.18%	0.25%	1.86%	0.79%	0.26%	1.60%	2.28%	1.52%	0.98%	0.89%	1.32%	0.20%	0.19%	1.00%	2.24%	1.72%	2.09%	1.14%	1.39%	1.11%	0.18%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6477	177	249	239	259	256	265	91	277	219	315	139	182	151	262	294	172	251	236	286	232	279	246	308	242	292	250	288	20					
		16.02%	24.41%	10.87%	11.47%	15.72%	17.98%	24.77%	5.11%	12.44%	10.99%	20.15%	12.27%	15.53%	20.13%	23.91%	21.27%	13.98%	18.54%	14.79%	14.49%	14.59%	18.66%	19.65%	20.34%	22.04%	14.51%	23.23%	21.27%	3.58%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1805	86	77	35	103	117	118	10	8	11	36	14	9	47	107	97	67	32	121	11	28	22	101	91	74	145	105	127	6					
		4.46%	11.86%	3.36%	1.68%	6.25%	8.22%	11.03%	0.56%	0.36%	0.55%	2.30%	1.24%	0.77%	6.27%	9.76%	7.02%	5.45%	2.36%	7.58%	0.56%	1.76%	1.47%	8.07%	6.01%	6.74%	7.21%	9.76%	9.38%	1.07%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24247	247	1495	1438	848	651	292	1495	1787	1667	941	819	832	423	352	694	753	815	771	1633	1171	1070	458	621	521	1147	284	558	464					
		59.96%	34.07%	65.28%	69.04%	51.46%	45.72%	27.29%	83.89%	80.24%	83.68%	60.20%	72.29%	70.99%	56.40%	32.12%	50.22%	61.22%	60.19%	48.31%	82.73%	73.65%	71.57%	36.58%	41.02%	47.45%	57.01%	26.39%	41.21%	83.01%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	218	8	7	7	16	10	9	1	3	6	7	5	8	3	14	18	5	5	10	4	2	5	10	10	7	14	12	11	1					
		0.54%	1.10%	0.31%	0.34%	0.97%	0.70%	0.84%	0.06%	0.13%	0.30%	0.45%	0.44%	0.68%	0.40%	1.28%	1.30%	0.41%	0.37%	0.63%	0.20%	0.13%	0.33%	0.80%	0.66%	0.64%	0.70%	1.12%	0.81%	0.18%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
