Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Новгородская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346					
11	Число полученных открепительных  удостоверений	460	10	26	10	10	8	13	8	15	8	8	10	10	10	8	8	15	15	10	8	15	8	8	8	8	8	8	15	8	15	8	8	8	10	10	15	10	15	15	15	10	15	10					
12	Число выданных открепительных удостоверений	141	4	14	2	0	0	10	2	4	0	0	0	1	0	1	1	3	11	8	0	15	0	0	0	0	0	0	7	0	3	0	1	0	1	8	4	5	6	5	12	5	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	211	5	9	2	3	0	2	2	2	0	3	0	1	0	3	3	2	15	5	1	4	2	2	1	15	0	1	2	0	3	1	9	0	5	2	4	4	57	11	8	7	14	1					
14	Число неиспользованных открепительных удостоверений	319	6	12	8	10	8	3	6	11	8	8	10	9	10	7	7	12	4	2	8	0	8	8	8	8	8	8	8	8	12	8	7	8	9	2	11	5	9	10	3	5	10	7					
15	"Число открепительных удостоверений, выданных в ТИК"	25	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	2	1	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	4	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	738	17	48	5	1	5	20	4	45	2	6	14	26	9	7	5	15	20	17	3	38	6	9	3	0	1	16	52	5	37	1	0	8	3	27	68	23	65	31	33	22	12	9					
		3.29%	2.29%	3.65%	5.68%	0.83%	1.68%	4.42%	1.43%	4.81%	1.94%	2.64%	2.36%	4.24%	2.88%	1.95%	2.14%	2.21%	1.24%	3.12%	2.80%	3.05%	2.64%	2.14%	1.49%	0.00%	1.33%	5.11%	6.05%	2.22%	3.79%	0.98%	0.00%	3.29%	1.84%	2.97%	6.00%	2.62%	6.04%	3.48%	3.11%	4.16%	2.10%	2.05%					
19	. Малышкин Олег Александрович	709	24	29	2	0	10	12	9	29	1	1	17	19	4	10	2	23	39	18	4	59	7	17	10	4	2	3	40	9	22	1	1	7	5	48	43	34	32	23	36	23	12	18					
		3.16%	3.24%	2.21%	2.27%	0.00%	3.37%	2.65%	3.23%	3.10%	0.97%	0.44%	2.87%	3.10%	1.28%	2.79%	0.85%	3.39%	2.42%	3.31%	3.74%	4.74%	3.08%	4.05%	4.95%	2.86%	2.67%	0.96%	4.66%	4.00%	2.26%	0.98%	0.56%	2.88%	3.07%	5.29%	3.79%	3.88%	2.97%	2.58%	3.39%	4.35%	2.10%	4.11%					
20	. Миронов Сергей Михайлович	172	9	18	1	0	3	0	0	5	2	2	4	7	4	0	0	4	14	4	1	10	2	3	1	0	0	1	9	2	3	3	0	0	0	8	2	5	13	9	11	2	2	8					
		0.77%	1.21%	1.37%	1.14%	0.00%	1.01%	0.00%	0.00%	0.53%	1.94%	0.88%	0.67%	1.14%	1.28%	0.00%	0.00%	0.59%	0.87%	0.74%	0.93%	0.80%	0.88%	0.71%	0.50%	0.00%	0.00%	0.32%	1.05%	0.89%	0.31%	2.94%	0.00%	0.00%	0.00%	0.88%	0.18%	0.57%	1.21%	1.01%	1.04%	0.38%	0.35%	1.83%					
21	. Путин Владимир Владимирович	16396	531	936	56	106	235	303	236	638	74	173	435	430	258	289	201	543	1330	419	79	916	159	303	156	111	59	248	543	172	699	83	146	184	135	657	787	609	691	604	724	393	409	336					
		72.99%	71.66%	71.23%	63.64%	88.33%	79.12%	66.89%	84.59%	68.24%	71.84%	76.21%	73.36%	70.15%	82.69%	80.50%	85.90%	79.97%	82.51%	77.02%	73.83%	73.57%	70.04%	72.14%	77.23%	79.29%	78.67%	79.23%	63.21%	76.44%	71.69%	81.37%	82.02%	75.72%	82.82%	72.36%	69.40%	69.44%	64.22%	67.71%	68.24%	74.29%	71.50%	76.71%					
22	. Хакамада Ирина Муцуовна	715	23	29	4	0	5	30	1	37	1	4	15	28	3	13	1	14	35	12	0	49	10	19	5	5	2	7	34	5	43	3	2	8	1	27	53	46	75	15	23	7	16	5					
		3.18%	3.10%	2.21%	4.55%	0.00%	1.68%	6.62%	0.36%	3.96%	0.97%	1.76%	2.53%	4.57%	0.96%	3.62%	0.43%	2.06%	2.17%	2.21%	0.00%	3.94%	4.41%	4.52%	2.48%	3.57%	2.67%	2.24%	3.96%	2.22%	4.41%	2.94%	1.12%	3.29%	0.61%	2.97%	4.67%	5.25%	6.97%	1.68%	2.17%	1.32%	2.80%	1.14%					
23	. Харитонов Николай Михайлович	2732	102	186	15	10	25	58	22	136	19	38	83	79	26	31	22	59	100	48	19	106	33	54	21	18	10	24	121	21	129	5	21	26	17	104	126	105	130	170	189	70	103	51					
		12.16%	13.77%	14.16%	17.05%	8.33%	8.42%	12.80%	7.89%	14.55%	18.45%	16.74%	14.00%	12.89%	8.33%	8.64%	9.40%	8.69%	6.20%	8.82%	17.76%	8.51%	14.54%	12.86%	10.40%	12.86%	13.33%	7.67%	14.09%	9.33%	13.23%	4.90%	11.80%	10.70%	10.43%	11.45%	11.11%	11.97%	12.08%	19.06%	17.81%	13.23%	18.01%	11.64%					
																																																	
24	Против всех	800	27	48	5	1	12	23	3	37	4	2	18	19	6	8	2	18	65	18	0	51	8	14	4	2	1	11	52	11	33	6	4	9	2	30	50	49	62	28	38	5	9	5					
		3.56%	3.64%	3.65%	5.68%	0.83%	4.04%	5.08%	1.08%	3.96%	3.88%	0.88%	3.04%	3.10%	1.92%	2.23%	0.85%	2.65%	4.03%	3.31%	0.00%	4.10%	3.52%	3.33%	1.98%	1.43%	1.33%	3.51%	6.05%	4.89%	3.38%	5.88%	2.25%	3.70%	1.23%	3.30%	4.41%	5.59%	5.76%	3.14%	3.58%	0.95%	1.57%	1.14%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
