Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Павловская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944					
11	Число полученных открепительных  удостоверений	380	20	10	5	5	5	10	10	10	5	10	5	5	5	10	5	10	10	10	15	20	25	10	10	10	10	10	10	10	5	10	5	5	5	5	5	10	5	5	5	5	5	5	10	10					
12	Число выданных открепительных удостоверений	152	10	4	2	0	5	1	6	2	2	6	0	1	0	5	3	1	6	7	10	9	21	2	4	5	1	4	7	4	4	3	0	0	2	0	0	2	1	2	0	0	5	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	6	1	1	1	0	2	2	4	0	2	0	0	0	0	2	0	0	5	11	7	11	4	3	2	0	4	1	9	2	3	1	0	3	1	0	1	0	2	0	0	1	1	4	0					
14	Число неиспользованных открепительных удостоверений	228	10	6	3	5	0	9	4	8	3	4	5	4	5	5	2	9	4	3	5	11	4	8	6	5	9	6	3	6	1	7	5	5	3	5	5	8	4	3	5	5	0	4	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	1024	43	37	16	6	13	23	24	37	11	33	6	2	0	35	18	18	29	25	46	35	51	52	29	61	22	44	30	35	23	33	8	1	11	5	8	32	12	24	0	8	3	9	44	22					
		3.02%	2.08%	3.17%	2.19%	1.43%	1.93%	3.00%	2.23%	3.23%	3.69%	2.46%	1.49%	1.25%	0.00%	2.25%	2.60%	3.20%	3.33%	2.40%	3.56%	3.91%	4.43%	3.77%	3.48%	4.57%	2.62%	4.48%	4.57%	3.49%	4.23%	4.32%	4.23%	0.67%	2.05%	3.73%	3.65%	3.70%	3.70%	4.47%	0.00%	4.60%	1.51%	1.98%	2.72%	1.48%					
19	. Малышкин Олег Александрович	759	67	34	18	14	8	22	21	19	14	31	6	6	2	28	25	8	11	21	18	14	21	43	18	26	35	17	9	18	10	20	7	1	11	3	5	22	10	18	3	8	8	4	35	20					
		2.24%	3.23%	2.91%	2.47%	3.33%	1.19%	2.87%	1.95%	1.66%	4.70%	2.31%	1.49%	3.75%	1.04%	1.80%	3.62%	1.42%	1.26%	2.01%	1.39%	1.56%	1.83%	3.12%	2.16%	1.95%	4.17%	1.73%	1.37%	1.79%	1.84%	2.62%	3.70%	0.67%	2.05%	2.24%	2.28%	2.54%	3.09%	3.35%	2.22%	4.60%	4.02%	0.88%	2.17%	1.35%					
20	. Миронов Сергей Михайлович	194	8	7	5	2	4	2	6	5	3	12	4	0	3	6	7	2	1	4	10	10	12	6	6	4	4	8	3	4	3	2	1	2	5	0	1	7	0	5	1	2	0	0	8	9					
		0.57%	0.39%	0.60%	0.69%	0.48%	0.60%	0.26%	0.56%	0.44%	1.01%	0.89%	0.99%	0.00%	1.56%	0.39%	1.01%	0.36%	0.11%	0.38%	0.77%	1.12%	1.04%	0.43%	0.72%	0.30%	0.48%	0.81%	0.46%	0.40%	0.55%	0.26%	0.53%	1.34%	0.93%	0.00%	0.46%	0.81%	0.00%	0.93%	0.74%	1.15%	0.00%	0.00%	0.50%	0.61%					
21	. Путин Владимир Владимирович	20222	1382	676	418	286	425	485	629	676	176	826	277	63	92	609	351	336	499	626	814	549	694	825	503	854	518	608	403	620	342	475	116	84	335	66	151	369	116	241	67	113	132	282	1073	1040					
		59.72%	66.70%	57.93%	57.34%	68.10%	63.24%	63.23%	58.51%	58.99%	59.06%	61.50%	68.73%	39.38%	47.92%	39.11%	50.80%	59.79%	57.29%	60.02%	63.00%	61.27%	60.35%	59.78%	60.38%	63.92%	61.67%	61.85%	61.34%	61.75%	62.87%	62.17%	61.38%	56.38%	62.50%	49.25%	68.95%	42.61%	35.80%	44.88%	49.63%	64.94%	66.33%	61.98%	66.40%	70.08%					
22	. Хакамада Ирина Муцуовна	574	34	28	8	0	3	4	11	19	6	23	6	2	3	19	11	12	14	20	29	20	27	34	15	25	17	19	16	23	16	14	6	3	20	1	2	12	2	5	5	2	5	2	22	9					
		1.70%	1.64%	2.40%	1.10%	0.00%	0.45%	0.52%	1.02%	1.66%	2.01%	1.71%	1.49%	1.25%	1.56%	1.22%	1.59%	2.14%	1.61%	1.92%	2.24%	2.23%	2.35%	2.46%	1.80%	1.87%	2.02%	1.93%	2.44%	2.29%	2.94%	1.83%	3.17%	2.01%	3.73%	0.75%	0.91%	1.39%	0.62%	0.93%	3.70%	1.15%	2.51%	0.44%	1.36%	0.61%					
23	. Харитонов Николай Михайлович	10042	476	333	235	100	206	212	350	357	81	399	96	83	81	835	252	171	297	309	338	235	291	366	228	328	223	254	170	257	131	197	50	54	140	50	48	384	166	225	57	36	40	147	394	360					
		29.65%	22.97%	28.53%	32.24%	23.81%	30.65%	27.64%	32.56%	31.15%	27.18%	29.71%	23.82%	51.88%	42.19%	53.63%	36.47%	30.43%	34.10%	29.63%	26.16%	26.23%	25.30%	26.52%	27.37%	24.55%	26.55%	25.84%	25.88%	25.60%	24.08%	25.79%	26.46%	36.24%	26.12%	37.31%	21.92%	44.34%	51.23%	41.90%	42.22%	20.69%	20.10%	32.31%	24.38%	24.26%					
																																																			
24	Против всех	852	51	40	16	6	12	14	26	25	7	17	2	4	7	19	18	10	14	34	34	32	52	36	33	29	20	28	23	43	17	17	1	4	12	9	3	31	17	19	2	2	10	8	27	21					
		2.52%	2.46%	3.43%	2.19%	1.43%	1.79%	1.83%	2.42%	2.18%	2.35%	1.27%	0.50%	2.50%	3.65%	1.22%	2.60%	1.78%	1.61%	3.26%	2.63%	3.57%	4.52%	2.61%	3.96%	2.17%	2.38%	2.85%	3.50%	4.28%	3.12%	2.23%	0.53%	2.68%	2.24%	6.72%	1.37%	3.58%	5.25%	3.54%	1.48%	1.15%	5.03%	1.76%	1.67%	1.42%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
