Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Чеховская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014					
		1.52%	1.02%	1.25%	1.45%	1.62%	1.48%	1.30%	1.46%	1.25%	2.16%	0.70%	0.98%	1.23%	0.78%	1.04%	1.75%	3.74%	1.00%	1.70%	2.82%	1.88%	0.79%	2.04%	0.81%	0.73%	1.25%	0.95%	1.43%	1.88%	3.85%	2.01%	1.71%	1.40%	2.63%	2.35%	1.50%	0.92%	1.67%	1.41%	1.54%	2.75%	1.15%	2.99%	1.45%	1.60%	1.38%	1.69%	2.96%	2.09%	1.84%	1.17%	1.22%	0.76%					
20	. Миронов Сергей Михайлович	521	10	3	13	4	3	11	7	19	23	3	8	4	4	9	6	12	6	57	20	51	6	5	2	2	14	6	8	0	0	10	0	32	59	14	5	9	8	2	8	1	0	0	0	0	1	12	11	4	11	4	8	6					
		0.71%	0.53%	0.47%	0.78%	0.36%	0.28%	0.75%	0.41%	0.91%	1.46%	0.26%	0.41%	0.27%	0.17%	0.43%	0.29%	0.57%	0.29%	2.86%	1.82%	2.23%	0.39%	0.85%	0.14%	0.13%	0.88%	0.32%	0.44%	0.00%	0.00%	0.72%	0.00%	1.95%	4.30%	0.87%	0.93%	0.49%	0.89%	0.12%	0.46%	0.20%	0.00%	0.00%	0.00%	0.00%	0.15%	0.81%	0.71%	0.64%	0.53%	0.17%	0.37%	0.28%					
21	. Путин Владимир Владимирович	55758	1190	535	1327	888	874	1111	1297	1542	968	917	1555	950	1770	1642	1581	1426	1493	1201	765	1527	1133	413	1117	1279	1348	1494	1313	606	79	1010	499	1089	919	1324	395	1339	693	1424	1448	394	201	114	359	812	563	963	1311	467	1598	1965	1742	1788					
		75.63%	63.60%	83.72%	79.99%	80.07%	81.08%	75.73%	75.72%	74.10%	61.38%	80.23%	80.61%	64.89%	76.86%	77.75%	77.05%	68.33%	70.99%	60.20%	69.67%	66.83%	74.34%	70.24%	75.83%	84.87%	84.25%	78.71%	72.42%	76.13%	75.96%	72.35%	77.48%	66.24%	67.03%	81.83%	73.83%	72.57%	77.34%	83.91%	82.79%	77.41%	77.01%	85.07%	86.51%	81.36%	86.09%	64.98%	84.36%	74.96%	77.27%	84.81%	81.59%	84.58%					
22	. Хакамада Ирина Муцуовна	2060	78	7	36	34	22	53	59	57	30	38	33	69	65	43	47	54	99	114	42	91	41	17	42	24	31	38	68	9	0	30	11	47	57	45	13	34	19	29	20	6	7	0	4	13	13	80	30	16	78	64	46	57					
		2.79%	4.17%	1.10%	2.17%	3.07%	2.04%	3.61%	3.44%	2.74%	1.90%	3.32%	1.71%	4.71%	2.82%	2.04%	2.29%	2.59%	4.71%	5.71%	3.83%	3.98%	2.69%	2.89%	2.85%	1.59%	1.94%	2.00%	3.75%	1.13%	0.00%	2.15%	1.71%	2.86%	4.16%	2.78%	2.43%	1.84%	2.12%	1.71%	1.14%	1.18%	2.68%	0.00%	0.96%	1.30%	1.99%	5.40%	1.93%	2.57%	3.77%	2.76%	2.15%	2.70%					
23	. Харитонов Николай Михайлович	6351	175	53	102	74	80	145	148	199	255	65	195	177	216	192	142	232	187	235	117	247	173	65	136	94	70	153	201	107	14	139	46	197	88	111	74	285	117	107	145	67	24	11	25	107	28	74	36	47	101	91	94	88					
		8.61%	9.35%	8.29%	6.15%	6.67%	7.42%	9.88%	8.64%	9.56%	16.17%	5.69%	10.11%	12.09%	9.38%	9.09%	6.92%	11.12%	8.89%	11.78%	10.66%	10.81%	11.35%	11.05%	9.23%	6.24%	4.38%	8.06%	11.09%	13.44%	13.46%	9.96%	7.14%	11.98%	6.42%	6.86%	13.83%	15.45%	13.06%	6.31%	8.29%	13.16%	9.20%	8.21%	6.02%	10.72%	4.28%	4.99%	2.32%	7.54%	4.88%	3.93%	4.40%	4.16%					
																																																											
24	Против всех	3757	163	17	94	52	54	63	96	116	95	56	50	123	78	75	150	87	124	180	55	182	84	26	70	42	67	116	98	27	4	139	35	119	128	25	15	58	12	43	30	6	9	3	9	22	23	112	78	33	143	86	98	87					
		5.10%	8.71%	2.66%	5.67%	4.69%	5.01%	4.29%	5.60%	5.57%	6.02%	4.90%	2.59%	8.40%	3.39%	3.55%	7.31%	4.17%	5.90%	9.02%	5.01%	7.96%	5.51%	4.42%	4.75%	2.79%	4.19%	6.11%	5.41%	3.39%	3.85%	9.96%	5.43%	7.24%	9.34%	1.55%	2.80%	3.14%	1.34%	2.53%	1.72%	1.18%	3.45%	2.24%	2.17%	2.20%	3.52%	7.56%	5.02%	5.30%	6.91%	3.71%	4.59%	4.12%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
