Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Семикаракорская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1232	УИК №2567					
20	. Миронов Сергей Михайлович	213	1	8	13	8	7	11	13	6	5	19	0	0	4	4	7	9	1	7	6	5	3	6	4	0	5	3	4	0	1	8	3	6	2	6	2	1	6	11	8					
		0.67%	0.35%	0.71%	0.80%	0.57%	0.41%	0.63%	0.80%	0.46%	1.20%	1.52%	0.00%	0.00%	0.31%	0.40%	0.69%	0.59%	0.22%	1.29%	1.33%	0.37%	0.57%	0.63%	0.52%	0.00%	0.52%	0.89%	1.04%	0.00%	0.16%	1.18%	0.49%	0.98%	0.69%	0.51%	0.76%	0.51%	0.98%	0.99%	1.53%					
21	. Путин Владимир Владимирович	22531	157	691	1094	960	1287	1095	1183	796	255	896	103	117	997	807	698	1070	342	415	371	1033	349	701	623	442	694	166	235	265	463	465	447	374	169	849	175	142	477	763	365					
		70.52%	54.51%	61.31%	67.70%	68.18%	74.74%	63.00%	72.49%	61.37%	61.00%	71.57%	74.64%	79.59%	78.26%	79.98%	68.84%	70.39%	76.51%	76.43%	82.44%	75.51%	66.48%	74.02%	81.76%	75.43%	71.84%	49.40%	60.88%	79.10%	74.80%	68.38%	73.40%	61.11%	58.08%	71.95%	66.54%	72.08%	78.07%	68.49%	69.79%					
22	. Хакамада Ирина Муцуовна	462	12	11	21	16	26	33	19	40	5	23	0	2	17	14	17	9	4	9	3	11	11	10	14	13	13	2	5	4	8	19	4	6	4	17	5	3	3	23	6					
		1.45%	4.17%	0.98%	1.30%	1.14%	1.51%	1.90%	1.16%	3.08%	1.20%	1.84%	0.00%	1.36%	1.33%	1.39%	1.68%	0.59%	0.89%	1.66%	0.67%	0.80%	2.10%	1.06%	1.84%	2.22%	1.35%	0.60%	1.30%	1.19%	1.29%	2.79%	0.66%	0.98%	1.37%	1.44%	1.90%	1.52%	0.49%	2.06%	1.15%					
23	. Харитонов Николай Михайлович	5855	73	279	342	308	277	424	242	214	80	194	23	16	146	104	204	330	60	105	41	254	122	150	83	97	193	138	100	45	102	133	112	159	82	214	55	39	61	182	72					
		18.33%	25.35%	24.76%	21.16%	21.88%	16.09%	24.40%	14.83%	16.50%	19.14%	15.50%	16.67%	10.88%	11.46%	10.31%	20.12%	21.71%	13.42%	19.34%	9.11%	18.57%	23.24%	15.84%	10.89%	16.55%	19.98%	41.07%	25.91%	13.43%	16.48%	19.56%	18.39%	25.98%	28.18%	18.14%	20.91%	19.80%	9.98%	16.34%	13.77%					
																																														
24	Против всех	508	8	18	23	13	20	30	29	34	16	27	3	4	11	12	19	20	4	3	5	22	10	11	5	6	15	1	7	7	9	7	10	9	4	10	2	3	13	36	22					
		1.59%	2.78%	1.60%	1.42%	0.92%	1.16%	1.73%	1.78%	2.62%	3.83%	2.16%	2.17%	2.72%	0.86%	1.19%	1.87%	1.32%	0.89%	0.55%	1.11%	1.61%	1.90%	1.16%	0.66%	1.02%	1.55%	0.30%	1.81%	2.09%	1.45%	1.03%	1.64%	1.47%	1.37%	0.85%	0.76%	1.52%	2.13%	3.23%	4.21%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
