Выборы Президента Российской Федерации																																																																																	
Дата голосования: 18.03.2018																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Россошанская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																															
																																																																																	
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470									
17	Собчак Ксения Анатольевна	305	4	12	6	2	6	14	7	6	12	7	13	4	12	16	12	10	1	4	8	9	7	6	7	8	7	7	3	5	0	2	4	0	2	7	7	2	1	1	0	0	1	4	5	0	2	1	1	2	1	9	0	2	4	2	6	1	1	0	3	1	7	5	1	2	0	0	0	1	1	1									
		0.71%	0.38%	0.90%	0.63%	0.19%	0.66%	1.15%	0.66%	0.52%	1.10%	0.69%	1.16%	0.38%	1.25%	1.48%	1.20%	1.04%	0.16%	0.39%	0.80%	0.95%	0.76%	0.68%	0.82%	0.94%	0.70%	0.72%	0.35%	0.59%	0.00%	0.58%	1.79%	0.00%	0.25%	2.06%	0.90%	0.48%	0.43%	0.31%	0.00%	0.00%	0.26%	1.48%	0.89%	0.00%	1.82%	0.50%	0.16%	0.65%	2.13%	0.82%	0.00%	1.67%	4.00%	2.94%	0.73%	0.47%	0.68%	0.00%	1.38%	0.52%	0.58%	0.48%	2.13%	0.51%	0.00%	0.00%	0.00%	0.25%	0.53%	0.71%									
18	Сурайкин Максим Александрович	395	7	8	8	12	10	9	21	8	9	13	12	10	8	11	12	12	5	13	10	11	10	8	9	9	12	10	7	10	2	1	0	6	8	2	7	1	4	2	0	2	1	1	8	1	1	4	2	3	2	6	0	2	1	2	6	1	4	3	1	0	10	7	2	1	1	2	2	1	1	0									
		0.92%	0.66%	0.60%	0.84%	1.15%	1.10%	0.74%	1.97%	0.70%	0.82%	1.28%	1.07%	0.95%	0.83%	1.02%	1.20%	1.25%	0.78%	1.27%	1.00%	1.16%	1.08%	0.90%	1.05%	1.06%	1.21%	1.02%	0.81%	1.18%	0.87%	0.29%	0.00%	0.93%	1.01%	0.59%	0.90%	0.24%	1.72%	0.61%	0.00%	0.42%	0.26%	0.37%	1.42%	0.56%	0.91%	1.98%	0.31%	0.98%	4.26%	0.55%	0.00%	1.67%	1.00%	2.94%	0.73%	0.47%	2.72%	2.19%	0.46%	0.00%	0.83%	0.67%	4.26%	0.25%	0.30%	0.76%	1.05%	0.25%	0.53%	0.00%									
19	Титов Борис Юрьевич	232	5	6	6	13	7	4	13	8	7	9	8	8	4	9	4	4	1	13	3	6	5	4	8	6	3	5	3	2	0	0	0	3	3	1	0	1	0	3	2	2	4	0	3	2	0	1	1	1	0	6	0	1	1	0	3	1	0	0	0	0	7	3	2	1	3	2	0	1	0	0									
		0.54%	0.47%	0.45%	0.63%	1.25%	0.77%	0.33%	1.22%	0.70%	0.64%	0.89%	0.71%	0.76%	0.42%	0.83%	0.40%	0.42%	0.16%	1.27%	0.30%	0.63%	0.54%	0.45%	0.93%	0.70%	0.30%	0.51%	0.35%	0.24%	0.00%	0.00%	0.00%	0.47%	0.38%	0.29%	0.00%	0.24%	0.00%	0.92%	1.10%	0.42%	1.04%	0.00%	0.53%	1.12%	0.00%	0.50%	0.16%	0.33%	0.00%	0.55%	0.00%	0.83%	1.00%	0.00%	0.36%	0.47%	0.00%	0.00%	0.00%	0.00%	0.58%	0.29%	4.26%	0.25%	0.90%	0.76%	0.00%	0.25%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	160	7	4	8	1	3	5	6	5	5	5	5	11	4	9	5	10	4	5	3	5	2	6	2	3	1	2	1	4	0	0	1	0	3	0	0	1	0	1	1	0	4	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	5	2	1	2	0	1	0	0	1	0									
		0.37%	0.66%	0.30%	0.84%	0.10%	0.33%	0.41%	0.56%	0.44%	0.46%	0.49%	0.45%	1.04%	0.42%	0.83%	0.50%	1.04%	0.63%	0.49%	0.30%	0.53%	0.22%	0.68%	0.23%	0.35%	0.10%	0.20%	0.12%	0.47%	0.00%	0.00%	0.45%	0.00%	0.38%	0.00%	0.00%	0.24%	0.00%	0.31%	0.55%	0.00%	1.04%	0.00%	0.18%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.19%	2.13%	0.51%	0.00%	0.38%	0.00%	0.00%	0.53%	0.00%									
																																																																																	
																																																																																	
