Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Нефтекамская городская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069					
12	Число выданных открепительных удостоверений	1373	46	37	35	24	35	30	26	33	33	29	21	31	25	32	45	46	36	22	17	31	26	35	0	20	39	50	50	29	26	40	42	30	53	32	37	1	11	25	46	24	28	21	10	11	15	8	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	761	10	8	9	79	8	55	3	3	12	82	8	7	12	16	17	7	14	5	9	7	7	7	2	5	4	13	17	8	13	20	22	1	7	6	9	0	115	17	6	24	9	5	0	18	8	11	36					
14	Число неиспользованных открепительных удостоверений	797	19	13	15	11	15	20	24	24	17	21	29	4	25	18	5	4	14	33	33	19	24	0	0	30	11	0	0	21	29	10	13	20	2	23	28	2	19	25	4	31	27	4	15	24	20	27	25					
15	"Число открепительных удостоверений, выданных в ТИК"	30	0	0	0	2	0	2	0	1	0	0	3	0	0	0	3	1	0	3	2	0	1	0	0	0	0	1	1	2	0	3	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	1376	7	12	31	7	17	43	46	7	36	118	34	58	15	14	8	49	12	56	68	60	47	31	0	51	22	55	47	6	11	7	12	65	73	52	18	2	4	23	38	9	3	31	2	23	22	21	3					
		1.85%	0.42%	0.73%	1.79%	0.49%	1.09%	2.36%	3.48%	0.43%	2.20%	6.48%	2.25%	4.49%	1.07%	0.76%	0.45%	2.63%	0.72%	3.64%	5.39%	3.30%	2.59%	2.37%	0.00%	2.93%	1.25%	2.72%	2.64%	0.33%	0.57%	0.37%	0.52%	3.91%	3.86%	2.81%	1.13%	1.10%	1.26%	1.36%	2.21%	0.52%	0.18%	1.86%	0.31%	1.33%	1.55%	1.57%	0.14%					
19	. Малышкин Олег Александрович	672	7	5	24	23	4	33	15	12	20	23	21	17	16	12	6	19	10	15	20	19	21	25	0	15	14	16	17	2	10	13	8	19	22	23	11	6	3	8	23	19	6	19	1	22	13	12	3					
		0.91%	0.42%	0.30%	1.38%	1.60%	0.26%	1.81%	1.13%	0.73%	1.22%	1.26%	1.39%	1.32%	1.14%	0.65%	0.34%	1.02%	0.60%	0.97%	1.58%	1.05%	1.16%	1.91%	0.00%	0.86%	0.80%	0.79%	0.96%	0.11%	0.52%	0.68%	0.35%	1.14%	1.16%	1.24%	0.69%	3.31%	0.95%	0.47%	1.34%	1.09%	0.36%	1.14%	0.15%	1.27%	0.91%	0.90%	0.14%					
20	. Миронов Сергей Михайлович	303	4	6	10	3	2	13	2	6	2	9	3	6	2	10	0	9	5	13	6	9	12	10	0	11	5	9	11	1	3	5	6	6	7	9	11	0	0	8	8	8	5	11	1	19	3	12	2					
		0.41%	0.24%	0.36%	0.58%	0.21%	0.13%	0.71%	0.15%	0.36%	0.12%	0.49%	0.20%	0.46%	0.14%	0.54%	0.00%	0.48%	0.30%	0.84%	0.48%	0.50%	0.66%	0.76%	0.00%	0.63%	0.28%	0.44%	0.62%	0.05%	0.15%	0.26%	0.26%	0.36%	0.37%	0.49%	0.69%	0.00%	0.00%	0.47%	0.46%	0.46%	0.30%	0.66%	0.15%	1.10%	0.21%	0.90%	0.09%					
21	. Путин Владимир Владимирович	63243	1575	1518	1579	1201	1412	1494	1007	1565	1337	1085	1363	966	1285	1742	1627	1505	1603	1121	908	1526	1469	1054	241	1100	1638	1714	1454	1717	1700	1708	2209	1339	1456	1449	1376	159	276	1584	1419	1570	1595	1348	585	1434	1158	1090	1982					
		85.20%	93.69%	92.28%	91.01%	83.40%	90.86%	82.00%	76.11%	95.02%	81.77%	59.62%	90.09%	74.83%	91.92%	94.73%	91.71%	80.70%	95.64%	72.79%	71.95%	83.94%	80.85%	80.46%	98.37%	63.11%	93.07%	84.64%	81.82%	94.24%	87.67%	89.56%	96.29%	80.47%	76.91%	78.20%	86.27%	87.85%	87.07%	93.51%	82.40%	90.13%	95.00%	81.06%	89.31%	82.84%	81.38%	81.65%	91.38%					
22	. Хакамада Ирина Муцуовна	1124	3	10	32	3	9	36	44	8	30	83	36	33	21	11	6	38	14	45	39	38	14	37	0	41	16	43	47	5	25	11	12	30	51	44	19	8	7	12	40	0	7	26	0	32	22	33	3					
		1.51%	0.18%	0.61%	1.84%	0.21%	0.58%	1.98%	3.33%	0.49%	1.83%	4.56%	2.38%	2.56%	1.50%	0.60%	0.34%	2.04%	0.84%	2.92%	3.09%	2.09%	0.77%	2.82%	0.00%	2.35%	0.91%	2.12%	2.64%	0.27%	1.29%	0.58%	0.52%	1.80%	2.69%	2.37%	1.19%	4.42%	2.21%	0.71%	2.32%	0.00%	0.42%	1.56%	0.00%	1.85%	1.55%	2.47%	0.14%					
23	. Харитонов Николай Михайлович	5807	78	76	39	182	105	171	177	30	171	437	20	182	51	41	110	207	19	245	179	120	208	111	0	174	46	153	138	64	170	121	36	161	200	219	135	4	22	36	147	128	52	189	65	158	139	130	161					
		7.82%	4.64%	4.62%	2.25%	12.64%	6.76%	9.39%	13.38%	1.82%	10.46%	24.01%	1.32%	14.10%	3.65%	2.23%	6.20%	11.10%	1.13%	15.91%	14.18%	6.60%	11.45%	8.47%	0.00%	9.98%	2.61%	7.56%	7.77%	3.51%	8.77%	6.35%	1.57%	9.68%	10.57%	11.82%	8.46%	2.21%	6.94%	2.13%	8.54%	7.35%	3.10%	11.37%	9.92%	9.13%	9.77%	9.74%	7.42%					
																																																						
24	Против всех	943	4	10	12	5	2	19	15	15	22	60	21	21	5	4	6	28	6	36	27	32	28	34	3	36	12	27	46	7	12	33	7	36	69	37	20	1	4	10	37	8	9	22	1	23	41	21	9					
		1.27%	0.24%	0.61%	0.69%	0.35%	0.13%	1.04%	1.13%	0.91%	1.35%	3.30%	1.39%	1.63%	0.36%	0.22%	0.34%	1.50%	0.36%	2.34%	2.14%	1.76%	1.54%	2.60%	1.22%	2.07%	0.68%	1.33%	2.59%	0.38%	0.62%	1.73%	0.31%	2.16%	3.65%	2.00%	1.25%	0.55%	1.26%	0.59%	2.15%	0.46%	0.54%	1.32%	0.15%	1.33%	2.88%	1.57%	0.41%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
