Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Козельская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394					
22	. Хакамада Ирина Муцуовна	472	12	0	4	1	1	2	0	7	2	0	6	0	2	4	2	3	3	5	2	1	13	9	7	14	30	5	25	4	48	54	18	31	40	36	34	19	28					
		2.07%	1.15%	0.00%	1.23%	0.91%	0.17%	1.37%	0.00%	2.14%	0.57%	0.00%	2.84%	0.00%	0.72%	1.36%	0.86%	0.48%	1.24%	1.14%	1.33%	0.44%	2.38%	1.76%	1.21%	2.41%	2.37%	1.03%	2.56%	4.49%	3.24%	2.69%	1.97%	2.84%	3.98%	2.59%	2.22%	1.50%	3.04%					
23	. Харитонов Николай Михайлович	3449	139	22	41	38	101	15	13	39	28	26	12	22	36	51	43	82	34	64	38	21	116	90	131	136	242	88	290	14	257	151	136	105	121	176	214	179	138					
		15.09%	13.37%	11.70%	12.65%	34.55%	17.03%	10.27%	16.25%	11.93%	7.95%	11.56%	5.69%	18.33%	12.90%	17.35%	18.53%	13.02%	14.05%	14.65%	25.33%	9.17%	21.25%	17.65%	22.66%	23.45%	19.10%	18.18%	29.71%	15.73%	17.34%	7.52%	14.88%	9.61%	12.05%	12.64%	13.96%	14.14%	14.98%					
																																												
24	Против всех	708	17	1	4	1	13	1	2	5	3	1	2	1	8	8	5	9	2	4	0	1	9	14	12	11	33	8	45	2	74	104	34	44	48	43	46	55	38					
		3.10%	1.63%	0.53%	1.23%	0.91%	2.19%	0.68%	2.50%	1.53%	0.85%	0.44%	0.95%	0.83%	2.87%	2.72%	2.16%	1.43%	0.83%	0.92%	0.00%	0.44%	1.65%	2.75%	2.08%	1.90%	2.60%	1.65%	4.61%	2.25%	4.99%	5.18%	3.72%	4.03%	4.78%	3.09%	3.00%	4.34%	4.13%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
