Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	3083	48	63	48	17	19	57	70	63	58	59	59	39	50	28	47	86	78	84	92	71	92	34	44	80	63	37	64	39	62	78	86	63	72	23	34	45	36	31	57	53	58	39	62	46	51	31	46	98	103	92	54	38	127	9					
		5.72%	5.13%	5.73%	5.33%	4.49%	4.71%	5.61%	5.43%	5.51%	5.75%	6.43%	5.66%	5.91%	3.95%	5.46%	4.89%	7.62%	5.35%	6.92%	6.15%	5.81%	6.73%	4.26%	5.87%	5.70%	5.43%	4.74%	5.14%	4.47%	5.21%	6.87%	6.31%	6.56%	6.80%	4.94%	4.42%	4.76%	5.74%	5.11%	6.60%	7.11%	6.53%	4.55%	6.42%	5.54%	5.28%	4.59%	6.16%	5.91%	5.86%	6.10%	5.45%	5.36%	7.62%	1.83%					
19	. Малышкин Олег Александрович	1482	35	42	10	14	33	21	20	22	32	26	17	13	67	23	20	30	40	21	23	23	42	34	23	35	21	28	24	21	39	29	56	17	29	15	25	42	18	19	17	12	24	26	27	22	23	22	23	39	48	34	49	15	39	13					
		2.75%	3.74%	3.82%	1.11%	3.69%	8.19%	2.07%	1.55%	1.92%	3.17%	2.84%	1.63%	1.97%	5.30%	4.48%	2.08%	2.66%	2.74%	1.73%	1.54%	1.88%	3.07%	4.26%	3.07%	2.49%	1.81%	3.59%	1.93%	2.41%	3.28%	2.55%	4.11%	1.77%	2.74%	3.22%	3.25%	4.44%	2.87%	3.13%	1.97%	1.61%	2.70%	3.03%	2.80%	2.65%	2.38%	3.25%	3.08%	2.35%	2.73%	2.26%	4.95%	2.12%	2.34%	2.64%					
20	. Миронов Сергей Михайлович	449	7	9	11	2	2	12	13	8	11	5	8	7	12	4	6	10	11	8	12	6	15	11	6	10	7	5	9	1	5	10	16	7	7	7	13	4	8	5	6	3	7	12	3	10	9	6	11	12	12	16	8	3	16	5					
		0.83%	0.75%	0.82%	1.22%	0.53%	0.50%	1.18%	1.01%	0.70%	1.09%	0.55%	0.77%	1.06%	0.95%	0.78%	0.62%	0.89%	0.75%	0.66%	0.80%	0.49%	1.10%	1.38%	0.80%	0.71%	0.60%	0.64%	0.72%	0.11%	0.42%	0.88%	1.17%	0.73%	0.66%	1.50%	1.69%	0.42%	1.28%	0.82%	0.69%	0.40%	0.79%	1.40%	0.31%	1.20%	0.93%	0.89%	1.47%	0.72%	0.68%	1.06%	0.81%	0.42%	0.96%	1.02%					
21	. Путин Владимир Владимирович	33952	591	697	617	241	247	652	803	712	646	545	650	427	802	322	590	690	867	725	922	742	876	519	508	848	732	502	762	615	751	690	852	570	629	310	499	589	393	389	555	449	534	524	621	479	642	435	452	1078	1120	1008	593	488	1043	409					
		63.02%	63.14%	63.42%	68.48%	63.59%	61.29%	64.17%	62.30%	62.24%	64.02%	59.43%	62.38%	64.70%	63.40%	62.77%	61.39%	61.17%	59.42%	59.72%	61.63%	60.72%	64.08%	64.96%	67.73%	60.40%	63.10%	64.28%	61.20%	70.53%	63.11%	60.74%	62.51%	59.38%	59.40%	66.52%	64.81%	62.26%	62.68%	64.09%	64.24%	60.27%	60.14%	61.07%	64.35%	57.64%	66.53%	64.35%	60.51%	64.98%	63.67%	66.89%	59.90%	68.83%	62.61%	83.13%					
22	. Хакамада Ирина Муцуовна	1994	29	28	42	10	13	34	49	54	43	44	34	19	28	11	36	56	88	48	55	42	60	14	25	61	47	16	50	32	48	35	50	46	29	13	17	40	31	21	26	30	32	34	39	27	26	22	30	68	55	34	18	22	112	21					
		3.70%	3.10%	2.55%	4.66%	2.64%	3.23%	3.35%	3.80%	4.72%	4.26%	4.80%	3.26%	2.88%	2.21%	2.14%	3.75%	4.96%	6.03%	3.95%	3.68%	3.44%	4.39%	1.75%	3.33%	4.34%	4.05%	2.05%	4.02%	3.67%	4.03%	3.08%	3.67%	4.79%	2.74%	2.79%	2.21%	4.23%	4.94%	3.46%	3.01%	4.03%	3.60%	3.96%	4.04%	3.25%	2.69%	3.25%	4.02%	4.10%	3.13%	2.26%	1.82%	3.10%	6.72%	4.27%					
23	. Харитонов Николай Михайлович	10681	181	212	136	69	71	203	271	230	168	207	229	125	261	105	232	215	308	284	339	282	219	88	105	319	264	154	298	137	243	265	246	213	244	78	158	199	109	116	173	165	192	188	170	218	194	127	157	302	336	269	214	126	253	14					
		19.83%	19.34%	19.29%	15.09%	18.21%	17.62%	19.98%	21.02%	20.10%	16.65%	22.57%	21.98%	18.94%	20.63%	20.47%	24.14%	19.06%	21.11%	23.39%	22.66%	23.08%	16.02%	11.01%	14.00%	22.72%	22.76%	19.72%	23.94%	15.71%	20.42%	23.33%	18.05%	22.19%	23.04%	16.74%	20.52%	21.04%	17.38%	19.11%	20.02%	22.15%	21.62%	21.91%	17.62%	26.23%	20.10%	18.79%	21.02%	18.20%	19.10%	17.85%	21.62%	17.77%	15.19%	2.85%					
																																																													
24	Против всех	1665	32	28	28	16	9	26	46	45	41	24	31	22	36	11	24	32	50	39	45	45	54	45	34	45	25	24	30	23	27	26	43	31	35	14	15	23	23	22	25	26	32	24	31	21	20	25	16	55	53	42	34	8	64	20					
		3.09%	3.42%	2.55%	3.11%	4.22%	2.23%	2.56%	3.57%	3.93%	4.06%	2.62%	2.98%	3.33%	2.85%	2.14%	2.50%	2.84%	3.43%	3.21%	3.01%	3.68%	3.95%	5.63%	4.53%	3.21%	2.16%	3.07%	2.41%	2.64%	2.27%	2.29%	3.15%	3.23%	3.31%	3.00%	1.95%	2.43%	3.67%	3.62%	2.89%	3.49%	3.60%	2.80%	3.21%	2.53%	2.07%	3.70%	2.14%	3.32%	3.01%	2.79%	3.43%	1.13%	3.84%	4.07%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
