Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Обручевский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №3165	УИК №3166	УИК №3167	УИК №3168					
		11.09%	10.66%	10.80%	10.31%	16.87%	12.13%	7.64%	12.16%	12.52%	8.43%	10.10%	8.68%	14.27%	10.98%	14.24%	12.32%	9.75%	9.28%	11.61%	5.76%	8.59%	8.97%	15.52%	5.59%					
23	. Харитонов Николай Михайлович	1606	70	76	139	74	95	83	45	121	75	85	80	86	125	78	97	104	37	55	64	8	6	0	3					
		7.36%	6.11%	7.27%	9.49%	6.00%	8.06%	8.57%	5.82%	10.75%	8.21%	7.53%	6.25%	8.29%	10.48%	5.64%	8.66%	8.82%	7.16%	3.61%	7.22%	4.04%	2.56%	0.00%	1.86%					
																														
24	Против всех	1698	73	79	104	116	92	69	63	93	47	86	82	82	100	111	82	87	47	172	75	5	10	8	15					
		7.79%	6.38%	7.55%	7.10%	9.41%	7.80%	7.12%	8.15%	8.26%	5.15%	7.62%	6.41%	7.91%	8.38%	8.03%	7.32%	7.38%	9.09%	11.28%	8.47%	2.53%	4.27%	6.90%	9.32%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
