Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Коношская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	280	2	24	8	0	5	4	2	0	4	1	27	7	1	2	4	0	3	20	30	30	19	8	13	2	1	0	1	27	0	1	8	0	0	4	9	3	4	1	5					
		2.16%	1.82%	5.54%	4.00%	0.00%	1.85%	1.43%	2.13%	0.00%	9.30%	0.89%	2.09%	2.13%	0.64%	0.95%	6.90%	0.00%	1.22%	2.50%	2.83%	3.45%	2.44%	1.19%	2.12%	0.56%	0.61%	0.00%	0.53%	2.17%	0.00%	1.67%	4.10%	0.00%	0.00%	2.84%	2.04%	1.95%	1.71%	1.72%	3.27%					
19	. Малышкин Олег Александрович	291	5	10	3	0	5	7	3	2	2	0	37	9	3	3	3	0	3	11	26	26	16	19	12	4	7	5	4	28	4	2	11	4	0	4	3	0	5	2	3					
		2.25%	4.55%	2.31%	1.50%	0.00%	1.85%	2.51%	3.19%	1.05%	4.65%	0.00%	2.87%	2.74%	1.91%	1.43%	5.17%	0.00%	1.22%	1.38%	2.45%	2.99%	2.05%	2.81%	1.96%	1.12%	4.27%	2.26%	2.13%	2.25%	2.27%	3.33%	5.64%	5.41%	0.00%	2.84%	0.68%	0.00%	2.14%	3.45%	1.96%					
20	. Миронов Сергей Михайлович	98	3	2	5	0	1	4	1	1	0	0	12	8	1	0	0	0	3	7	13	6	5	4	4	4	1	2	0	4	0	0	2	3	0	0	1	0	1	0	0					
		0.76%	2.73%	0.46%	2.50%	0.00%	0.37%	1.43%	1.06%	0.53%	0.00%	0.00%	0.93%	2.43%	0.64%	0.00%	0.00%	0.00%	1.22%	0.88%	1.23%	0.69%	0.64%	0.59%	0.65%	1.12%	0.61%	0.90%	0.00%	0.32%	0.00%	0.00%	1.03%	4.05%	0.00%	0.00%	0.23%	0.00%	0.43%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10506	89	313	147	142	232	242	63	173	34	91	964	237	109	184	45	25	216	681	848	675	649	565	509	306	123	193	171	1025	150	54	135	55	87	113	347	133	201	52	128					
		81.09%	80.91%	72.29%	73.50%	92.81%	85.93%	86.74%	67.02%	91.05%	79.07%	81.25%	74.67%	72.04%	69.43%	87.62%	77.59%	96.15%	88.16%	85.23%	79.92%	77.68%	83.31%	83.70%	83.17%	85.47%	75.00%	87.33%	90.96%	82.26%	85.23%	90.00%	69.23%	74.32%	89.69%	80.14%	78.51%	86.36%	85.90%	89.66%	83.66%					
22	. Хакамада Ирина Муцуовна	207	0	8	3	1	3	5	1	5	0	1	19	2	3	6	1	0	5	11	22	20	20	10	15	5	0	3	0	19	2	0	0	2	1	1	8	0	1	2	2					
		1.60%	0.00%	1.85%	1.50%	0.65%	1.11%	1.79%	1.06%	2.63%	0.00%	0.89%	1.47%	0.61%	1.91%	2.86%	1.72%	0.00%	2.04%	1.38%	2.07%	2.30%	2.57%	1.48%	2.45%	1.40%	0.00%	1.36%	0.00%	1.52%	1.14%	0.00%	0.00%	2.70%	1.03%	0.71%	1.81%	0.00%	0.43%	3.45%	1.31%					
23	. Харитонов Николай Михайлович	1240	9	61	27	7	15	13	24	7	3	18	184	56	30	11	4	1	11	46	95	86	61	48	44	26	28	12	9	112	15	1	33	9	6	15	64	16	21	0	12					
		9.57%	8.18%	14.09%	13.50%	4.58%	5.56%	4.66%	25.53%	3.68%	6.98%	16.07%	14.25%	17.02%	19.11%	5.24%	6.90%	3.85%	4.49%	5.76%	8.95%	9.90%	7.83%	7.11%	7.19%	7.26%	17.07%	5.43%	4.79%	8.99%	8.52%	1.67%	16.92%	12.16%	6.19%	10.64%	14.48%	10.39%	8.97%	0.00%	7.84%					
																																														
24	Против всех	208	2	9	6	2	5	2	0	2	0	1	34	6	7	0	1	0	3	15	17	15	6	17	9	4	3	5	1	19	2	2	4	1	0	1	1	2	1	1	2					
		1.61%	1.82%	2.08%	3.00%	1.31%	1.85%	0.72%	0.00%	1.05%	0.00%	0.89%	2.63%	1.82%	4.46%	0.00%	1.72%	0.00%	1.22%	1.88%	1.60%	1.73%	0.77%	2.52%	1.47%	1.12%	1.83%	2.26%	0.53%	1.52%	1.14%	3.33%	2.05%	1.35%	0.00%	0.71%	0.23%	1.30%	0.43%	1.72%	1.31%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
