Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Ирбейская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329					
		3.85%	1.88%	2.30%	0.00%	0.77%	0.00%	4.44%	2.27%	0.53%	4.28%	4.65%	5.99%	4.94%	4.01%	3.22%	11.41%	4.32%	6.02%	3.65%	0.72%	0.00%	1.89%	8.51%	0.00%	2.27%	1.95%	0.00%	9.43%	4.41%	2.69%	0.00%	1.64%	5.95%	10.56%	15.97%	3.64%	0.00%	5.31%	12.68%	2.24%	0.96%	3.85%	0.00%					
20	. Миронов Сергей Михайлович	91	3	0	0	1	0	6	0	0	2	0	8	0	14	8	2	1	1	6	2	2	0	1	1	5	2	0	2	0	1	0	1	6	2	0	1	0	3	0	6	2	0	2					
		1.18%	1.13%	0.00%	0.00%	0.77%	0.00%	2.05%	0.00%	0.00%	0.78%	0.00%	2.52%	0.00%	1.17%	1.43%	1.34%	0.72%	0.75%	3.12%	1.44%	8.00%	0.00%	2.13%	1.09%	1.26%	0.78%	0.00%	3.77%	0.00%	0.30%	0.00%	0.82%	1.79%	1.41%	0.00%	1.82%	0.00%	1.45%	0.00%	1.92%	1.92%	0.00%	2.41%					
21	. Путин Владимир Владимирович	4547	184	109	10	118	19	179	53	142	114	60	165	58	631	333	80	82	80	56	113	17	71	29	57	254	163	40	30	35	220	81	83	221	66	47	27	32	141	42	159	65	39	42					
		59.00%	69.17%	62.64%	33.33%	90.77%	51.35%	61.09%	60.23%	75.13%	44.36%	46.51%	52.05%	71.60%	52.76%	59.57%	53.69%	58.99%	60.15%	29.17%	81.29%	68.00%	66.98%	61.70%	61.96%	64.14%	63.67%	68.97%	56.60%	51.47%	65.87%	74.31%	68.03%	65.77%	46.48%	39.50%	49.09%	91.43%	68.12%	59.15%	50.80%	62.50%	50.00%	50.60%					
22	. Хакамада Ирина Муцуовна	146	4	3	0	1	3	6	2	3	2	2	8	2	24	10	1	2	0	5	1	1	0	1	0	7	5	1	1	1	5	1	4	4	8	0	6	0	4	0	5	8	3	2					
		1.89%	1.50%	1.72%	0.00%	0.77%	8.11%	2.05%	2.27%	1.59%	0.78%	1.55%	2.52%	2.47%	2.01%	1.79%	0.67%	1.44%	0.00%	2.60%	0.72%	4.00%	0.00%	2.13%	0.00%	1.77%	1.95%	1.72%	1.89%	1.47%	1.50%	0.92%	3.28%	1.19%	5.63%	0.00%	10.91%	0.00%	1.93%	0.00%	1.60%	7.69%	3.85%	2.41%					
23	. Харитонов Николай Михайлович	1630	43	43	0	6	15	47	24	22	106	38	57	5	261	113	34	36	23	105	11	5	22	6	17	77	55	14	5	19	61	15	24	46	22	40	8	2	33	16	88	10	28	28					
		21.15%	16.17%	24.71%	0.00%	4.62%	40.54%	16.04%	27.27%	11.64%	41.25%	29.46%	17.98%	6.17%	21.82%	20.21%	22.82%	25.90%	17.29%	54.69%	7.91%	20.00%	20.75%	12.77%	18.48%	19.44%	21.48%	24.14%	9.43%	27.94%	18.26%	13.76%	19.67%	13.69%	15.49%	33.61%	14.55%	5.71%	15.94%	22.54%	28.12%	9.62%	35.90%	33.73%					
																																																	
24	Против всех	151	10	5	1	0	0	7	1	0	3	0	15	2	25	7	3	3	6	2	1	0	1	1	4	9	4	0	1	1	5	4	2	4	4	1	0	1	7	0	4	2	2	3					
		1.96%	3.76%	2.87%	3.33%	0.00%	0.00%	2.39%	1.14%	0.00%	1.17%	0.00%	4.73%	2.47%	2.09%	1.25%	2.01%	2.16%	4.51%	1.04%	0.72%	0.00%	0.94%	2.13%	4.35%	2.27%	1.56%	0.00%	1.89%	1.47%	1.50%	3.67%	1.64%	1.19%	2.82%	0.84%	0.00%	2.86%	3.38%	0.00%	1.28%	1.92%	2.56%	3.61%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
