Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Нижний Тагил, Тагилстроевская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	1965	29	45	25	25	27	35	26	32	29	31	37	21	44	24	26	2	29	27	53	45	7	55	23	27	31	34	27	33	32	45	41	47	40	50	36	39	60	66	61	64	44	55	63	67	63	29	46	58	51	5	5	49					
		3.05%	2.63%	3.80%	2.89%	1.84%	2.38%	2.65%	2.12%	3.12%	2.02%	2.57%	3.01%	2.09%	3.06%	1.97%	2.11%	0.96%	5.32%	3.52%	3.48%	3.79%	1.35%	4.31%	2.68%	3.08%	3.33%	3.69%	2.74%	3.54%	3.01%	2.91%	3.05%	2.51%	2.50%	3.34%	2.64%	2.49%	4.03%	4.31%	4.40%	3.70%	2.67%	3.92%	3.83%	3.88%	3.77%	1.97%	3.45%	3.26%	2.61%	1.53%	1.54%	3.16%					
19	. Малышкин Олег Александрович	1371	24	29	23	39	43	31	37	24	35	18	39	27	30	37	31	1	21	19	39	37	12	24	10	20	17	24	24	23	24	18	17	33	46	35	33	38	29	20	17	21	30	24	39	34	25	21	25	37	41	2	5	19					
		2.13%	2.18%	2.45%	2.66%	2.86%	3.79%	2.35%	3.01%	2.34%	2.44%	1.50%	3.17%	2.69%	2.09%	3.04%	2.51%	0.48%	3.85%	2.48%	2.56%	3.11%	2.32%	1.88%	1.17%	2.28%	1.83%	2.61%	2.43%	2.47%	2.26%	1.16%	1.26%	1.76%	2.88%	2.33%	2.42%	2.42%	1.95%	1.30%	1.23%	1.21%	1.82%	1.71%	2.37%	1.97%	1.50%	1.43%	1.87%	2.08%	2.10%	0.61%	1.54%	1.22%					
20	. Миронов Сергей Михайлович	367	7	8	1	10	11	4	7	5	6	7	7	4	12	8	12	0	1	0	7	5	4	10	7	6	4	6	5	3	6	5	9	16	14	10	11	8	9	7	9	9	14	5	9	8	8	9	5	10	6	3	2	8					
		0.57%	0.64%	0.68%	0.12%	0.73%	0.97%	0.30%	0.57%	0.49%	0.42%	0.58%	0.57%	0.40%	0.84%	0.66%	0.97%	0.00%	0.18%	0.00%	0.46%	0.42%	0.77%	0.78%	0.82%	0.68%	0.43%	0.65%	0.51%	0.32%	0.56%	0.32%	0.67%	0.85%	0.88%	0.67%	0.81%	0.51%	0.60%	0.46%	0.65%	0.52%	0.85%	0.36%	0.55%	0.46%	0.48%	0.61%	0.37%	0.56%	0.31%	0.92%	0.62%	0.52%					
21	. Путин Владимир Владимирович	50427	855	885	681	1055	899	1073	987	817	1193	979	943	820	1159	963	938	179	416	603	1104	882	407	931	613	640	709	671	728	688	825	1201	1051	1489	1244	1153	1101	1239	1170	1211	1046	1362	1306	1125	1283	1380	1335	1191	1063	1418	1603	300	283	1230					
		78.36%	77.66%	74.81%	78.64%	77.46%	79.21%	81.29%	80.31%	79.79%	83.25%	81.31%	76.73%	81.67%	80.65%	79.00%	76.07%	85.65%	76.33%	78.72%	72.54%	74.24%	78.72%	72.91%	71.45%	73.06%	76.15%	72.86%	73.83%	73.82%	77.54%	77.68%	78.20%	79.37%	77.80%	76.92%	80.72%	79.02%	78.58%	79.00%	75.41%	78.64%	79.15%	80.13%	78.09%	79.86%	79.89%	81.08%	79.63%	79.62%	81.91%	91.74%	87.35%	79.25%					
22	. Хакамада Ирина Муцуовна	3025	51	42	23	61	44	32	30	38	44	35	50	37	58	47	60	9	12	26	66	81	41	81	74	77	39	48	62	42	65	59	51	73	56	79	79	61	59	72	80	105	76	92	93	77	90	80	62	97	116	2	7	84					
		4.70%	4.63%	3.55%	2.66%	4.48%	3.88%	2.42%	2.44%	3.71%	3.07%	2.91%	4.07%	3.69%	4.04%	3.86%	4.87%	4.31%	2.20%	3.39%	4.34%	6.82%	7.93%	6.34%	8.62%	8.79%	4.19%	5.21%	6.29%	4.51%	6.11%	3.82%	3.79%	3.89%	3.50%	5.27%	5.79%	3.89%	3.96%	4.70%	5.77%	6.06%	4.61%	6.55%	5.66%	4.46%	5.39%	5.45%	4.64%	5.45%	5.93%	0.61%	2.16%	5.41%					
23	. Харитонов Николай Михайлович	4203	71	100	85	96	63	81	79	56	65	87	103	51	70	84	95	7	38	67	169	91	22	127	85	58	96	86	89	100	72	144	110	122	135	86	61	120	85	85	102	96	113	40	85	77	84	68	76	72	67	8	3	71					
		6.53%	6.45%	8.45%	9.82%	7.05%	5.55%	6.14%	6.43%	5.47%	4.54%	7.23%	8.38%	5.08%	4.87%	6.89%	7.70%	3.35%	6.97%	8.75%	11.10%	7.66%	4.26%	9.95%	9.91%	6.62%	10.31%	9.34%	9.03%	10.73%	6.77%	9.31%	8.18%	6.50%	8.44%	5.74%	4.47%	7.65%	5.71%	5.54%	7.35%	5.54%	6.85%	2.85%	5.17%	4.46%	5.03%	4.63%	5.69%	4.04%	3.42%	2.45%	0.93%	4.57%					
																																																											
24	Против всех	2203	40	44	19	55	26	35	38	29	39	32	36	26	44	44	56	7	24	17	66	36	20	35	39	34	22	33	33	33	25	54	55	71	44	59	26	43	55	57	52	68	56	50	62	68	58	58	42	77	70	4	18	69					
		3.42%	3.63%	3.72%	2.19%	4.04%	2.29%	2.65%	3.09%	2.83%	2.72%	2.66%	2.93%	2.59%	3.06%	3.61%	4.54%	3.35%	4.40%	2.22%	4.34%	3.03%	3.87%	2.74%	4.55%	3.88%	2.36%	3.58%	3.35%	3.54%	2.35%	3.49%	4.09%	3.78%	2.75%	3.94%	1.91%	2.74%	3.69%	3.72%	3.75%	3.93%	3.39%	3.56%	3.77%	3.94%	3.47%	3.95%	3.15%	4.32%	3.58%	1.22%	5.56%	4.45%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
