Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Суворовская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК  687					
11	Число полученных открепительных  удостоверений	413	20	15	20	20	20	40	40	40	0	5	15	10	5	10	15	5	15	5	5	15	4	5	8	3	5	3	3	3	5	3	5	5	3	3	3	3	3	3	3	3	3	3	5	3	3					
12	Число выданных открепительных удостоверений	253	11	7	19	8	10	25	37	23	0	2	15	6	3	6	15	1	7	1	3	12	1	1	5	1	5	0	0	3	5	3	3	5	3	3	0	2	0	0	0	0	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	275	6	1	2	5	0	21	12	7	31	0	4	1	2	3	5	4	3	3	2	1	3	3	4	3	3	0	2	2	5	1	3	105	2	4	4	0	0	1	1	1	1	6	4	2	2					
14	Число неиспользованных открепительных удостоверений	160	9	8	1	12	10	15	3	17	0	3	0	4	2	4	0	4	8	4	2	3	3	4	3	2	0	3	3	0	0	0	2	0	0	0	3	1	3	3	3	3	2	3	4	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	34	1	1	4	0	3	3	2	2	0	0	0	0	0	3	2	2	0	1	1	2	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	831	36	59	49	82	44	81	68	76	3	7	31	12	8	59	37	6	28	4	2	8	2	4	2	3	5	3	8	2	4	1	25	23	5	5	1	1	6	14	4	2	5	0	1	4	1					
		4.37%	4.64%	8.16%	5.21%	7.70%	5.18%	6.02%	4.61%	6.09%	5.00%	2.93%	5.03%	2.80%	2.75%	7.02%	4.87%	2.35%	3.91%	1.35%	0.50%	1.33%	1.45%	2.08%	1.27%	3.61%	2.38%	2.27%	8.08%	1.25%	1.57%	0.99%	4.42%	4.39%	1.67%	1.60%	0.41%	0.54%	2.54%	6.97%	1.66%	1.47%	2.45%	0.00%	1.56%	2.21%	1.19%					
19	. Малышкин Олег Александрович	385	20	13	9	30	25	24	43	20	0	10	13	13	2	16	26	12	5	4	15	17	3	7	1	0	4	1	0	0	1	0	8	7	1	4	4	2	4	0	3	5	6	2	0	1	4					
		2.03%	2.58%	1.80%	0.96%	2.82%	2.94%	1.78%	2.91%	1.60%	0.00%	4.18%	2.11%	3.04%	0.69%	1.90%	3.43%	4.71%	0.70%	1.35%	3.71%	2.82%	2.17%	3.65%	0.64%	0.00%	1.90%	0.76%	0.00%	0.00%	0.39%	0.00%	1.42%	1.34%	0.33%	1.28%	1.63%	1.08%	1.69%	0.00%	1.24%	3.68%	2.94%	2.99%	0.00%	0.55%	4.76%					
20	. Миронов Сергей Михайлович	107	6	2	5	6	9	6	11	13	0	0	5	2	2	4	4	0	4	1	0	2	1	2	1	1	0	0	2	1	0	1	6	3	1	2	1	0	1	0	2	0	0	0	0	0	0					
		0.56%	0.77%	0.28%	0.53%	0.56%	1.06%	0.45%	0.75%	1.04%	0.00%	0.00%	0.81%	0.47%	0.69%	0.48%	0.53%	0.00%	0.56%	0.34%	0.00%	0.33%	0.72%	1.04%	0.64%	1.20%	0.00%	0.00%	2.02%	0.62%	0.00%	0.99%	1.06%	0.57%	0.33%	0.64%	0.41%	0.00%	0.42%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	12278	428	372	568	620	525	822	916	733	43	124	441	278	161	512	469	173	475	199	341	421	93	119	101	45	153	108	64	123	201	95	406	365	228	265	205	140	166	149	176	58	130	40	53	115	59					
		64.61%	55.15%	51.45%	60.36%	58.22%	61.84%	61.07%	62.06%	58.73%	71.67%	51.88%	71.59%	64.95%	55.33%	60.88%	61.79%	67.84%	66.34%	67.00%	84.41%	69.93%	67.39%	61.98%	64.33%	54.22%	72.86%	81.82%	64.65%	76.88%	79.13%	94.06%	71.86%	69.66%	76.00%	84.94%	83.67%	75.27%	70.34%	74.13%	73.03%	42.65%	63.73%	59.70%	82.81%	63.54%	70.24%					
22	. Хакамада Ирина Муцуовна	395	25	7	22	40	22	44	40	32	4	0	14	3	4	18	22	1	13	9	1	11	0	2	2	3	4	3	2	0	5	0	6	10	3	1	1	0	9	2	4	2	2	0	0	0	2					
		2.08%	3.22%	0.97%	2.34%	3.76%	2.59%	3.27%	2.71%	2.56%	6.67%	0.00%	2.27%	0.70%	1.37%	2.14%	2.90%	0.39%	1.82%	3.03%	0.25%	1.83%	0.00%	1.04%	1.27%	3.61%	1.90%	2.27%	2.02%	0.00%	1.97%	0.00%	1.06%	1.91%	1.00%	0.32%	0.41%	0.00%	3.81%	1.00%	1.66%	1.47%	0.98%	0.00%	0.00%	0.00%	2.38%					
23	. Харитонов Николай Михайлович	4151	180	227	229	222	174	280	322	325	8	80	100	92	100	195	153	56	182	77	36	125	38	49	40	22	41	13	22	32	32	1	89	99	56	31	30	41	44	35	45	69	54	24	10	55	16					
		21.84%	23.20%	31.40%	24.34%	20.85%	20.49%	20.80%	21.82%	26.04%	13.33%	33.47%	16.23%	21.50%	34.36%	23.19%	20.16%	21.96%	25.42%	25.93%	8.91%	20.76%	27.54%	25.52%	25.48%	26.51%	19.52%	9.85%	22.22%	20.00%	12.60%	0.99%	15.75%	18.89%	18.67%	9.94%	12.24%	22.04%	18.64%	17.41%	18.67%	50.74%	26.47%	35.82%	15.62%	30.39%	19.05%					
																																																				
24	Против всех	699	49	34	55	59	44	80	62	41	2	17	9	25	11	23	41	6	7	3	5	14	0	7	10	7	3	4	1	2	7	3	15	14	6	3	2	2	5	1	7	0	7	1	0	3	2					
		3.68%	6.31%	4.70%	5.84%	5.54%	5.18%	5.94%	4.20%	3.29%	3.33%	7.11%	1.46%	5.84%	3.78%	2.73%	5.40%	2.35%	0.98%	1.01%	1.24%	2.33%	0.00%	3.65%	6.37%	8.43%	1.43%	3.03%	1.01%	1.25%	2.76%	2.97%	2.65%	2.67%	2.00%	0.96%	0.82%	1.08%	2.12%	0.50%	2.90%	0.00%	3.43%	1.49%	0.00%	1.66%	2.38%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
