Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Саратовская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572					
11	Число полученных открепительных  удостоверений	466	10	5	10	7	22	5	20	15	20	5	5	5	10	15	5	5	15	5	20	5	10	5	10	5	20	30	25	12	5	15	15	5	20	20	5	20	5	5	15	5	5					
12	Число выданных открепительных удостоверений	279	6	0	6	5	22	3	13	6	2	0	1	4	7	5	2	0	5	0	3	4	7	0	6	2	20	30	25	12	0	7	11	0	14	17	1	11	4	1	12	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	345	6	0	17	0	2	4	5	6	6	9	1	5	1	17	4	3	11	0	14	4	6	1	8	6	11	7	6	7	8	3	3	10	19	9	7	20	4	2	22	65	6					
14	Число неиспользованных открепительных удостоверений	187	4	5	4	2	0	2	7	9	18	5	4	1	3	10	3	5	10	5	17	1	3	5	4	3	0	0	0	0	5	8	4	5	6	3	4	9	1	4	3	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	30	1	0	2	0	3	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	4	0	0	0	1	0	0	0	1	2	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	581	6	4	20	8	29	4	28	15	33	12	1	10	3	12	0	1	0	0	0	10	0	5	18	8	11	40	46	17	0	31	46	4	37	35	17	17	3	10	21	7	12					
		1.87%	0.96%	4.35%	1.83%	1.64%	2.48%	1.75%	1.93%	1.36%	2.24%	1.92%	0.78%	1.72%	0.31%	1.41%	0.00%	0.81%	0.00%	0.00%	0.00%	2.12%	0.00%	3.27%	2.23%	3.85%	0.51%	1.62%	3.38%	2.94%	0.00%	3.25%	3.58%	2.35%	2.73%	2.66%	3.80%	1.24%	1.50%	2.88%	1.77%	1.72%	3.76%					
19	. Малышкин Олег Александрович	417	6	2	15	7	19	3	15	7	3	5	1	3	11	9	0	0	0	0	0	15	0	1	7	3	23	69	3	24	3	19	37	4	24	23	10	13	7	9	10	2	5					
		1.34%	0.96%	2.17%	1.37%	1.43%	1.63%	1.32%	1.03%	0.63%	0.20%	0.80%	0.78%	0.52%	1.14%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	3.18%	0.00%	0.65%	0.87%	1.44%	1.07%	2.80%	0.22%	4.15%	2.08%	1.99%	2.88%	2.35%	1.77%	1.75%	2.24%	0.95%	3.50%	2.59%	0.84%	0.49%	1.57%					
20	. Миронов Сергей Михайлович	135	2	0	10	6	3	2	7	20	6	2	0	2	2	1	2	0	2	0	0	0	0	2	4	1	13	2	4	2	0	3	7	0	7	16	0	2	0	2	2	0	1					
		0.43%	0.32%	0.00%	0.92%	1.23%	0.26%	0.88%	0.48%	1.81%	0.41%	0.32%	0.00%	0.34%	0.21%	0.12%	1.21%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	1.31%	0.50%	0.48%	0.60%	0.08%	0.29%	0.35%	0.00%	0.31%	0.54%	0.00%	0.52%	1.22%	0.00%	0.15%	0.00%	0.58%	0.17%	0.00%	0.31%					
21	. Путин Владимир Владимирович	26666	531	79	930	402	993	195	1260	964	1279	551	122	518	827	799	158	119	777	230	720	391	240	132	689	178	1828	2105	1169	484	118	821	1094	123	1089	1051	347	1239	180	302	1012	346	274					
		85.82%	84.96%	85.87%	85.24%	82.21%	84.94%	85.53%	86.90%	87.40%	87.01%	88.16%	94.57%	89.00%	85.52%	93.67%	95.76%	95.97%	85.86%	84.87%	96.00%	83.01%	82.47%	86.27%	85.48%	85.58%	85.02%	85.33%	86.02%	83.59%	81.94%	85.97%	85.07%	72.35%	80.25%	79.98%	77.63%	90.50%	90.00%	87.03%	85.40%	85.22%	85.89%					
22	. Хакамада Ирина Муцуовна	393	14	0	11	3	13	2	36	5	20	1	1	8	2	12	1	0	2	0	4	3	0	6	14	2	23	5	22	6	3	17	18	1	35	50	10	11	2	3	10	9	8					
		1.26%	2.24%	0.00%	1.01%	0.61%	1.11%	0.88%	2.48%	0.45%	1.36%	0.16%	0.78%	1.37%	0.21%	1.41%	0.61%	0.00%	0.22%	0.00%	0.53%	0.64%	0.00%	3.92%	1.74%	0.96%	1.07%	0.20%	1.62%	1.04%	2.08%	1.78%	1.40%	0.59%	2.58%	3.81%	2.24%	0.80%	1.00%	0.86%	0.84%	2.22%	2.51%					
23	. Харитонов Николай Михайлович	2207	58	7	80	55	92	18	104	78	119	48	3	34	104	19	2	4	8	18	17	43	51	6	71	13	198	138	52	28	15	45	72	28	153	103	51	75	5	12	125	38	17					
		7.10%	9.28%	7.61%	7.33%	11.25%	7.87%	7.89%	7.17%	7.07%	8.10%	7.68%	2.33%	5.84%	10.75%	2.23%	1.21%	3.23%	0.88%	6.64%	2.27%	9.13%	17.53%	3.92%	8.81%	6.25%	9.21%	5.59%	3.83%	4.84%	10.42%	4.71%	5.60%	16.47%	11.27%	7.84%	11.41%	5.48%	2.50%	3.46%	10.55%	9.36%	5.33%					
																																																
24	Против всех	472	2	0	17	8	16	4	0	7	6	1	1	5	10	1	2	0	2	1	9	9	0	1	3	3	54	103	55	18	1	19	12	9	12	36	12	12	3	7	5	4	2					
		1.52%	0.32%	0.00%	1.56%	1.64%	1.37%	1.75%	0.00%	0.63%	0.41%	0.16%	0.78%	0.86%	1.03%	0.12%	1.21%	0.00%	0.22%	0.37%	1.20%	1.91%	0.00%	0.65%	0.37%	1.44%	2.51%	4.18%	4.05%	3.11%	0.69%	1.99%	0.93%	5.29%	0.88%	2.74%	2.68%	0.88%	1.50%	2.02%	0.42%	0.99%	0.63%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
