Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Кулебакская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	771	14	18	17	30	17	29	25	22	27	36	22	40	20	26	18	5	12	30	23	20	18	30	22	27	7	6	6	8	18	15	19	22	20	26	3	1	20	52					
		3.05%	2.32%	3.03%	2.17%	5.30%	2.38%	4.06%	3.69%	3.53%	3.81%	2.97%	3.06%	5.67%	2.55%	3.25%	2.63%	0.72%	1.64%	4.82%	4.07%	2.39%	2.76%	4.16%	2.93%	2.39%	5.19%	2.48%	1.28%	1.15%	2.12%	3.05%	2.32%	2.97%	3.17%	3.61%	1.65%	0.83%	4.89%	4.26%					
19	. Малышкин Олег Александрович	695	9	6	11	14	18	14	15	15	12	39	16	18	14	9	16	18	18	19	10	24	18	18	27	19	6	4	13	33	49	34	28	31	15	19	7	6	7	46					
		2.75%	1.49%	1.01%	1.40%	2.47%	2.52%	1.96%	2.22%	2.41%	1.69%	3.22%	2.22%	2.55%	1.79%	1.13%	2.34%	2.60%	2.46%	3.05%	1.77%	2.86%	2.76%	2.49%	3.59%	1.68%	4.44%	1.65%	2.78%	4.75%	5.77%	6.92%	3.42%	4.19%	2.38%	2.64%	3.85%	4.96%	1.71%	3.77%					
20	. Миронов Сергей Михайлович	185	1	5	3	5	5	3	3	4	7	9	2	1	5	3	2	5	2	3	5	4	1	4	6	11	3	3	6	6	10	7	14	8	2	5	0	0	5	17					
		0.73%	0.17%	0.84%	0.38%	0.88%	0.70%	0.42%	0.44%	0.64%	0.99%	0.74%	0.28%	0.14%	0.64%	0.38%	0.29%	0.72%	0.27%	0.48%	0.88%	0.48%	0.15%	0.55%	0.80%	0.97%	2.22%	1.24%	1.28%	0.86%	1.18%	1.43%	1.71%	1.08%	0.32%	0.69%	0.00%	0.00%	1.22%	1.39%					
21	. Путин Владимир Владимирович	18144	426	420	577	379	507	514	472	412	476	870	528	500	599	570	514	506	551	443	391	635	494	543	543	796	97	183	334	574	577	338	497	460	487	516	139	102	329	845					
		71.67%	70.65%	70.71%	73.69%	66.96%	70.91%	71.89%	69.72%	66.13%	67.23%	71.84%	73.33%	70.92%	76.50%	71.34%	75.04%	73.23%	75.38%	71.22%	69.20%	75.78%	75.65%	75.21%	72.21%	70.38%	71.85%	75.62%	71.37%	82.59%	67.96%	68.84%	60.76%	62.16%	77.18%	71.57%	76.37%	84.30%	80.44%	69.21%					
22	. Хакамада Ирина Муцуовна	329	8	4	10	8	7	7	11	12	6	9	10	9	6	11	12	13	17	2	3	11	8	11	10	16	1	3	6	6	5	6	11	7	5	4	7	0	4	43					
		1.30%	1.33%	0.67%	1.28%	1.41%	0.98%	0.98%	1.62%	1.93%	0.85%	0.74%	1.39%	1.28%	0.77%	1.38%	1.75%	1.88%	2.33%	0.32%	0.53%	1.31%	1.23%	1.52%	1.33%	1.41%	0.74%	1.24%	1.28%	0.86%	0.59%	1.22%	1.34%	0.95%	0.79%	0.55%	3.85%	0.00%	0.98%	3.52%					
23	. Харитонов Николай Михайлович	4289	122	110	131	112	142	123	129	126	153	189	110	108	110	163	104	127	110	112	121	117	97	101	121	236	18	37	99	56	164	80	211	164	83	125	25	11	38	104					
		16.94%	20.23%	18.52%	16.73%	19.79%	19.86%	17.20%	19.05%	20.22%	21.61%	15.61%	15.28%	15.32%	14.05%	20.40%	15.18%	18.38%	15.05%	18.01%	21.42%	13.96%	14.85%	13.99%	16.09%	20.87%	13.33%	15.29%	21.15%	8.06%	19.32%	16.29%	25.79%	22.16%	13.15%	17.34%	13.74%	9.09%	9.29%	8.52%					
																																													
24	Против всех	713	16	25	30	16	16	20	17	25	23	51	22	25	21	13	16	13	18	9	10	17	12	10	12	22	1	2	3	6	23	10	27	46	15	16	1	1	2	101					
		2.82%	2.65%	4.21%	3.83%	2.83%	2.24%	2.80%	2.51%	4.01%	3.25%	4.21%	3.06%	3.55%	2.68%	1.63%	2.34%	1.88%	2.46%	1.45%	1.77%	2.03%	1.84%	1.39%	1.60%	1.95%	0.74%	0.83%	0.64%	0.86%	2.71%	2.04%	3.30%	6.22%	2.38%	2.22%	0.55%	0.83%	0.49%	8.27%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
