Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Мечетлинская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	60	0	0	4	20	1	3	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	2	0	1	1	2	0	2	0	0	5	0	1					
		0.37%	0.00%	0.00%	0.54%	0.93%	0.08%	0.59%	0.57%	0.52%	0.26%	0.00%	0.30%	0.00%	0.00%	0.33%	0.23%	0.18%	0.00%	0.00%	0.65%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	1.96%	0.00%	0.91%	0.00%	0.53%	0.60%	0.62%	0.00%	0.56%	0.00%	0.00%	1.43%	0.00%	0.22%					
19	. Малышкин Олег Александрович	61	0	3	2	12	0	0	0	1	0	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	13	0	3	0	0	0	1	0	2	3	1	9	0	1					
		0.38%	0.00%	0.83%	0.27%	0.56%	0.00%	0.00%	0.00%	0.52%	0.00%	0.25%	0.00%	0.00%	0.81%	0.33%	0.46%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.65%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.38%	3.19%	0.00%	1.36%	0.00%	0.00%	0.00%	0.31%	0.00%	0.56%	2.08%	0.20%	2.57%	0.00%	0.22%					
20	. Миронов Сергей Михайлович	38	0	0	2	9	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	6	0	1	0	1	0	1	1	4	2	0	0	0	1					
		0.24%	0.00%	0.00%	0.27%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.30%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.91%	0.00%	0.51%	0.97%	0.00%	0.00%	0.72%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.47%	0.00%	0.45%	0.00%	0.53%	0.00%	0.31%	0.56%	1.12%	1.39%	0.00%	0.00%	0.00%	0.22%					
21	. Путин Владимир Владимирович	15133	169	346	722	2025	1147	499	172	188	379	370	329	217	98	288	419	530	189	215	147	191	202	182	449	136	91	150	128	317	215	310	255	274	259	214	203	214	347	183	161	307	171	308	100	498	247	134	438					
		94.16%	98.83%	95.84%	97.57%	93.79%	97.45%	97.65%	97.73%	97.92%	98.70%	92.50%	97.92%	96.87%	79.03%	95.36%	95.44%	96.72%	98.44%	98.17%	96.08%	97.95%	97.58%	97.33%	95.33%	97.84%	72.22%	97.40%	97.71%	99.06%	98.17%	97.79%	97.33%	97.51%	97.74%	52.45%	97.60%	97.27%	97.20%	97.86%	96.41%	95.94%	96.61%	86.27%	69.44%	97.27%	70.57%	99.26%	97.99%					
22	. Хакамада Ирина Муцуовна	91	1	2	2	14	8	1	1	0	0	1	0	3	5	1	2	1	0	1	0	1	1	0	4	0	0	1	0	0	3	0	1	2	1	6	0	0	0	0	1	3	1	7	6	2	7	0	1					
		0.57%	0.58%	0.55%	0.27%	0.65%	0.68%	0.20%	0.57%	0.00%	0.00%	0.25%	0.00%	1.34%	4.03%	0.33%	0.46%	0.18%	0.00%	0.46%	0.00%	0.51%	0.48%	0.00%	0.85%	0.00%	0.00%	0.65%	0.00%	0.00%	1.37%	0.00%	0.38%	0.71%	0.38%	1.47%	0.00%	0.00%	0.00%	0.00%	0.60%	0.94%	0.56%	1.96%	4.17%	0.39%	2.00%	0.00%	0.22%					
23	. Харитонов Николай Михайлович	489	1	3	3	57	14	5	2	1	0	3	2	2	19	2	2	12	3	1	1	1	2	1	4	2	32	1	0	3	0	5	2	2	3	154	2	0	3	2	2	5	2	29	27	7	63	1	1					
		3.04%	0.58%	0.83%	0.41%	2.64%	1.19%	0.98%	1.14%	0.52%	0.00%	0.75%	0.60%	0.89%	15.32%	0.66%	0.46%	2.19%	1.56%	0.46%	0.65%	0.51%	0.97%	0.53%	0.85%	1.44%	25.40%	0.65%	0.00%	0.94%	0.00%	1.58%	0.76%	0.71%	1.13%	37.75%	0.96%	0.00%	0.84%	1.07%	1.20%	1.56%	1.13%	8.12%	18.75%	1.37%	18.00%	0.74%	0.22%					
																																																						
24	Против всех	36	0	4	2	4	0	1	0	1	1	2	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	1	0	2	0	0	1	0	2	4	0	2	0	0					
		0.22%	0.00%	1.11%	0.27%	0.19%	0.00%	0.20%	0.00%	0.52%	0.26%	0.50%	0.30%	0.00%	0.81%	0.33%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.38%	0.00%	0.00%	0.49%	0.48%	0.00%	0.56%	0.00%	0.00%	0.31%	0.00%	0.56%	2.78%	0.00%	0.57%	0.00%	0.00%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
