Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Мошковская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733					
11	Число полученных открепительных  удостоверений	250	5	15	25	21	20	20	5	5	2	2	2	20	20	4	2	2	2	2	2	5	2	2	2	2	2	3	2	2	2	2	2	20	5	2	5	3	2	2	3	2	2					
12	Число выданных открепительных удостоверений	130	1	5	24	21	7	5	2	3	2	0	0	3	14	4	2	0	2	0	0	5	0	0	2	0	2	3	0	2	0	0	1	16	0	0	3	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	149	5	12	5	11	2	5	1	5	2	9	0	5	14	2	1	4	2	3	1	5	2	1	0	0	0	0	1	2	1	0	4	10	14	2	11	2	0	0	3	2	0					
14	Число неиспользованных открепительных удостоверений	120	4	10	1	0	13	15	3	2	0	2	2	17	6	0	0	2	0	2	2	0	2	2	0	2	0	0	2	0	2	2	1	4	5	2	2	3	2	2	3	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	402	8	36	27	26	20	19	4	27	0	1	3	43	27	4	9	4	2	3	3	3	1	6	0	0	4	2	1	6	3	0	20	31	6	1	25	5	0	4	14	4	0					
		2.23%	1.29%	2.65%	1.99%	2.40%	2.49%	1.80%	1.26%	3.75%	0.00%	0.67%	1.69%	2.99%	2.30%	1.62%	2.66%	5.26%	1.77%	1.62%	1.99%	0.73%	0.58%	1.88%	0.00%	0.00%	1.76%	0.43%	0.88%	1.62%	2.75%	0.00%	4.40%	2.82%	1.38%	1.08%	4.55%	1.17%	0.00%	2.31%	3.78%	2.58%	0.00%					
19	. Малышкин Олег Александрович	302	11	30	21	31	9	14	10	11	6	3	6	26	13	3	1	3	1	3	1	5	5	7	1	1	6	5	2	5	1	0	12	14	6	1	9	3	0	0	6	7	3					
		1.68%	1.77%	2.20%	1.55%	2.87%	1.12%	1.32%	3.14%	1.53%	6.06%	2.00%	3.39%	1.81%	1.11%	1.21%	0.30%	3.95%	0.88%	1.62%	0.66%	1.22%	2.91%	2.19%	0.66%	1.01%	2.64%	1.07%	1.77%	1.35%	0.92%	0.00%	2.64%	1.28%	1.38%	1.08%	1.64%	0.70%	0.00%	0.00%	1.62%	4.52%	2.80%					
20	. Миронов Сергей Михайлович	90	5	5	5	0	5	9	0	3	2	2	1	5	6	0	3	1	0	0	2	0	0	2	3	0	1	1	2	4	0	0	4	9	1	0	3	0	0	2	3	0	1					
		0.50%	0.81%	0.37%	0.37%	0.00%	0.62%	0.85%	0.00%	0.42%	2.02%	1.33%	0.56%	0.35%	0.51%	0.00%	0.89%	1.32%	0.00%	0.00%	1.32%	0.00%	0.00%	0.63%	1.99%	0.00%	0.44%	0.21%	1.77%	1.08%	0.00%	0.00%	0.88%	0.82%	0.23%	0.00%	0.55%	0.00%	0.00%	1.16%	0.81%	0.00%	0.93%					
21	. Путин Владимир Владимирович	11406	424	909	961	778	473	693	187	481	28	99	123	1054	803	179	245	43	76	140	86	164	107	149	96	80	66	264	64	232	39	41	246	601	309	62	409	162	17	99	227	104	86					
		63.31%	68.39%	66.79%	70.71%	71.90%	58.90%	65.56%	58.81%	66.81%	28.28%	66.00%	69.49%	73.40%	68.46%	72.47%	72.49%	56.58%	67.26%	75.68%	56.95%	39.90%	62.21%	46.71%	63.58%	80.81%	29.07%	56.29%	56.64%	62.53%	35.78%	36.28%	54.07%	54.74%	71.20%	66.67%	74.36%	37.94%	12.59%	57.23%	61.35%	67.10%	80.37%					
22	. Хакамада Ирина Муцуовна	370	11	29	16	24	28	25	13	13	2	8	11	32	25	5	11	0	0	3	3	4	4	13	3	0	4	11	1	8	4	2	7	15	2	1	8	3	2	0	13	4	2					
		2.05%	1.77%	2.13%	1.18%	2.22%	3.49%	2.37%	4.09%	1.81%	2.02%	5.33%	6.21%	2.23%	2.13%	2.02%	3.25%	0.00%	0.00%	1.62%	1.99%	0.97%	2.33%	4.08%	1.99%	0.00%	1.76%	2.35%	0.88%	2.16%	3.67%	1.77%	1.54%	1.37%	0.46%	1.08%	1.45%	0.70%	1.48%	0.00%	3.51%	2.58%	1.87%					
23	. Харитонов Николай Михайлович	4798	141	320	263	154	231	244	78	147	52	31	28	225	282	49	59	23	33	30	48	221	51	127	47	17	139	158	42	109	59	68	156	402	101	17	82	252	111	62	92	34	13					
		26.63%	22.74%	23.51%	19.35%	14.23%	28.77%	23.08%	24.53%	20.42%	52.53%	20.67%	15.82%	15.67%	24.04%	19.84%	17.46%	30.26%	29.20%	16.22%	31.79%	53.77%	29.65%	39.81%	31.13%	17.17%	61.23%	33.69%	37.17%	29.38%	54.13%	60.18%	34.29%	36.61%	23.27%	18.28%	14.91%	59.02%	82.22%	35.84%	24.86%	21.94%	12.15%					
																																																
24	Против всех	445	15	31	47	61	31	33	26	27	3	2	2	34	14	3	2	0	1	3	7	7	0	9	1	1	4	20	1	5	2	1	4	20	5	4	6	2	1	0	7	1	2					
		2.47%	2.42%	2.28%	3.46%	5.64%	3.86%	3.12%	8.18%	3.75%	3.03%	1.33%	1.13%	2.37%	1.19%	1.21%	0.59%	0.00%	0.88%	1.62%	4.64%	1.70%	0.00%	2.82%	0.66%	1.01%	1.76%	4.26%	0.88%	1.35%	1.83%	0.88%	0.88%	1.82%	1.15%	4.30%	1.09%	0.47%	0.74%	0.00%	1.89%	0.65%	1.87%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
