Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Новохоперская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440					
		2.45%	2.48%	3.25%	1.79%	1.70%	2.76%	2.52%	1.21%	2.51%	2.49%	3.12%	2.04%	1.95%	0.94%	2.02%	2.70%	5.29%	1.35%	2.35%	2.59%	2.68%	3.47%	2.20%	1.27%	2.35%	0.98%	2.97%	1.77%	2.29%	2.55%	2.99%	4.49%	2.79%	3.57%	2.06%	2.86%	3.44%	1.79%	1.66%	4.57%	3.10%					
20	. Миронов Сергей Михайлович	150	9	10	7	4	0	8	8	5	5	4	3	6	3	1	0	0	5	5	5	9	4	2	0	0	4	1	0	2	9	3	0	0	3	1	5	2	5	10	1	1					
		0.60%	0.89%	0.81%	0.70%	0.76%	0.00%	0.75%	0.88%	0.48%	0.54%	1.04%	0.51%	1.07%	0.56%	0.40%	0.00%	0.00%	1.12%	0.78%	0.68%	0.60%	0.66%	0.49%	0.00%	0.00%	0.65%	0.12%	0.00%	0.31%	0.57%	0.60%	0.00%	0.00%	1.07%	0.29%	1.43%	0.46%	0.75%	0.72%	0.15%	0.78%					
21	. Путин Владимир Владимирович	17300	664	803	695	359	182	721	614	705	650	260	425	429	350	182	110	296	344	356	412	1150	477	273	175	269	417	578	340	484	1039	384	83	282	196	278	197	286	454	861	414	106					
		68.93%	65.81%	65.18%	69.29%	67.99%	83.87%	67.38%	67.70%	68.18%	70.42%	67.53%	72.16%	76.20%	65.54%	73.68%	74.32%	71.15%	77.30%	55.80%	56.13%	77.13%	78.84%	66.59%	73.84%	78.89%	68.14%	71.45%	75.39%	73.89%	66.18%	76.49%	53.21%	71.57%	70.00%	81.76%	56.29%	65.60%	67.86%	62.21%	63.11%	82.17%					
22	. Хакамада Ирина Муцуовна	375	23	16	16	10	1	26	30	22	15	12	12	7	9	2	3	8	5	4	5	18	3	7	3	3	6	9	1	7	19	3	4	4	3	2	6	11	13	21	4	2					
		1.49%	2.28%	1.30%	1.60%	1.89%	0.46%	2.43%	3.31%	2.13%	1.63%	3.12%	2.04%	1.24%	1.69%	0.81%	2.03%	1.92%	1.12%	0.63%	0.68%	1.21%	0.50%	1.71%	1.27%	0.88%	0.98%	1.11%	0.22%	1.07%	1.21%	0.60%	2.56%	1.02%	1.07%	0.59%	1.71%	2.52%	1.94%	1.52%	0.61%	1.55%					
23	. Харитонов Николай Михайлович	5474	218	290	206	103	17	207	193	215	193	80	119	97	146	49	17	62	66	232	254	239	85	113	49	50	161	162	78	119	399	79	57	84	51	41	120	93	156	403	160	11					
		21.81%	21.61%	23.54%	20.54%	19.51%	7.83%	19.35%	21.28%	20.79%	20.91%	20.78%	20.20%	17.23%	27.34%	19.84%	11.49%	14.90%	14.83%	36.36%	34.60%	16.03%	14.05%	27.56%	20.68%	14.66%	26.31%	20.02%	17.29%	18.17%	25.41%	15.74%	36.54%	21.32%	18.21%	12.06%	34.29%	21.33%	23.32%	29.12%	24.39%	8.53%					
																																															
24	Против всех	505	36	37	33	17	2	49	26	29	18	7	10	5	8	4	8	20	12	4	17	11	2	3	0	7	7	12	12	17	18	5	1	5	5	4	4	5	9	18	18	0					
		2.01%	3.57%	3.00%	3.29%	3.22%	0.92%	4.58%	2.87%	2.80%	1.95%	1.82%	1.70%	0.89%	1.50%	1.62%	5.41%	4.81%	2.70%	0.63%	2.32%	0.74%	0.33%	0.73%	0.00%	2.05%	1.14%	1.48%	2.66%	2.60%	1.15%	1.00%	0.64%	1.27%	1.79%	1.18%	1.14%	1.15%	1.35%	1.30%	2.74%	0.00%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
