Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Абинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141					
11	Число полученных открепительных  удостоверений	870	25	25	25	25	25	25	25	25	25	25	10	10	25	15	10	10	25	25	25	25	25	25	25	25	25	25	25	25	25	25	15	10	10	10	25	25	10	25	25	25	10					
12	Число выданных открепительных удостоверений	385	20	20	20	1	14	12	18	21	7	20	1	4	7	13	7	1	14	12	14	14	7	11	5	8	6	2	7	9	13	3	10	3	1	1	14	13	1	9	10	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	252	3	17	18	2	2	5	8	4	4	12	5	0	11	3	5	2	5	8	3	6	3	7	2	1	4	2	6	8	5	1	5	4	3	6	6	27	2	13	16	7	1					
14	Число неиспользованных открепительных удостоверений	485	5	5	5	24	11	13	7	4	18	5	9	6	18	2	3	9	11	13	11	11	18	14	20	17	19	23	18	16	12	22	5	7	9	9	11	12	9	16	15	17	6					
15	"Число открепительных удостоверений, выданных в ТИК"	20	2	0	1	3	1	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	1609	76	80	44	22	64	68	62	73	52	68	5	3	76	5	10	10	62	70	78	54	57	58	22	42	50	25	52	32	28	45	23	10	9	1	39	28	9	25	28	17	27					
		3.82%	4.59%	5.69%	3.62%	2.61%	4.80%	4.15%	3.70%	4.48%	3.94%	3.85%	2.16%	1.27%	4.97%	0.92%	2.77%	1.34%	4.58%	4.82%	5.78%	5.70%	4.41%	3.68%	2.54%	4.07%	4.22%	2.53%	4.53%	3.34%	2.81%	5.43%	3.90%	2.27%	3.24%	0.40%	3.47%	2.04%	3.23%	2.64%	2.22%	1.72%	5.15%					
19	. Малышкин Олег Александрович	902	25	21	17	25	42	25	41	35	33	31	2	6	28	27	7	9	38	35	41	16	31	29	20	32	37	13	17	23	22	27	10	11	3	5	21	21	2	16	25	29	4					
		2.14%	1.51%	1.49%	1.40%	2.97%	3.15%	1.52%	2.44%	2.15%	2.50%	1.75%	0.87%	2.53%	1.83%	4.96%	1.94%	1.21%	2.81%	2.41%	3.04%	1.69%	2.40%	1.84%	2.31%	3.10%	3.12%	1.31%	1.48%	2.40%	2.21%	3.26%	1.69%	2.49%	1.08%	2.00%	1.87%	1.53%	0.72%	1.69%	1.98%	2.94%	0.76%					
20	. Миронов Сергей Михайлович	246	8	8	8	3	15	16	16	6	9	7	1	0	15	2	0	9	8	4	5	7	10	2	4	11	7	6	9	4	6	6	2	4	1	1	3	3	3	3	1	10	3					
		0.58%	0.48%	0.57%	0.66%	0.36%	1.12%	0.98%	0.95%	0.37%	0.68%	0.40%	0.43%	0.00%	0.98%	0.37%	0.00%	1.21%	0.59%	0.28%	0.37%	0.74%	0.77%	0.13%	0.46%	1.06%	0.59%	0.61%	0.78%	0.42%	0.60%	0.72%	0.34%	0.91%	0.36%	0.40%	0.27%	0.22%	1.08%	0.32%	0.08%	1.01%	0.57%					
21	. Путин Владимир Владимирович	27847	1118	923	835	567	829	1159	1077	1107	891	1248	167	188	1049	409	265	519	813	911	747	581	814	1163	549	647	700	683	759	606	667	495	379	301	185	224	637	827	188	712	912	709	287					
		66.04%	67.47%	65.65%	68.61%	67.26%	62.14%	70.67%	64.22%	67.96%	67.50%	70.63%	72.29%	79.32%	68.61%	75.18%	73.41%	69.76%	60.04%	62.70%	55.37%	61.35%	62.95%	73.79%	63.39%	62.63%	59.07%	69.06%	66.11%	63.32%	66.97%	59.78%	64.24%	68.25%	66.55%	89.60%	56.72%	60.15%	67.38%	75.18%	72.21%	71.91%	54.77%					
22	. Хакамада Ирина Муцуовна	926	67	48	31	17	22	32	45	48	34	51	8	4	62	17	7	11	36	33	22	22	33	30	16	22	19	20	17	22	19	7	22	6	4	2	11	12	5	10	15	9	8					
		2.20%	4.04%	3.41%	2.55%	2.02%	1.65%	1.95%	2.68%	2.95%	2.58%	2.89%	3.46%	1.69%	4.05%	3.12%	1.94%	1.48%	2.66%	2.27%	1.63%	2.32%	2.55%	1.90%	1.85%	2.13%	1.60%	2.02%	1.48%	2.30%	1.91%	0.85%	3.73%	1.36%	1.44%	0.80%	0.98%	0.87%	1.79%	1.06%	1.19%	0.91%	1.53%					
23	. Харитонов Николай Михайлович	9188	294	264	232	173	316	291	362	299	256	333	41	22	256	59	68	169	327	353	392	232	300	244	235	250	336	210	261	240	219	222	135	97	70	13	351	440	65	152	261	173	175					
		21.79%	17.74%	18.78%	19.06%	20.52%	23.69%	17.74%	21.59%	18.35%	19.39%	18.85%	17.75%	9.28%	16.74%	10.85%	18.84%	22.72%	24.15%	24.29%	29.06%	24.50%	23.20%	15.48%	27.14%	24.20%	28.35%	21.23%	22.74%	25.08%	21.99%	26.81%	22.88%	22.00%	25.18%	5.20%	31.26%	32.00%	23.30%	16.05%	20.67%	17.55%	33.40%					
																																																
24	Против всех	1182	57	57	43	28	42	45	55	51	36	28	5	12	38	25	3	7	62	39	57	26	39	41	14	23	29	24	33	20	31	15	18	11	6	4	39	31	3	21	12	36	16					
		2.80%	3.44%	4.05%	3.53%	3.32%	3.15%	2.74%	3.28%	3.13%	2.73%	1.58%	2.16%	5.06%	2.49%	4.60%	0.83%	0.94%	4.58%	2.68%	4.23%	2.75%	3.02%	2.60%	1.62%	2.23%	2.45%	2.43%	2.87%	2.09%	3.11%	1.81%	3.05%	2.49%	2.16%	1.60%	3.47%	2.25%	1.08%	2.22%	0.95%	3.65%	3.05%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
