Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Хоринская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
24	Против всех	75	0	3	0	6	6	2	2	0	1	5	0	3	6	4	0	1	1	1	0	0	0	4	1	1	2	10	14	2					
		0.76%	0.00%	2.46%	0.00%	0.66%	1.49%	1.28%	0.44%	0.00%	0.82%	0.92%	0.00%	1.21%	2.27%	2.88%	0.00%	0.33%	0.56%	0.54%	0.00%	0.00%	0.00%	1.45%	0.75%	0.68%	0.56%	0.68%	0.85%	0.29%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
