Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Вяземская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563					
21	. Путин Владимир Владимирович	8186	102	120	273	89	170	238	193	263	274	221	261	212	123	517	242	91	144	112	468	254	332	506	341	599	565	427	578	471					
		63.90%	90.27%	67.42%	70.54%	70.08%	87.63%	73.23%	76.59%	64.15%	58.30%	80.07%	58.52%	64.63%	78.85%	62.59%	77.56%	68.94%	62.07%	67.47%	60.94%	57.60%	60.47%	59.11%	60.14%	58.33%	55.12%	59.06%	64.58%	74.88%					
22	. Хакамада Ирина Муцуовна	441	0	1	6	4	0	12	4	6	19	4	7	16	4	57	3	2	6	5	18	15	28	34	14	46	42	24	35	29					
		3.44%	0.00%	0.56%	1.55%	3.15%	0.00%	3.69%	1.59%	1.46%	4.04%	1.45%	1.57%	4.88%	2.56%	6.90%	0.96%	1.52%	2.59%	3.01%	2.34%	3.40%	5.10%	3.97%	2.47%	4.48%	4.10%	3.32%	3.91%	4.61%					
23	. Харитонов Николай Михайлович	2108	9	28	65	20	8	41	40	61	83	26	110	49	13	137	34	14	39	32	145	89	100	131	106	189	204	156	140	39					
		16.46%	7.96%	15.73%	16.80%	15.75%	4.12%	12.62%	15.87%	14.88%	17.66%	9.42%	24.66%	14.94%	8.33%	16.59%	10.90%	10.61%	16.81%	19.28%	18.88%	20.18%	18.21%	15.30%	18.69%	18.40%	19.90%	21.58%	15.64%	6.20%					
																																			
24	Против всех	749	1	6	11	4	10	15	5	24	26	10	20	15	5	29	13	7	16	4	46	28	33	71	34	77	97	54	50	38					
		5.85%	0.88%	3.37%	2.84%	3.15%	5.15%	4.62%	1.98%	5.85%	5.53%	3.62%	4.48%	4.57%	3.21%	3.51%	4.17%	5.30%	6.90%	2.41%	5.99%	6.35%	6.01%	8.29%	6.00%	7.50%	9.46%	7.47%	5.59%	6.04%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
