Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Новотроицкая городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877					
11	Число полученных открепительных  удостоверений	495	8	8	9	11	10	10	10	9	10	10	10	10	11	8	10	10	11	10	11	10	10	12	10	9	9	9	9	12	8	10	8	10	12	11	10	10	10	8	5	12	7	10	8	7	5	8	7	8	5	5	10	8	8	9					
12	Число выданных открепительных удостоверений	163	3	3	1	8	1	3	5	0	2	1	2	5	2	1	5	3	4	3	3	0	4	9	2	5	1	5	5	10	4	6	4	5	2	2	2	4	5	1	0	2	1	2	1	1	0	3	0	6	0	5	2	3	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	2	0	2	2	3	0	1	0	3	1	1	1	3	3	0	0	0	2	2	0	0	2	0	1	1	3	2	0	0	0	1	1	1	2	5	1	0	0	0	1	0	5	0	0	0	0	1	1	2	9	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	332	5	5	8	3	9	7	5	9	8	9	8	5	9	7	5	7	7	7	8	10	6	3	8	4	8	4	4	2	4	4	4	5	10	9	8	6	5	7	5	10	6	8	7	6	5	5	7	2	5	0	8	5	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	2903	31	41	49	75	82	64	71	44	67	71	74	75	52	53	54	75	57	77	63	58	57	91	66	54	60	56	65	81	61	63	63	62	94	37	58	52	43	39	22	64	34	43	37	25	14	40	30	24	5	10	93	33	49	45					
		5.99%	5.25%	7.54%	6.02%	6.60%	9.55%	6.29%	6.38%	4.74%	6.71%	7.21%	7.77%	8.47%	5.12%	5.92%	4.98%	6.91%	5.22%	7.21%	5.87%	5.54%	5.73%	6.61%	6.36%	6.07%	5.73%	6.33%	6.47%	5.32%	6.41%	5.74%	6.49%	6.08%	6.90%	4.46%	6.16%	5.67%	5.84%	6.35%	5.93%	4.93%	6.50%	5.23%	5.29%	4.83%	3.11%	4.97%	5.93%	2.72%	3.29%	3.00%	8.09%	3.68%	6.47%	4.96%					
19	. Малышкин Олег Александрович	2397	27	11	27	44	29	43	57	53	42	61	41	34	59	47	65	49	53	52	51	61	39	55	58	52	59	41	49	75	44	76	37	87	69	40	44	43	35	29	19	66	20	36	34	22	31	38	31	50	8	10	53	43	42	56					
		4.95%	4.57%	2.02%	3.32%	3.87%	3.38%	4.22%	5.12%	5.71%	4.20%	6.19%	4.31%	3.84%	5.81%	5.25%	5.99%	4.51%	4.85%	4.87%	4.75%	5.83%	3.92%	4.00%	5.59%	5.85%	5.64%	4.63%	4.88%	4.93%	4.63%	6.93%	3.81%	8.54%	5.06%	4.82%	4.67%	4.69%	4.76%	4.72%	5.12%	5.09%	3.82%	4.38%	4.86%	4.25%	6.89%	4.72%	6.13%	5.68%	5.26%	3.00%	4.61%	4.80%	5.55%	6.17%					
20	. Миронов Сергей Михайлович	469	7	5	7	8	8	6	20	14	12	13	2	13	10	7	9	7	7	14	11	16	7	8	9	7	10	4	10	15	14	10	9	15	12	5	9	8	6	3	1	11	5	6	6	7	4	17	1	11	1	2	12	15	6	7					
		0.97%	1.18%	0.92%	0.86%	0.70%	0.93%	0.59%	1.80%	1.51%	1.20%	1.32%	0.21%	1.47%	0.99%	0.78%	0.83%	0.64%	0.64%	1.31%	1.02%	1.53%	0.70%	0.58%	0.87%	0.79%	0.96%	0.45%	1.00%	0.99%	1.47%	0.91%	0.93%	1.47%	0.88%	0.60%	0.96%	0.87%	0.82%	0.49%	0.27%	0.85%	0.96%	0.73%	0.86%	1.35%	0.89%	2.11%	0.20%	1.25%	0.66%	0.60%	1.04%	1.67%	0.79%	0.77%					
21	. Путин Владимир Владимирович	27729	335	327	488	674	471	544	586	559	572	538	531	482	636	524	603	582	636	610	592	583	505	744	581	527	600	504	649	902	543	634	574	564	820	526	551	555	435	355	203	726	293	469	386	273	322	475	305	384	94	244	642	521	421	529					
		57.23%	56.68%	60.11%	59.95%	59.33%	54.83%	53.44%	52.65%	60.17%	57.26%	54.62%	55.78%	54.46%	62.66%	58.48%	55.58%	53.59%	58.24%	57.12%	55.12%	55.74%	50.75%	54.07%	55.97%	59.28%	57.31%	56.95%	64.58%	59.26%	57.10%	57.79%	59.11%	55.35%	60.16%	63.37%	58.49%	60.52%	59.10%	57.82%	54.72%	55.98%	56.02%	57.06%	55.14%	52.70%	71.56%	59.01%	60.28%	43.59%	61.84%	73.27%	55.83%	58.15%	55.61%	58.26%					
22	. Хакамада Ирина Муцуовна	1653	18	26	28	39	31	35	51	27	32	21	26	31	34	20	43	41	21	42	45	27	41	44	37	41	45	31	40	43	35	56	40	41	62	19	32	18	15	14	12	30	16	30	27	19	17	26	17	22	4	3	41	37	18	42					
		3.41%	3.05%	4.78%	3.44%	3.43%	3.61%	3.44%	4.58%	2.91%	3.20%	2.13%	2.73%	3.50%	3.35%	2.23%	3.96%	3.78%	1.92%	3.93%	4.19%	2.58%	4.12%	3.20%	3.56%	4.61%	4.30%	3.50%	3.98%	2.83%	3.68%	5.10%	4.12%	4.02%	4.55%	2.29%	3.40%	1.96%	2.04%	2.28%	3.23%	2.31%	3.06%	3.65%	3.86%	3.67%	3.78%	3.23%	3.36%	2.50%	2.63%	0.90%	3.57%	4.13%	2.38%	4.63%					
23	. Харитонов Николай Михайлович	9979	125	100	152	224	196	259	201	180	223	213	224	185	168	179	242	260	254	217	238	221	272	315	223	142	195	183	117	284	182	160	175	164	181	153	186	199	154	134	100	322	131	184	168	152	48	186	83	324	40	57	223	177	154	150					
		20.60%	21.15%	18.38%	18.67%	19.72%	22.82%	25.44%	18.06%	19.38%	22.32%	21.62%	23.53%	20.90%	16.55%	19.98%	22.30%	23.94%	23.26%	20.32%	22.16%	21.13%	27.34%	22.89%	21.48%	15.97%	18.62%	20.68%	11.64%	18.66%	19.14%	14.59%	18.02%	16.09%	13.28%	18.43%	19.75%	21.70%	20.92%	21.82%	26.95%	24.83%	25.05%	22.38%	24.00%	29.34%	10.67%	23.11%	16.40%	36.78%	26.32%	17.12%	19.39%	19.75%	20.34%	16.52%					
																																																													
24	Против всех	2857	38	26	51	63	31	65	85	40	44	62	45	60	46	56	65	54	53	50	57	71	68	101	54	64	71	58	71	114	58	86	65	79	114	40	55	34	40	32	11	69	23	45	42	8	9	18	32	54	0	6	81	63	58	72					
		5.90%	6.43%	4.78%	6.27%	5.55%	3.61%	6.39%	7.64%	4.31%	4.40%	6.29%	4.73%	6.78%	4.53%	6.25%	5.99%	4.97%	4.85%	4.68%	5.31%	6.79%	6.83%	7.34%	5.20%	7.20%	6.78%	6.55%	7.06%	7.49%	6.10%	7.84%	6.69%	7.75%	8.36%	4.82%	5.84%	3.71%	5.43%	5.21%	2.96%	5.32%	4.40%	5.47%	6.00%	1.54%	2.00%	2.24%	6.32%	6.13%	0.00%	1.80%	7.04%	7.03%	7.66%	7.93%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
