Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Долгопрудненская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328					
		67.71%	70.50%	56.01%	62.50%	65.02%	60.09%	65.99%	67.29%	67.80%	63.62%	73.71%	67.06%	63.64%	65.77%	65.55%	67.39%	70.19%	66.41%	69.70%	71.23%	69.67%	68.46%	70.14%	70.25%	69.39%	68.98%	66.63%	70.74%	70.90%	69.56%	68.71%	65.00%	69.87%	71.96%	73.49%	80.80%					
22	. Хакамада Ирина Муцуовна	2199	16	131	49	66	78	54	68	46	117	6	57	96	107	76	105	58	96	69	80	105	96	54	116	61	53	61	39	65	50	34	18	18	20	28	6					
		6.56%	8.00%	12.69%	10.94%	9.91%	8.46%	7.81%	7.04%	7.48%	8.85%	2.82%	4.53%	8.82%	7.22%	6.23%	8.43%	4.54%	6.21%	4.72%	6.02%	7.00%	7.26%	4.11%	9.30%	5.19%	5.50%	7.46%	5.88%	4.42%	3.87%	5.94%	4.50%	3.93%	3.38%	5.12%	2.68%					
23	. Харитонов Николай Михайлович	3501	17	38	36	52	120	77	122	67	145	23	142	137	175	157	101	168	168	161	126	152	140	133	98	126	111	79	58	138	145	74	52	56	54	46	7					
		10.44%	8.50%	3.68%	8.04%	7.81%	13.02%	11.14%	12.63%	10.89%	10.97%	10.80%	11.30%	12.58%	11.82%	12.88%	8.11%	13.15%	10.87%	11.01%	9.49%	10.13%	10.59%	10.13%	7.86%	10.71%	11.51%	9.66%	8.75%	9.38%	11.23%	12.94%	13.00%	12.23%	9.12%	8.41%	3.12%					
																																										
24	Против всех	1993	11	204	31	42	59	47	38	33	99	8	75	54	66	73	81	51	100	90	75	78	71	77	68	57	44	47	30	94	69	24	19	16	32	14	16					
		5.94%	5.50%	19.77%	6.92%	6.31%	6.40%	6.80%	3.93%	5.37%	7.49%	3.76%	5.97%	4.96%	4.46%	5.99%	6.51%	3.99%	6.47%	6.16%	5.65%	5.20%	5.37%	5.86%	5.45%	4.85%	4.56%	5.75%	4.52%	6.39%	5.34%	4.20%	4.75%	3.49%	5.41%	2.56%	7.14%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
