Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Мариинская городская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547					
19	. Малышкин Олег Александрович	1063	42	37	40	37	53	39	39	46	46	34	30	41	28	16	25	53	25	42	14	28	0	5	8	13	4	3	15	4	22	14	4	43	16	1	4	0	8	1	0	0	8	11	7	4	8	5	42	50	2	0	8	14	8	3	2	0	9	2					
		3.41%	6.08%	4.43%	4.33%	2.89%	4.82%	3.86%	4.64%	3.55%	3.96%	3.26%	2.29%	5.20%	2.88%	1.30%	2.58%	4.51%	2.62%	3.44%	4.14%	3.29%	0.00%	1.72%	8.70%	2.54%	2.90%	4.69%	2.73%	1.68%	2.55%	10.61%	2.72%	5.17%	5.44%	0.44%	2.19%	0.00%	2.44%	2.13%	0.00%	0.00%	4.82%	2.27%	3.87%	2.02%	1.43%	1.86%	4.23%	4.80%	2.70%	0.00%	3.92%	4.00%	5.26%	5.66%	0.84%	0.00%	4.37%	1.69%					
20	. Миронов Сергей Михайлович	278	3	3	6	9	14	5	7	13	16	7	22	7	9	0	15	14	10	8	7	11	3	1	0	3	1	1	9	0	5	4	2	9	2	1	1	0	0	0	1	0	0	3	0	0	0	3	15	14	0	1	5	5	0	3	0	0	0	0					
		0.89%	0.43%	0.36%	0.65%	0.70%	1.27%	0.50%	0.83%	1.00%	1.38%	0.67%	1.68%	0.89%	0.93%	0.00%	1.55%	1.19%	1.05%	0.65%	2.07%	1.29%	1.90%	0.34%	0.00%	0.59%	0.72%	1.56%	1.64%	0.00%	0.58%	3.03%	1.36%	1.08%	0.68%	0.44%	0.55%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	1.12%	1.51%	1.34%	0.00%	1.82%	2.45%	1.43%	0.00%	5.66%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	22396	447	622	612	903	731	749	576	852	794	669	935	521	698	1047	731	699	590	749	223	579	94	254	68	363	93	45	423	205	662	86	109	646	246	143	141	95	263	41	258	246	134	368	153	153	436	221	757	722	57	49	143	284	124	44	204	110	126	103					
		71.79%	64.69%	74.49%	66.31%	70.60%	66.52%	74.16%	68.49%	65.84%	68.39%	64.08%	71.32%	66.03%	71.81%	85.12%	75.36%	59.54%	61.84%	61.29%	65.98%	68.12%	59.49%	87.29%	73.91%	70.90%	67.39%	70.31%	76.91%	86.13%	76.80%	65.15%	74.15%	77.64%	83.67%	63.00%	77.05%	76.61%	80.18%	87.23%	96.63%	96.47%	80.72%	75.88%	84.53%	77.27%	78.00%	82.16%	76.16%	69.29%	77.03%	89.09%	70.10%	81.14%	81.58%	83.02%	86.08%	86.61%	61.17%	87.29%					
22	. Хакамада Ирина Муцуовна	583	13	19	16	19	32	31	20	27	27	24	38	20	24	15	13	20	35	31	11	13	3	3	0	2	3	0	9	0	20	1	5	13	3	3	3	1	3	0	1	1	2	0	2	0	0	1	13	23	0	1	1	4	1	0	3	2	4	4					
		1.87%	1.88%	2.28%	1.73%	1.49%	2.91%	3.07%	2.38%	2.09%	2.33%	2.30%	2.90%	2.53%	2.47%	1.22%	1.34%	1.70%	3.67%	2.54%	3.25%	1.53%	1.90%	1.03%	0.00%	0.39%	2.17%	0.00%	1.64%	0.00%	2.32%	0.76%	3.40%	1.56%	1.02%	1.32%	1.64%	0.81%	0.91%	0.00%	0.37%	0.39%	1.20%	0.00%	1.10%	0.00%	0.00%	0.37%	1.31%	2.21%	0.00%	1.82%	0.49%	1.14%	0.66%	0.00%	1.27%	1.57%	1.94%	3.39%					
23	. Харитонов Николай Михайлович	4635	101	96	173	215	183	160	134	225	200	211	148	147	131	112	135	283	210	172	40	175	48	19	14	109	36	13	72	15	105	18	16	104	17	72	30	17	27	2	6	6	8	79	17	26	26	24	113	166	12	2	45	30	17	0	14	9	46	4					
		14.86%	14.62%	11.50%	18.74%	16.81%	16.65%	15.84%	15.93%	17.39%	17.23%	20.21%	11.29%	18.63%	13.48%	9.11%	13.92%	24.11%	22.01%	14.08%	11.83%	20.59%	30.38%	6.53%	15.22%	21.29%	26.09%	20.31%	13.09%	6.30%	12.18%	13.64%	10.88%	12.50%	5.78%	31.72%	16.39%	13.71%	8.23%	4.26%	2.25%	2.35%	4.82%	16.29%	9.39%	13.13%	4.65%	8.92%	11.37%	15.93%	16.22%	3.64%	22.06%	8.57%	11.18%	0.00%	5.91%	7.09%	22.33%	3.39%					
																																																																	
24	Против всех	777	17	30	42	22	11	0	25	21	38	52	38	25	29	18	27	33	42	62	6	18	4	4	1	11	1	2	8	4	16	3	4	5	6	3	3	1	12	1	0	0	3	8	2	2	7	4	34	36	3	0	1	5	2	3	7	2	10	3					
