Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Cараевская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784									
		1.80%	1.69%	1.42%	1.03%	1.50%	1.22%	1.08%	0.89%	2.11%	0.00%	1.95%	0.00%	0.54%	1.16%	0.41%	1.82%	1.27%	1.81%	2.93%	2.86%	2.33%	0.79%	1.25%	1.61%	0.85%	1.26%	0.00%	0.63%	2.75%	2.05%	1.22%	2.02%	1.74%	1.96%	3.54%	2.80%	2.36%	4.23%	1.96%	2.31%	1.38%									
19	. Малышкин Олег Александрович	205	2	5	2	2	5	2	7	4	0	4	2	0	7	4	1	14	3	2	4	7	2	13	9	5	4	5	1	6	7	10	13	11	5	9	7	12	1	1	0	7									
		1.68%	0.85%	2.36%	1.03%	0.60%	2.04%	1.08%	3.12%	1.69%	0.00%	2.60%	1.33%	0.00%	2.03%	1.64%	1.82%	1.98%	1.09%	0.98%	0.76%	1.36%	0.79%	2.71%	2.41%	1.41%	2.52%	3.40%	0.63%	2.06%	4.79%	2.44%	2.02%	1.74%	0.98%	1.52%	1.64%	2.18%	0.38%	1.96%	0.00%	3.21%									
20	. Миронов Сергей Михайлович	74	0	0	3	3	1	0	2	1	0	2	0	7	2	4	0	2	0	1	4	7	0	4	3	2	2	0	0	0	1	1	0	4	5	3	1	1	5	0	2	1									
		0.61%	0.00%	0.00%	1.55%	0.90%	0.41%	0.00%	0.89%	0.42%	0.00%	1.30%	0.00%	3.78%	0.58%	1.64%	0.00%	0.28%	0.00%	0.49%	0.76%	1.36%	0.00%	0.84%	0.80%	0.56%	1.26%	0.00%	0.00%	0.00%	0.68%	0.24%	0.00%	0.63%	0.98%	0.51%	0.23%	0.18%	1.92%	0.00%	0.93%	0.46%									
21	. Путин Владимир Владимирович	9001	201	173	119	243	171	157	178	179	61	91	106	95	251	190	47	548	225	158	406	355	173	361	296	292	136	105	74	222	91	318	448	465	367	400	329	407	192	43	175	153									
		73.86%	85.17%	81.60%	61.34%	72.75%	69.80%	84.41%	79.46%	75.53%	71.76%	59.09%	70.67%	51.35%	72.75%	77.87%	85.45%	77.40%	81.52%	77.07%	77.48%	68.80%	68.65%	75.37%	79.36%	82.25%	85.53%	71.43%	46.54%	76.29%	62.33%	77.56%	69.78%	73.69%	71.96%	67.34%	76.87%	74.00%	73.85%	84.31%	81.02%	70.18%									
22	. Хакамада Ирина Муцуовна	112	2	3	5	1	2	0	0	5	1	2	2	3	8	2	0	8	0	0	4	5	4	1	4	2	1	2	2	1	2	3	9	7	7	3	4	3	2	0	1	1									
		0.92%	0.85%	1.42%	2.58%	0.30%	0.82%	0.00%	0.00%	2.11%	1.18%	1.30%	1.33%	1.62%	2.32%	0.82%	0.00%	1.13%	0.00%	0.00%	0.76%	0.97%	1.59%	0.21%	1.07%	0.56%	0.63%	1.36%	1.26%	0.34%	1.37%	0.73%	1.40%	1.11%	1.37%	0.51%	0.93%	0.55%	0.77%	0.00%	0.46%	0.46%									
23	. Харитонов Николай Михайлович	2175	21	20	60	63	55	19	32	38	19	50	36	69	66	37	6	116	32	32	76	109	64	82	46	39	10	31	79	45	37	57	122	100	81	143	60	100	44	6	29	44									
		17.85%	8.90%	9.43%	30.93%	18.86%	22.45%	10.22%	14.29%	16.03%	22.35%	32.47%	24.00%	37.30%	19.13%	15.16%	10.91%	16.38%	11.59%	15.61%	14.50%	21.12%	25.40%	17.12%	12.33%	10.99%	6.29%	21.09%	49.69%	15.46%	25.34%	13.90%	19.00%	15.85%	15.88%	24.07%	14.02%	18.18%	16.92%	11.76%	13.43%	20.18%									
																																																			
24	Против всех	244	1	3	2	8	4	3	2	5	1	0	3	6	5	4	0	8	6	3	10	15	3	8	5	7	3	0	2	5	3	9	30	23	21	8	13	8	0	0	2	5									
		2.00%	0.42%	1.42%	1.03%	2.40%	1.63%	1.61%	0.89%	2.11%	1.18%	0.00%	2.00%	3.24%	1.45%	1.64%	0.00%	1.13%	2.17%	1.46%	1.91%	2.91%	1.19%	1.67%	1.34%	1.97%	1.89%	0.00%	1.26%	1.72%	2.05%	2.20%	4.67%	3.65%	4.12%	1.35%	3.04%	1.45%	0.00%	0.00%	0.93%	2.29%									
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
