Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Зеленчукская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
22	. Хакамада Ирина Муцуовна	404	4	9	15	9	13	10	8	5	14	0	18	7	6	3	31	3	35	11	15	9	13	0	5	0	0	0	15	1	5	5	28	18	24	23	12	5	25					
		1.44%	0.68%	1.17%	1.05%	0.90%	1.14%	1.11%	1.36%	0.46%	1.29%	0.00%	5.13%	0.42%	0.73%	0.27%	2.77%	1.49%	4.38%	1.45%	1.81%	1.15%	1.47%	0.00%	0.47%	0.00%	0.00%	0.00%	1.29%	0.59%	2.46%	1.39%	9.69%	1.57%	2.56%	3.33%	2.99%	0.77%	3.21%					
23	. Харитонов Николай Михайлович	3862	25	176	133	154	253	168	140	160	220	9	93	49	74	109	181	54	163	192	168	138	179	18	102	15	60	29	230	14	62	17	29	90	101	142	45	15	55					
		13.75%	4.22%	22.98%	9.31%	15.35%	22.25%	18.71%	23.85%	14.61%	20.26%	11.69%	26.50%	2.94%	8.98%	9.94%	16.18%	26.73%	20.38%	25.26%	20.24%	17.65%	20.27%	8.57%	9.69%	1.53%	8.31%	8.06%	19.83%	8.24%	30.54%	4.74%	10.03%	7.85%	10.78%	20.58%	11.19%	2.31%	7.07%					
																																												
24	Против всех	332	3	11	16	9	14	13	3	9	9	0	6	22	3	9	11	10	26	16	8	7	15	0	3	0	0	0	4	1	1	3	13	16	8	8	1	8	46					
		1.18%	0.51%	1.44%	1.12%	0.90%	1.23%	1.45%	0.51%	0.82%	0.83%	0.00%	1.71%	1.32%	0.36%	0.82%	0.98%	4.95%	3.25%	2.11%	0.96%	0.90%	1.70%	0.00%	0.28%	0.00%	0.00%	0.00%	0.34%	0.59%	0.49%	0.84%	4.50%	1.40%	0.85%	1.16%	0.25%	1.23%	5.91%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
