Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Якшур-Бодьинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327					
		2.21%	2.56%	2.26%	2.66%	1.86%	0.89%	2.48%	3.44%	0.36%	1.35%	1.14%	1.13%	2.14%	2.25%	1.61%	3.89%	0.43%	2.98%	1.89%	2.16%	1.33%	1.91%	2.69%	3.41%	1.48%	2.94%	6.86%	4.26%					
19	. Малышкин Олег Александрович	352	28	24	33	14	15	4	11	8	28	3	5	10	39	5	17	20	15	6	5	8	21	3	20	1	7	0	2					
		2.97%	3.12%	2.58%	4.18%	3.26%	2.22%	3.31%	3.44%	2.90%	2.51%	1.71%	2.82%	3.57%	3.13%	4.03%	4.72%	4.32%	2.35%	1.89%	2.16%	2.66%	4.47%	1.35%	2.73%	0.74%	5.15%	0.00%	2.13%					
20	. Миронов Сергей Михайлович	110	9	6	6	3	6	4	5	1	15	0	1	1	11	1	3	2	7	4	4	3	5	4	5	0	3	0	1					
		0.93%	1.00%	0.65%	0.76%	0.70%	0.89%	3.31%	1.56%	0.36%	1.35%	0.00%	0.56%	0.36%	0.88%	0.81%	0.83%	0.43%	1.10%	1.26%	1.72%	1.00%	1.06%	1.79%	0.68%	0.00%	2.21%	0.00%	1.06%					
21	. Путин Владимир Владимирович	9453	697	772	603	358	569	91	252	233	924	161	148	229	1003	99	267	349	498	264	190	224	367	118	602	111	100	152	72					
		79.89%	77.62%	83.10%	76.43%	83.45%	84.05%	75.21%	78.75%	84.42%	82.94%	92.00%	83.62%	81.79%	80.43%	79.84%	74.17%	75.38%	78.18%	83.28%	81.90%	74.42%	78.09%	52.91%	82.13%	82.22%	73.53%	86.86%	76.60%					
22	. Хакамада Ирина Муцуовна	235	22	12	15	14	12	1	5	5	21	4	4	2	39	3	7	17	10	1	3	8	6	2	16	3	1	2	0					
		1.99%	2.45%	1.29%	1.90%	3.26%	1.77%	0.83%	1.56%	1.81%	1.89%	2.29%	2.26%	0.71%	3.13%	2.42%	1.94%	3.67%	1.57%	0.32%	1.29%	2.66%	1.28%	0.90%	2.18%	2.22%	0.74%	1.14%	0.00%					
23	. Харитонов Николай Михайлович	1055	91	66	90	24	47	17	23	18	81	5	13	22	91	8	35	47	68	28	10	40	56	80	43	15	18	8	11					
		8.92%	10.13%	7.10%	11.41%	5.59%	6.94%	14.05%	7.19%	6.52%	7.27%	2.86%	7.34%	7.86%	7.30%	6.45%	9.72%	10.15%	10.68%	8.83%	4.31%	13.29%	11.91%	35.87%	5.87%	11.11%	13.24%	4.57%	11.70%					
																																		
24	Против всех	212	19	21	16	7	9	1	5	4	12	0	4	6	19	5	13	13	10	6	8	5	1	5	14	3	3	1	2					
		1.79%	2.12%	2.26%	2.03%	1.63%	1.33%	0.83%	1.56%	1.45%	1.08%	0.00%	2.26%	2.14%	1.52%	4.03%	3.61%	2.81%	1.57%	1.89%	3.45%	1.66%	0.21%	2.24%	1.91%	2.22%	2.21%	0.57%	2.13%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
