Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Березовская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	2671	208	211	234	85	322	177	229	103	33	104	38	17	70	10	119	74	30	149	107	67	49	15	21	73	27	29	21	9	3	3	34					
		19.04%	20.66%	22.03%	21.41%	20.88%	23.52%	19.62%	18.86%	19.62%	20.00%	14.25%	20.32%	13.08%	17.59%	7.94%	17.58%	16.26%	17.86%	18.96%	18.97%	18.77%	15.56%	15.15%	28.38%	20.68%	10.89%	16.11%	11.54%	9.38%	9.68%	3.75%	21.79%					
19	. Малышкин Олег Александрович	275	18	17	17	5	23	10	19	18	6	13	4	6	15	4	4	12	9	24	3	5	11	1	1	4	9	8	3	2	0	0	4					
		1.96%	1.79%	1.77%	1.56%	1.23%	1.68%	1.11%	1.57%	3.43%	3.64%	1.78%	2.14%	4.62%	3.77%	3.17%	0.59%	2.64%	5.36%	3.05%	0.53%	1.40%	3.49%	1.01%	1.35%	1.13%	3.63%	4.44%	1.65%	2.08%	0.00%	0.00%	2.56%					
20	. Миронов Сергей Михайлович	89	6	9	4	2	8	4	3	2	0	4	1	3	1	0	6	5	0	4	5	5	2	1	0	2	6	2	0	1	1	0	2					
		0.63%	0.60%	0.94%	0.37%	0.49%	0.58%	0.44%	0.25%	0.38%	0.00%	0.55%	0.53%	2.31%	0.25%	0.00%	0.89%	1.10%	0.00%	0.51%	0.89%	1.40%	0.63%	1.01%	0.00%	0.57%	2.42%	1.11%	0.00%	1.04%	3.23%	0.00%	1.28%					
21	. Путин Владимир Владимирович	8913	620	551	691	254	771	603	801	313	105	535	119	82	268	90	442	317	100	511	349	217	191	66	45	214	168	113	133	64	26	68	86					
		63.52%	61.57%	57.52%	63.22%	62.41%	56.32%	66.85%	65.98%	59.62%	63.64%	73.29%	63.64%	63.08%	67.34%	71.43%	65.29%	69.67%	59.52%	65.01%	61.88%	60.78%	60.63%	66.67%	60.81%	60.62%	67.74%	62.78%	73.08%	66.67%	83.87%	85.00%	55.13%					
22	. Хакамада Ирина Муцуовна	376	28	36	27	11	50	19	30	14	3	14	6	2	9	0	26	18	2	19	13	5	8	1	1	13	9	5	3	0	0	0	4					
		2.68%	2.78%	3.76%	2.47%	2.70%	3.65%	2.11%	2.47%	2.67%	1.82%	1.92%	3.21%	1.54%	2.26%	0.00%	3.84%	3.96%	1.19%	2.42%	2.30%	1.40%	2.54%	1.01%	1.35%	3.68%	3.63%	2.78%	1.65%	0.00%	0.00%	0.00%	2.56%					
23	. Харитонов Николай Михайлович	1054	78	76	66	27	98	47	72	43	13	43	8	17	23	16	52	14	15	57	63	42	34	14	5	34	20	19	15	18	1	8	16					
		7.51%	7.75%	7.93%	6.04%	6.63%	7.16%	5.21%	5.93%	8.19%	7.88%	5.89%	4.28%	13.08%	5.78%	12.70%	7.68%	3.08%	8.93%	7.25%	11.17%	11.76%	10.79%	14.14%	6.76%	9.63%	8.06%	10.56%	8.24%	18.75%	3.23%	10.00%	10.26%					
																																						
24	Против всех	509	44	52	49	15	81	36	48	25	3	11	8	1	3	6	23	12	5	18	18	11	13	1	0	6	3	2	4	2	0	1	8					
		3.63%	4.37%	5.43%	4.48%	3.69%	5.92%	3.99%	3.95%	4.76%	1.82%	1.51%	4.28%	0.77%	0.75%	4.76%	3.40%	2.64%	2.98%	2.29%	3.19%	3.08%	4.13%	1.01%	0.00%	1.70%	1.21%	1.11%	2.20%	2.08%	0.00%	1.25%	5.13%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
