Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Медвежьегорская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
14	Число неиспользованных открепительных удостоверений	299	10	9	6	8	18	7	7	3	5	7	10	7	4	5	14	9	6	5	8	8	9	2	10	10	9	5	4	2	5	7	3	4	6	5	7	2	9	1	4	5	2	4	3	5	6	14					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	1	0	0	0	2	3	1	1	1	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	325	26	19	15	26	18	10	28	11	4	23	20	4	5	0	31	9	2	1	0	0	5	4	0	1	0	1	3	2	0	6	0	1	3	10	5	2	2	11	0	0	4	1	6	0	5	1					
		1.87%	3.02%	2.12%	1.99%	2.37%	3.43%	1.51%	1.90%	1.36%	1.28%	2.13%	1.85%	1.65%	4.17%	0.00%	2.48%	2.17%	3.28%	1.67%	0.00%	0.00%	2.30%	1.11%	0.00%	1.41%	0.00%	0.74%	3.53%	1.69%	0.00%	1.20%	0.00%	1.49%	1.32%	4.90%	1.05%	1.69%	1.80%	1.95%	0.00%	0.00%	2.60%	1.75%	0.97%	0.00%	1.43%	1.75%					
19	. Малышкин Олег Александрович	379	11	19	11	29	18	11	34	13	7	22	30	2	4	0	32	10	0	1	6	1	6	4	4	4	4	4	1	4	0	10	3	1	0	4	8	3	7	12	0	4	3	1	20	5	6	0					
		2.18%	1.28%	2.12%	1.46%	2.64%	3.43%	1.66%	2.31%	1.60%	2.24%	2.03%	2.77%	0.83%	3.33%	0.00%	2.56%	2.41%	0.00%	1.67%	3.77%	0.85%	2.76%	1.11%	6.67%	5.63%	1.64%	2.96%	1.18%	3.39%	0.00%	1.99%	2.14%	1.49%	0.00%	1.96%	1.68%	2.54%	6.31%	2.13%	0.00%	4.04%	1.95%	1.75%	3.23%	5.26%	1.72%	0.00%					
20	. Миронов Сергей Михайлович	192	18	14	10	5	17	4	17	7	7	14	16	4	2	0	13	0	0	1	2	3	4	2	0	0	5	2	2	2	0	0	1	0	1	1	4	3	2	2	0	1	1	0	3	0	1	1					
		1.11%	2.09%	1.56%	1.33%	0.46%	3.24%	0.60%	1.16%	0.86%	2.24%	1.29%	1.48%	1.65%	1.67%	0.00%	1.04%	0.00%	0.00%	1.67%	1.26%	2.54%	1.84%	0.55%	0.00%	0.00%	2.05%	1.48%	2.35%	1.69%	0.00%	0.00%	0.71%	0.00%	0.44%	0.49%	0.84%	2.54%	1.80%	0.35%	0.00%	1.01%	0.65%	0.00%	0.48%	0.00%	0.29%	1.75%					
21	. Путин Владимир Владимирович	13156	680	629	505	782	356	500	1081	632	240	816	828	197	87	107	908	323	51	53	131	96	169	298	47	60	216	108	69	100	52	398	124	58	194	135	323	78	77	422	61	82	125	41	516	72	280	49					
		75.76%	78.89%	70.28%	67.07%	71.22%	67.81%	75.53%	73.49%	77.93%	76.92%	75.42%	76.52%	81.40%	72.50%	81.06%	72.58%	77.83%	83.61%	88.33%	82.39%	81.36%	77.88%	82.55%	78.33%	84.51%	88.52%	80.00%	81.18%	84.75%	88.14%	79.28%	88.57%	86.57%	85.46%	66.18%	67.71%	66.10%	69.37%	74.82%	95.31%	82.83%	81.17%	71.93%	83.23%	75.79%	80.23%	85.96%					
22	. Хакамада Ирина Муцуовна	523	19	38	36	34	20	25	52	20	13	31	52	5	4	8	38	3	1	3	4	4	5	7	1	0	0	5	0	3	0	17	0	1	2	5	12	6	4	15	0	2	1	3	15	2	4	3					
		3.01%	2.20%	4.25%	4.78%	3.10%	3.81%	3.78%	3.54%	2.47%	4.17%	2.87%	4.81%	2.07%	3.33%	6.06%	3.04%	0.72%	1.64%	5.00%	2.52%	3.39%	2.30%	1.94%	1.67%	0.00%	0.00%	3.70%	0.00%	2.54%	0.00%	3.39%	0.00%	1.49%	0.88%	2.45%	2.52%	5.08%	3.60%	2.66%	0.00%	2.02%	0.65%	5.26%	2.42%	2.11%	1.15%	5.26%					
23	. Харитонов Николай Михайлович	2256	80	142	132	186	75	96	191	109	32	152	97	25	17	12	191	64	5	1	13	12	26	39	4	6	14	10	7	4	5	64	8	6	22	41	114	19	18	82	2	8	18	5	43	15	42	2					
		12.99%	9.28%	15.87%	17.53%	16.94%	14.29%	14.50%	12.98%	13.44%	10.26%	14.05%	8.96%	10.33%	14.17%	9.09%	15.27%	15.42%	8.20%	1.67%	8.18%	10.17%	11.98%	10.80%	6.67%	8.45%	5.74%	7.41%	8.24%	3.39%	8.47%	12.75%	5.71%	8.96%	9.69%	20.10%	23.90%	16.10%	16.22%	14.54%	3.12%	8.08%	11.69%	8.77%	6.94%	15.79%	12.03%	3.51%					
																																																					
24	Против всех	395	19	26	35	29	10	14	62	13	5	22	31	5	0	4	26	6	0	0	1	2	1	5	3	0	4	2	1	2	1	3	3	0	4	3	9	2	1	17	0	1	2	6	8	0	6	1					
		2.27%	2.20%	2.91%	4.65%	2.64%	1.90%	2.11%	4.21%	1.60%	1.60%	2.03%	2.87%	2.07%	0.00%	3.03%	2.08%	1.45%	0.00%	0.00%	0.63%	1.69%	0.46%	1.39%	5.00%	0.00%	1.64%	1.48%	1.18%	1.69%	1.69%	0.60%	2.14%	0.00%	1.76%	1.47%	1.89%	1.69%	0.90%	3.01%	0.00%	1.01%	1.30%	10.53%	1.29%	0.00%	1.72%	1.75%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
