Выборы Президента Российской Федерации																																																																																																																															
																																																																																																																															
"Наименование Избирательной комиссии:    Омск, Центральная"																																																																																																																															
																																																																																																																															
Итоги голосования 																																																																																																																															
																																																																																																																															
		Сумма	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880					
11	Число полученных открепительных  удостоверений	3834	20	25	20	40	35	20	30	20	20	20	50	50	140	30	0	35	20	35	50	30	40	30	30	250	20	40	35	30	20	40	25	20	20	20	30	50	35	30	20	30	20	40	50	40	20	20	40	25	30	30	30	35	20	20	25	30	40	30	20	20	40	35	20	45	30	40	30	40	25	50	50	40	50	40	25	50	25	20	35	45	40	35	50	40	20	32	35	30	55	35	40	35	30	40	20	50	57	50	46	55	30	20	20	20	0	0	0	0	0	0	0	0	0	0	0	20	20	28	20	36					
12	Число выданных открепительных удостоверений	3298	17	20	20	40	27	17	23	6	15	16	42	41	128	29	0	31	20	33	44	28	37	24	26	219	16	38	29	26	19	40	21	16	13	19	26	39	27	30	14	22	17	36	43	39	10	17	35	23	22	30	21	21	17	19	25	22	35	30	17	20	35	30	20	37	21	32	25	28	24	44	42	28	48	39	23	34	19	18	30	38	35	24	46	34	20	28	30	22	52	33	38	30	22	39	11	48	57	44	45	40	30	14	19	9	0	0	0	0	0	0	0	0	0	0	0	14	20	28	19	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3648	9	20	18	24	26	9	20	16	18	11	18	33	76	16	215	14	29	17	29	15	22	21	67	59	41	71	22	19	23	27	12	17	19	12	23	16	10	19	23	14	17	18	12	21	11	19	16	28	24	16	20	22	13	16	15	55	16	32	21	13	26	13	10	24	17	18	17	21	32	24	10	12	22	25	16	26	16	38	24	22	22	31	32	14	28	16	18	26	19	43	21	17	6	20	12	11	24	20	14	11	18	8	14	10	169	166	326	90	40	85	26	53	58	45	54	13	18	14	32	16					
14	Число неиспользованных открепительных удостоверений	536	3	5	0	0	8	3	7	14	5	4	8	9	12	1	0	4	0	2	6	2	3	6	4	31	4	2	6	4	1	0	4	4	7	1	4	11	8	0	6	8	3	4	7	1	10	3	5	2	8	0	9	14	3	1	0	8	5	0	3	0	5	5	0	8	9	8	5	12	1	6	8	12	2	1	2	16	6	2	5	7	5	11	4	6	0	4	5	8	3	2	2	5	8	1	9	2	0	6	1	15	0	6	1	11	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																															
18	. Глазьев Сергей Юрьевич	6831	35	30	47	68	58	36	32	30	35	28	90	68	61	65	12	89	87	97	94	72	78	82	70	92	36	57	32	38	30	77	69	29	22	36	41	57	53	96	16	44	73	64	42	96	54	47	61	60	81	55	37	61	43	48	47	57	78	59	10	34	70	36	23	26	58	110	48	54	66	83	135	95	101	82	87	84	76	92	70	73	52	90	245	73	38	37	65	39	71	97	89	93	77	51	13	132	117	115	108	103	52	20	32	6	17	30	20	11	4	8	8	6	6	6	2	19	22	25	24	43					
		5.02%	3.73%	2.54%	3.81%	3.85%	4.23%	3.36%	2.77%	4.41%	3.74%	2.73%	5.89%	6.31%	3.47%	5.47%	0.98%	7.45%	7.08%	9.15%	5.63%	5.89%	5.60%	5.94%	5.36%	5.45%	4.61%	5.64%	3.01%	4.71%	3.84%	5.05%	5.47%	3.49%	3.51%	3.90%	3.85%	5.48%	4.16%	6.08%	2.06%	4.33%	6.17%	4.77%	3.39%	6.45%	5.20%	5.05%	4.34%	4.90%	5.22%	3.87%	3.27%	5.51%	4.10%	4.61%	4.48%	3.55%	5.39%	3.96%	2.36%	3.32%	5.14%	2.88%	2.66%	2.25%	4.81%	7.30%	5.14%	4.93%	6.18%	5.26%	7.96%	8.35%	6.24%	6.40%	7.02%	6.23%	6.99%	8.15%	5.17%	4.86%	5.62%	7.09%	12.98%	5.88%	3.38%	3.83%	4.86%	3.57%	4.97%	5.78%	5.58%	5.87%	5.04%	5.28%	2.05%	7.25%	6.81%	6.81%	6.17%	5.96%	3.78%	2.28%	3.02%	1.25%	3.33%	4.04%	3.34%	3.81%	2.48%	3.25%	5.80%	4.76%	4.23%	3.47%	1.65%	2.55%	2.60%	2.21%	3.34%	3.44%					
19	. Малышкин Олег Александрович	2843	21	55	31	20	25	29	43	28	25	28	28	19	24	31	93	20	11	12	12	12	24	11	10	10	18	25	25	17	10	28	20	22	22	17	19	18	18	30	17	30	27	36	37	35	13	21	33	34	29	37	28	15	19	26	30	42	31	29	16	21	42	38	23	41	14	16	21	3	18	30	20	15	31	18	29	30	14	13	20	16	22	30	24	34	26	17	37	37	39	38	25	42	33	28	36	29	29	20	29	32	33	25	14	10	6	20	8	4	2	4	4	1	3	2	1	15	22	24	26	43					
		2.09%	2.24%	4.65%	2.51%	1.13%	1.82%	2.71%	3.72%	4.11%	2.67%	2.73%	1.83%	1.76%	1.36%	2.61%	7.62%	1.67%	0.90%	1.13%	0.72%	0.98%	1.72%	0.80%	0.77%	0.59%	2.30%	2.47%	2.35%	2.11%	1.28%	1.83%	1.59%	2.65%	3.51%	1.84%	1.78%	1.73%	1.41%	1.90%	2.19%	2.95%	2.28%	2.68%	2.99%	2.35%	1.25%	2.26%	2.35%	2.78%	1.87%	2.60%	2.47%	1.36%	1.81%	2.50%	2.86%	2.62%	2.14%	1.95%	3.78%	2.05%	3.08%	3.04%	2.66%	3.55%	1.16%	1.06%	2.25%	0.27%	1.69%	1.90%	1.18%	1.32%	1.92%	1.40%	2.34%	2.22%	1.29%	1.15%	1.48%	1.06%	2.38%	2.36%	1.27%	2.74%	2.31%	1.76%	2.77%	3.39%	2.73%	2.27%	1.57%	2.65%	2.16%	2.90%	5.69%	1.59%	1.69%	1.18%	1.66%	1.85%	2.40%	2.85%	1.32%	2.09%	1.18%	2.70%	1.34%	1.38%	1.24%	1.63%	2.90%	0.79%	2.11%	1.16%	0.83%	2.01%	2.60%	2.12%	3.62%	3.44%					
20	. Миронов Сергей Михайлович	1075	7	12	8	33	20	6	7	5	2	4	18	9	17	13	15	12	8	7	16	14	12	8	12	9	2	11	5	6	3	7	11	6	6	3	6	4	7	8	7	9	9	7	8	10	7	7	16	7	12	18	10	6	12	6	5	15	10	7	2	4	11	8	4	6	12	10	11	4	14	18	12	4	13	7	16	14	12	14	10	20	5	13	12	6	5	6	12	11	9	9	13	21	11	6	4	14	16	9	14	15	9	4	11	6	3	5	5	3	2	1	0	0	3	1	0	4	7	10	6	11					
		0.79%	0.75%	1.01%	0.65%	1.87%	1.46%	0.56%	0.61%	0.73%	0.21%	0.39%	1.18%	0.83%	0.97%	1.09%	1.23%	1.00%	0.65%	0.66%	0.96%	1.14%	0.86%	0.58%	0.92%	0.53%	0.26%	1.09%	0.47%	0.74%	0.38%	0.46%	0.87%	0.72%	0.96%	0.33%	0.56%	0.38%	0.55%	0.51%	0.90%	0.89%	0.76%	0.52%	0.65%	0.67%	0.67%	0.75%	1.14%	0.57%	0.77%	1.27%	0.88%	0.54%	1.14%	0.58%	0.48%	0.94%	0.69%	0.47%	0.47%	0.39%	0.81%	0.64%	0.46%	0.52%	1.00%	0.66%	1.18%	0.37%	1.31%	1.14%	0.71%	0.35%	0.80%	0.55%	1.29%	1.04%	1.10%	1.24%	0.74%	1.33%	0.54%	1.02%	0.64%	0.48%	0.44%	0.62%	0.90%	1.01%	0.63%	0.54%	0.81%	1.32%	0.72%	0.62%	0.63%	0.77%	0.93%	0.53%	0.80%	0.87%	0.65%	0.46%	1.04%	1.25%	0.59%	0.67%	0.84%	1.04%	1.24%	0.41%	0.00%	0.00%	2.11%	0.58%	0.00%	0.54%	0.83%	0.88%	0.84%	0.88%					
21	. Путин Владимир Владимирович	87500	621	790	855	1186	910	737	786	420	647	703	946	691	1185	750	838	651	712	603	1093	742	828	825	808	1027	509	652	742	549	543	1033	834	547	425	608	730	639	832	944	534	655	738	881	830	983	684	600	887	755	1013	899	772	764	677	646	663	1105	907	978	301	661	930	879	651	891	743	869	550	665	722	980	985	672	1042	770	705	767	631	677	823	897	631	768	1054	775	730	650	880	724	949	1054	1004	1011	1010	650	411	1097	1120	1058	1075	1118	916	621	686	351	399	500	390	192	95	175	102	91	56	110	87	543	587	793	500	814					
		64.37%	66.13%	66.78%	69.23%	67.08%	66.42%	68.88%	68.05%	61.67%	69.20%	68.59%	61.95%	64.10%	67.37%	63.13%	68.63%	54.48%	57.93%	56.89%	65.45%	60.67%	59.44%	59.78%	61.92%	60.88%	65.17%	64.49%	69.80%	68.11%	69.44%	67.69%	66.14%	65.82%	67.89%	65.87%	68.48%	61.38%	65.36%	59.75%	68.64%	64.47%	62.33%	65.60%	67.04%	66.06%	65.90%	64.45%	63.04%	61.68%	65.31%	63.27%	68.14%	69.02%	64.54%	62.06%	63.26%	68.89%	62.68%	65.64%	71.16%	64.61%	68.28%	70.21%	75.17%	77.08%	61.61%	57.70%	58.95%	60.73%	67.60%	62.14%	58.04%	59.05%	64.40%	60.06%	56.85%	56.86%	58.05%	59.96%	60.78%	59.68%	68.14%	60.47%	55.83%	62.40%	64.89%	67.29%	65.82%	66.24%	66.36%	62.85%	62.91%	63.79%	66.10%	67.36%	64.93%	60.24%	65.23%	62.68%	61.46%	64.74%	66.57%	70.73%	64.72%	73.28%	78.24%	67.39%	65.22%	66.44%	59.01%	71.14%	73.91%	72.22%	39.44%	63.58%	71.90%	72.89%	69.47%	69.99%	69.64%	65.07%					
22	. Хакамада Ирина Муцуовна	8710	37	42	55	130	76	52	58	46	37	44	122	76	146	93	79	122	107	101	127	115	114	120	120	145	69	88	41	16	27	99	64	38	31	49	37	74	72	92	30	45	40	62	42	69	50	44	68	49	63	72	51	40	72	67	66	66	96	93	20	46	52	61	26	37	83	150	93	127	72	112	173	86	102	127	144	129	112	117	108	168	60	111	129	83	79	41	50	50	95	127	110	84	76	44	23	165	174	123	161	141	80	31	38	22	15	25	28	11	7	8	3	7	4	5	8	36	41	48	30	46					
		6.41%	3.94%	3.55%	4.45%	7.35%	5.55%	4.86%	5.02%	6.75%	3.96%	4.29%	7.99%	7.05%	8.30%	7.83%	6.47%	10.21%	8.71%	9.53%	7.60%	9.40%	8.18%	8.70%	9.20%	8.60%	8.83%	8.70%	3.86%	1.99%	3.45%	6.49%	5.08%	4.57%	4.95%	5.31%	3.47%	7.11%	5.66%	5.82%	3.86%	4.43%	3.38%	4.62%	3.39%	4.64%	4.82%	4.73%	4.83%	4.00%	4.06%	5.07%	4.50%	3.61%	6.86%	6.44%	6.30%	4.11%	6.63%	6.24%	4.73%	4.50%	3.82%	4.87%	3.00%	3.20%	6.88%	9.96%	9.97%	11.60%	6.74%	7.10%	10.19%	7.56%	6.30%	9.91%	11.61%	9.56%	10.30%	10.36%	7.98%	11.18%	6.48%	8.74%	6.83%	6.68%	7.02%	4.24%	3.74%	4.57%	6.64%	7.57%	6.89%	5.30%	4.97%	4.56%	3.63%	9.06%	10.13%	7.29%	9.21%	8.16%	5.81%	3.53%	3.58%	4.59%	2.94%	3.37%	4.68%	3.81%	4.35%	3.25%	2.17%	5.56%	2.82%	2.89%	6.61%	4.83%	4.85%	4.24%	4.18%	3.68%					
23	. Харитонов Николай Михайлович	21881	163	181	168	235	207	158	151	129	154	173	231	165	221	177	20	253	247	198	241	208	248	255	210	305	110	131	164	152	137	203	193	147	95	174	183	190	214	317	143	194	230	234	224	212	186	171	278	254	275	275	181	168	189	197	182	242	244	240	48	208	202	171	85	98	247	271	161	190	104	256	282	173	248	212	177	247	182	163	258	228	116	201	330	203	170	161	222	189	194	244	294	260	233	138	107	295	172	277	270	241	198	146	235	55	36	134	110	50	43	37	13	15	65	38	11	95	131	175	95	244					
		16.10%	17.36%	15.30%	13.60%	13.29%	15.11%	14.77%	13.07%	18.94%	16.47%	16.88%	15.13%	15.31%	12.56%	14.90%	1.64%	21.17%	20.10%	18.68%	14.43%	17.01%	17.80%	18.48%	16.09%	18.08%	14.08%	12.96%	15.43%	18.86%	17.52%	13.30%	15.31%	17.69%	15.18%	18.85%	17.17%	18.25%	16.81%	20.06%	18.38%	19.09%	19.43%	17.42%	18.09%	14.25%	17.92%	18.37%	19.76%	20.75%	17.73%	19.35%	15.98%	15.18%	18.02%	18.92%	17.37%	15.09%	16.86%	16.11%	11.35%	20.33%	14.83%	13.66%	9.82%	8.48%	20.48%	17.99%	17.26%	17.35%	9.74%	16.23%	16.62%	15.20%	15.33%	16.54%	14.27%	18.31%	16.74%	14.44%	19.05%	15.17%	12.53%	15.83%	17.48%	16.34%	15.11%	16.67%	16.60%	17.29%	13.57%	14.55%	18.42%	16.40%	15.25%	14.30%	16.90%	16.20%	10.02%	16.41%	15.44%	13.95%	14.39%	16.63%	22.17%	11.48%	7.06%	18.06%	18.39%	17.30%	26.71%	15.04%	9.42%	11.90%	45.77%	21.97%	9.09%	12.75%	15.50%	15.45%	13.23%	19.50%					
																																																																																																																															
24	Против всех	5960	42	57	57	90	61	38	62	22	28	31	65	46	94	48	127	46	55	38	81	52	76	74	70	92	33	43	34	6	24	66	62	34	18	30	39	53	70	70	25	36	56	52	39	74	37	36	50	57	64	47	41	46	33	41	45	58	61	75	21	27	41	49	42	52	44	71	41	47	69	86	78	93	72	57	74	69	57	50	54	89	37	47	79	56	68	45	55	38	60	92	53	64	79	37	29	81	85	81	89	70	67	26	31	20	26	22	19	10	5	11	5	4	5	9	10	21	26	41	26	41					
		4.38%	4.47%	4.82%	4.62%	5.09%	4.45%	3.55%	5.37%	3.23%	2.99%	3.02%	4.26%	4.27%	5.34%	4.04%	10.40%	3.85%	4.48%	3.58%	4.85%	4.25%	5.46%	5.36%	5.36%	5.45%	4.23%	4.25%	3.20%	0.74%	3.07%	4.33%	4.92%	4.09%	2.88%	3.25%	3.66%	5.09%	5.50%	4.43%	3.21%	3.54%	4.73%	3.87%	3.15%	4.97%	3.56%	3.87%	3.55%	4.66%	4.13%	3.31%	3.62%	4.16%	3.15%	3.94%	4.29%	3.62%	4.22%	5.03%	4.96%	2.64%	3.01%	3.91%	4.85%	4.50%	3.65%	4.71%	4.39%	4.29%	6.46%	5.45%	4.60%	8.17%	4.45%	4.45%	5.97%	5.11%	5.24%	4.43%	3.99%	5.92%	4.00%	3.70%	4.18%	4.51%	6.04%	4.66%	4.11%	3.48%	4.20%	5.49%	3.32%	4.04%	5.17%	3.83%	4.58%	4.45%	4.95%	4.80%	5.09%	4.05%	4.87%	2.96%	2.92%	4.18%	5.10%	2.96%	3.18%	3.46%	3.11%	4.47%	3.62%	3.17%	3.52%	5.20%	8.26%	2.82%	3.08%	3.62%	3.62%	3.28%					
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
