Выборы Президента Российской Федерации																																																																																																																																						
Дата голосования: 18.03.2018																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																						
																																																																																																																																						
Сводная таблица итогов голосования																																																																																																																																						
																																																																																																																																						
	Число участковых избирательных комиссий	123																																																																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	123																																																																																																																																				
																																																																																																																																						
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №216	УИК №217	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №273	УИК №274	УИК №275	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №302	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326									
		12.11%	1.02%	2.08%	2.06%	1.02%	2.06%	2.06%	4.04%	3.06%	3.09%	1.02%	0.00%	1.01%	4.08%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	5.00%	5.26%	14.00%	29.55%	17.24%	34.48%	10.00%	31.58%	21.67%	11.54%	31.03%	13.33%	35.71%	66.67%	53.57%	14.29%	27.59%	22.58%	23.33%	18.52%	20.59%	14.29%	15.15%	35.71%	26.09%	29.63%	25.00%	19.12%	29.41%	17.14%	22.39%	18.60%	28.42%	13.95%	2.26%	23.53%	33.33%	12.50%	22.22%	0.00%	18.75%	31.25%	25.00%	13.33%	21.74%	50.00%	7.14%	7.14%	6.25%	12.50%	15.00%	35.71%	7.14%	13.73%	46.15%	27.78%	0.00%	0.00%	3.15%	1.67%	3.30%	1.02%	2.94%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	7.14%	0.00%	6.67%	7.69%	13.89%	0.00%	25.00%	33.33%	17.43%	11.11%	15.00%	20.00%	16.13%	8.33%	16.67%	36.00%	15.94%	53.85%	18.18%	5.26%	14.29%	0.00%	13.33%	7.69%	20.00%	36.36%	8.33%	12.50%	6.25%	30.77%	14.29%	27.78%	36.67%									
16	Путин Владимир Владимирович	3860	95	93	94	94	93	94	95	94	93	95	95	95	94	95	24	23	27	26	18	18	30	19	18	17	17	10	16	23	10	37	14	34	19	8	6	4	38	19	20	17	19	25	21	17	11	16	14	18	48	32	45	40	91	34	90	118	51	4	13	10	14	8	7	5	8	14	2	5	8	11	2	12	3	9	41	3	13	39	24	122	52	84	95	95	27	14	18	18	17	14	12	9	11	6	26	9	2	3	80	16	15	30	14	10	17	14	47	6	13	14	11	10	11	12	40	8	17	23	13	5	10	3	11									
		74.92%	96.94%	96.88%	96.91%	95.92%	95.88%	96.91%	95.96%	95.92%	95.88%	96.94%	100.00%	95.96%	95.92%	96.94%	100.00%	95.83%	96.43%	100.00%	94.74%	94.74%	100.00%	95.00%	94.74%	34.00%	38.64%	34.48%	55.17%	76.67%	52.63%	61.67%	53.85%	58.62%	63.33%	57.14%	22.22%	14.29%	77.55%	65.52%	64.52%	56.67%	70.37%	73.53%	75.00%	51.52%	39.29%	69.57%	51.85%	64.29%	70.59%	47.06%	64.29%	59.70%	70.54%	35.79%	69.77%	88.72%	60.00%	66.67%	81.25%	55.56%	82.35%	50.00%	43.75%	62.50%	53.33%	60.87%	14.29%	35.71%	57.14%	68.75%	12.50%	60.00%	21.43%	64.29%	80.39%	23.08%	36.11%	100.00%	100.00%	96.06%	86.67%	92.31%	96.94%	93.14%	96.43%	100.00%	100.00%	100.00%	94.44%	100.00%	85.71%	60.00%	73.33%	46.15%	72.22%	69.23%	16.67%	33.33%	73.39%	59.26%	25.00%	66.67%	45.16%	41.67%	70.83%	56.00%	68.12%	46.15%	59.09%	73.68%	52.38%	100.00%	73.33%	92.31%	61.54%	24.24%	70.83%	47.92%	81.25%	38.46%	71.43%	16.67%	36.67%									
17	Собчак Ксения Анатольевна	130	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	7	5	5	1	1	0	2	1	3	1	1	0	3	0	0	3	0	0	0	2	5	2	0	4	2	2	2	4	2	7	3	1	3	4	0	0	1	1	0	1	0	1	1	0	0	1	0	0	3	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	1	4	1	4	2	0	0	3	0	0	2	0	0	0	0	1	3	0	1	0	1	0	0	2									
		2.52%	1.02%	0.00%	1.03%	1.02%	0.00%	1.03%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	1.02%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.00%	11.36%	17.24%	3.45%	3.33%	0.00%	3.33%	3.85%	5.17%	3.33%	7.14%	0.00%	10.71%	0.00%	0.00%	9.68%	0.00%	0.00%	0.00%	7.14%	15.15%	7.14%	0.00%	14.81%	7.14%	2.94%	2.94%	5.71%	2.99%	5.43%	3.16%	0.78%	2.26%	4.71%	0.00%	0.00%	5.56%	5.88%	0.00%	6.25%	0.00%	6.67%	4.35%	0.00%	0.00%	7.14%	0.00%	0.00%	15.00%	7.14%	0.00%	1.96%	0.00%	2.78%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%	15.38%	0.00%	0.00%	2.75%	3.70%	6.67%	2.22%	12.90%	8.33%	0.00%	0.00%	4.35%	0.00%	0.00%	10.53%	0.00%	0.00%	0.00%	0.00%	1.54%	9.09%	0.00%	2.08%	0.00%	7.69%	0.00%	0.00%	6.67%									
18	Сурайкин Максим Александрович	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	1									
		0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	2.27%	3.45%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	6.06%	0.00%	0.00%	0.00%	0.00%	0.00%	2.94%	0.00%	0.00%	1.55%	2.11%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%	1.67%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%	0.00%	3.70%	1.67%	2.22%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	4.17%	0.00%	0.00%	7.14%	0.00%	3.33%									
19	Титов Борис Юрьевич	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0	1	1	2	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0									
		0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	3.33%	3.70%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	2.94%	0.00%	0.00%	0.78%	1.05%	1.55%	0.75%	2.35%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.96%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.41%	1.67%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	1.54%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	42	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	1	0	0	0	0	0	0	4	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2									
