Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Баганская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48					
		1.56%	1.00%	0.00%	0.00%	0.00%	0.00%	1.97%	2.98%	1.92%	1.68%	5.76%	3.09%	0.00%	1.82%	3.86%	1.48%	0.00%	0.98%	1.28%	0.00%	0.00%	0.00%	0.71%	2.70%	0.00%	0.94%	1.06%	2.97%	1.10%	0.00%	0.00%	3.44%	1.16%	0.59%	0.60%	1.60%	0.00%	0.67%	1.53%	0.00%	0.83%	2.56%	0.00%	1.16%	1.58%	0.00%	0.00%	1.16%	0.00%					
19	. Малышкин Олег Александрович	253	9	1	0	1	6	5	12	5	11	1	7	17	7	8	9	9	2	3	12	2	1	4	0	0	1	6	15	3	1	2	6	7	11	4	6	1	2	10	0	4	1	3	17	16	1	1	2	1					
		2.58%	2.24%	0.71%	0.00%	2.70%	13.33%	1.97%	3.25%	1.92%	2.32%	0.34%	2.41%	5.30%	3.18%	1.93%	3.32%	7.56%	1.96%	1.92%	10.17%	1.02%	1.23%	2.84%	0.00%	0.00%	0.94%	6.38%	4.05%	1.10%	1.20%	1.80%	1.72%	4.07%	6.47%	1.19%	1.37%	0.62%	1.33%	2.18%	0.00%	3.33%	1.28%	2.52%	4.93%	2.82%	1.02%	2.27%	2.33%	1.52%					
20	. Миронов Сергей Михайлович	53	4	4	1	0	0	1	1	2	0	0	2	2	2	4	2	0	0	1	0	2	0	0	1	0	2	1	1	2	0	0	6	0	1	2	1	3	0	3	0	1	0	0	1	0	0	0	0	0					
		0.54%	1.00%	2.86%	1.02%	0.00%	0.00%	0.39%	0.27%	0.77%	0.00%	0.00%	0.69%	0.62%	0.91%	0.96%	0.74%	0.00%	0.00%	0.64%	0.00%	1.02%	0.00%	0.00%	2.70%	0.00%	1.89%	1.06%	0.27%	0.74%	0.00%	0.00%	1.72%	0.00%	0.59%	0.60%	0.23%	1.86%	0.00%	0.65%	0.00%	0.83%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6183	188	110	61	20	38	174	239	155	298	165	182	211	141	252	174	47	73	108	69	92	51	83	32	47	64	66	207	172	56	61	249	145	118	234	242	112	99	317	50	78	47	95	207	336	85	31	52	50					
		63.15%	46.77%	78.57%	62.24%	54.05%	84.44%	68.50%	64.77%	59.39%	62.74%	55.93%	62.54%	65.73%	64.09%	60.72%	64.21%	39.50%	71.57%	69.23%	58.47%	46.70%	62.96%	58.87%	86.49%	82.46%	60.38%	70.21%	55.95%	63.24%	67.47%	54.95%	71.35%	84.30%	69.41%	69.64%	55.25%	69.57%	66.00%	69.06%	53.19%	65.00%	60.26%	79.83%	60.00%	59.15%	86.73%	70.45%	60.47%	75.76%					
22	. Хакамада Ирина Муцуовна	139	8	2	3	0	0	4	6	6	7	6	4	6	1	8	10	6	2	7	4	2	2	2	0	0	0	0	2	2	0	4	3	0	0	5	3	1	0	1	6	1	3	1	5	4	0	0	1	1					
		1.42%	1.99%	1.43%	3.06%	0.00%	0.00%	1.57%	1.63%	2.30%	1.47%	2.03%	1.37%	1.87%	0.45%	1.93%	3.69%	5.04%	1.96%	4.49%	3.39%	1.02%	2.47%	1.42%	0.00%	0.00%	0.00%	0.00%	0.54%	0.74%	0.00%	3.60%	0.86%	0.00%	0.00%	1.49%	0.68%	0.62%	0.00%	0.22%	6.38%	0.83%	3.85%	0.84%	1.45%	0.70%	0.00%	0.00%	1.16%	1.52%					
23	. Харитонов Николай Михайлович	2722	179	21	33	16	1	63	82	77	126	93	74	75	59	113	67	53	23	28	31	96	23	47	3	10	35	17	123	80	26	43	69	14	38	85	171	41	48	108	36	30	25	16	91	179	8	7	28	11					
		27.80%	44.53%	15.00%	33.67%	43.24%	2.22%	24.80%	22.22%	29.50%	26.53%	31.53%	25.43%	23.36%	26.82%	27.23%	24.72%	44.54%	22.55%	17.95%	26.27%	48.73%	28.40%	33.33%	8.11%	17.54%	33.02%	18.09%	33.24%	29.41%	31.33%	38.74%	19.77%	8.14%	22.35%	25.30%	39.04%	25.47%	32.00%	23.53%	38.30%	25.00%	32.05%	13.45%	26.38%	31.51%	8.16%	15.91%	32.56%	16.67%					
																																																							
24	Против всех	178	3	2	0	0	0	2	14	8	21	6	8	6	2	11	3	0	1	7	1	3	3	3	0	0	2	3	10	6	0	1	2	1	0	2	6	3	0	7	0	0	0	2	9	8	3	5	2	2					
		1.82%	0.75%	1.43%	0.00%	0.00%	0.00%	0.79%	3.79%	3.07%	4.42%	2.03%	2.75%	1.87%	0.91%	2.65%	1.11%	0.00%	0.98%	4.49%	0.85%	1.52%	3.70%	2.13%	0.00%	0.00%	1.89%	3.19%	2.70%	2.21%	0.00%	0.90%	0.57%	0.58%	0.00%	0.60%	1.37%	1.86%	0.00%	1.53%	0.00%	0.00%	0.00%	1.68%	2.61%	1.41%	3.06%	11.36%	2.33%	3.03%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
