Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Верхнедонская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	0	0	0	0	10	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	298	0	4	2	4	1	2	59	67	2	3	6	1	0	0	8	1	2	0	0	8	5	2	4	33	6	3	3	1	1	1	8	1	0	2	4	13	16	1	1	15	3	2	3					
		1.85%	0.00%	2.14%	0.92%	0.69%	0.57%	1.32%	3.88%	3.35%	0.62%	1.85%	0.81%	0.15%	0.00%	0.00%	0.72%	0.83%	0.50%	0.00%	0.00%	1.00%	1.98%	0.97%	1.82%	2.75%	2.84%	1.79%	0.88%	1.64%	0.74%	0.71%	1.17%	1.06%	0.00%	3.08%	1.97%	3.64%	4.60%	0.55%	1.10%	2.22%	1.48%	3.08%	0.97%					
19	. Малышкин Олег Александрович	390	2	3	3	10	5	5	50	57	9	11	9	16	3	1	16	1	0	6	6	3	7	1	4	35	6	10	6	1	3	2	12	8	4	2	9	11	9	14	1	7	6	2	14					
		2.42%	1.59%	1.60%	1.38%	1.72%	2.87%	3.31%	3.29%	2.85%	2.80%	6.79%	1.22%	2.42%	2.94%	1.45%	1.44%	0.83%	0.00%	7.41%	3.80%	0.37%	2.78%	0.49%	1.82%	2.92%	2.84%	5.95%	1.76%	1.64%	2.22%	1.42%	1.75%	8.51%	1.90%	3.08%	4.43%	3.08%	2.59%	7.69%	1.10%	1.04%	2.96%	3.08%	4.52%					
20	. Миронов Сергей Михайлович	94	0	0	1	3	2	2	14	23	2	2	3	3	1	0	5	1	0	0	0	3	0	0	1	2	1	1	1	0	0	0	3	1	0	1	1	3	1	2	1	4	2	2	2					
		0.58%	0.00%	0.00%	0.46%	0.51%	1.15%	1.32%	0.92%	1.15%	0.62%	1.23%	0.41%	0.45%	0.98%	0.00%	0.45%	0.83%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.45%	0.17%	0.47%	0.60%	0.29%	0.00%	0.00%	0.00%	0.44%	1.06%	0.00%	1.54%	0.49%	0.84%	0.29%	1.10%	1.10%	0.59%	0.99%	3.08%	0.65%					
21	. Путин Владимир Владимирович	13340	113	169	195	525	157	136	1114	1499	289	104	664	598	92	65	1002	109	393	74	142	733	217	179	182	832	161	122	307	54	91	134	621	76	197	50	170	274	257	128	85	582	160	45	243					
		82.82%	89.68%	90.37%	89.86%	90.05%	90.23%	90.07%	73.29%	74.99%	90.03%	64.20%	90.09%	90.33%	90.20%	94.20%	90.11%	90.08%	98.74%	91.36%	89.87%	91.28%	86.11%	86.89%	82.73%	69.33%	76.30%	72.62%	90.03%	88.52%	67.41%	95.04%	90.52%	80.85%	93.81%	76.92%	83.74%	76.75%	73.85%	70.33%	93.41%	86.09%	78.82%	69.23%	78.39%					
22	. Хакамада Ирина Муцуовна	136	0	2	4	4	1	0	20	16	5	2	10	4	2	0	5	2	1	0	4	5	0	1	3	12	0	1	2	1	2	0	4	1	2	0	2	5	3	2	1	3	2	0	2					
		0.84%	0.00%	1.07%	1.84%	0.69%	0.57%	0.00%	1.32%	0.80%	1.56%	1.23%	1.36%	0.60%	1.96%	0.00%	0.45%	1.65%	0.25%	0.00%	2.53%	0.62%	0.00%	0.49%	1.36%	1.00%	0.00%	0.60%	0.59%	1.64%	1.48%	0.00%	0.58%	1.06%	0.95%	0.00%	0.99%	1.40%	0.86%	1.10%	1.10%	0.44%	0.99%	0.00%	0.65%					
23	. Харитонов Николай Михайлович	1601	11	9	9	34	7	6	224	274	10	37	39	36	3	3	67	5	0	1	2	47	14	21	12	257	37	28	21	3	37	3	26	6	6	10	17	48	54	32	2	60	30	14	39					
		9.94%	8.73%	4.81%	4.15%	5.83%	4.02%	3.97%	14.74%	13.71%	3.12%	22.84%	5.29%	5.44%	2.94%	4.35%	6.03%	4.13%	0.00%	1.23%	1.27%	5.85%	5.56%	10.19%	5.45%	21.42%	17.54%	16.67%	6.16%	4.92%	27.41%	2.13%	3.79%	6.38%	2.86%	15.38%	8.37%	13.45%	15.52%	17.58%	2.20%	8.88%	14.78%	21.54%	12.58%					
																																																		
24	Против всех	175	0	0	1	3	1	0	32	51	3	3	3	3	1	0	9	1	2	0	4	3	3	2	0	18	0	0	1	0	0	1	8	1	1	0	0	3	4	2	0	4	0	0	7					
		1.09%	0.00%	0.00%	0.46%	0.51%	0.57%	0.00%	2.11%	2.55%	0.93%	1.85%	0.41%	0.45%	0.98%	0.00%	0.81%	0.83%	0.50%	0.00%	2.53%	0.37%	1.19%	0.97%	0.00%	1.50%	0.00%	0.00%	0.29%	0.00%	0.00%	0.71%	1.17%	1.06%	0.48%	0.00%	0.00%	0.84%	1.15%	1.10%	0.00%	0.59%	0.00%	0.00%	2.26%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
