Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Беломорская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
21	. Путин Владимир Владимирович	8336	144	398	253	882	923	844	393	382	379	369	135	201	175	275	129	89	181	39	715	236	38	737	258	161					
		76.67%	76.19%	76.83%	77.61%	71.36%	72.68%	73.71%	75.29%	78.12%	81.33%	88.07%	92.47%	83.06%	86.21%	87.86%	84.87%	69.53%	83.41%	81.25%	68.10%	78.41%	74.51%	78.24%	83.23%	85.19%					
22	. Хакамада Ирина Муцуовна	465	10	26	17	92	75	58	17	22	16	3	1	6	2	10	9	9	2	2	38	8	3	29	4	6					
		4.28%	5.29%	5.02%	5.21%	7.44%	5.91%	5.07%	3.26%	4.50%	3.43%	0.72%	0.68%	2.48%	0.99%	3.19%	5.92%	7.03%	0.92%	4.17%	3.62%	2.66%	5.88%	3.08%	1.29%	3.17%					
23	. Харитонов Николай Михайлович	1089	11	46	23	148	143	123	52	44	30	25	7	21	16	9	6	16	18	4	167	30	9	99	31	11					
		10.02%	5.82%	8.88%	7.06%	11.97%	11.26%	10.74%	9.96%	9.00%	6.44%	5.97%	4.79%	8.68%	7.88%	2.88%	3.95%	12.50%	8.29%	8.33%	15.90%	9.97%	17.65%	10.51%	10.00%	5.82%					
																															
24	Против всех	311	7	16	13	32	43	44	15	17	15	3	0	1	4	8	6	8	3	0	41	6	1	23	0	5					
		2.86%	3.70%	3.09%	3.99%	2.59%	3.39%	3.84%	2.87%	3.48%	3.22%	0.72%	0.00%	0.41%	1.97%	2.56%	3.95%	6.25%	1.38%	0.00%	3.90%	1.99%	1.96%	2.44%	0.00%	2.65%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
