Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Лешуконская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535					
		1.27%	0.00%	1.06%	0.00%	1.24%	0.00%	0.00%	3.77%	0.00%	1.52%	0.00%	1.32%	1.03%	1.33%	0.00%	0.00%	1.18%	1.69%	0.00%	2.29%	0.00%	1.54%	1.20%	1.25%	2.48%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.78%					
23	. Харитонов Николай Михайлович	532	10	13	6	64	4	15	10	31	7	5	8	32	10	3	3	2	7	5	8	2	5	57	95	66	1	1	2	7	14	4	35					
		11.04%	17.86%	13.83%	7.14%	19.81%	9.09%	22.06%	18.87%	11.03%	5.30%	12.82%	5.26%	11.00%	13.33%	7.50%	5.08%	2.35%	11.86%	16.67%	6.11%	5.26%	7.69%	8.57%	11.89%	10.23%	3.57%	3.23%	3.51%	5.60%	12.07%	16.67%	27.13%					
																																						
24	Против всех	75	0	0	0	1	0	0	1	1	0	0	1	8	0	0	1	0	2	0	2	0	0	15	22	18	0	0	0	1	2	0	0					
		1.56%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	1.89%	0.36%	0.00%	0.00%	0.66%	2.75%	0.00%	0.00%	1.69%	0.00%	3.39%	0.00%	1.53%	0.00%	0.00%	2.26%	2.75%	2.79%	0.00%	0.00%	0.00%	0.80%	1.72%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
