Выборы Президента Российской Федерации																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская 																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
11	Число полученных открепительных  удостоверений	610	10	20	10	20	10	10	10	10	20	10	10	50	10	10	10	10	10	10	10	5	15	10	5	5	10	10	5	10	10	5	5	5	5	10	5	10	10	10	5	5	5	5	5	10	10	5	5	10	5	5	5	5	5	5	5	5	5	10	10	5	5	5	20	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	248	9	10	6	6	0	1	2	7	7	2	7	29	5	6	9	2	3	7	3	2	14	1	0	0	2	6	1	0	4	2	0	0	1	8	0	10	7	4	0	0	2	0	0	8	4	1	0	2	0	1	0	0	2	1	2	1	1	9	1	0	5	0	16	5	1	0	1	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	158	4	5	1	5	4	1	6	3	7	5	3	6	2	6	7	1	0	0	1	0	5	4	3	0	4	4	3	2	3	4	1	0	3	3	0	0	0	1	0	2	0	1	2	1	0	0	1	2	1	2	3	0	0	0	0	4	2	5	2	0	3	0	7	1	5	2	0	0	5	0					
14	Число неиспользованных открепительных удостоверений	362	1	10	4	14	10	9	8	3	13	8	3	21	5	4	1	8	7	3	7	3	1	9	5	5	8	4	4	10	6	3	5	5	4	2	5	0	3	6	5	5	3	5	5	2	6	4	5	8	5	4	5	5	3	4	3	4	4	1	9	5	0	5	4	0	4	5	4	3	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	2406	56	104	97	102	33	42	33	69	99	21	44	105	47	83	79	20	52	29	38	3	76	40	44	19	26	125	53	24	37	48	6	6	3	26	4	26	24	41	10	9	1	12	9	37	52	30	7	26	14	2	7	2	8	29	31	5	19	59	31	12	17	2	48	5	15	7	9	64	32	11					
		4.81%	7.64%	8.46%	6.87%	7.14%	5.19%	4.11%	5.84%	7.65%	6.80%	3.99%	4.57%	7.54%	8.64%	5.85%	6.91%	4.71%	7.43%	3.20%	4.82%	3.49%	5.97%	4.51%	7.02%	4.76%	3.94%	8.28%	4.98%	4.68%	4.06%	5.00%	2.31%	2.33%	1.14%	4.79%	1.48%	4.07%	3.59%	3.01%	1.97%	2.45%	0.52%	2.43%	2.43%	6.53%	4.07%	4.16%	5.93%	3.38%	2.89%	0.71%	3.54%	1.16%	0.87%	2.67%	2.42%	3.91%	2.70%	4.22%	3.22%	3.61%	2.11%	0.97%	4.07%	2.44%	4.30%	1.87%	3.38%	8.57%	3.01%	5.95%					
19	. Малышкин Олег Александрович	1282	14	30	34	24	7	35	16	14	33	19	23	44	8	34	27	12	17	28	20	3	38	20	17	16	25	43	22	13	16	33	8	10	4	18	5	23	3	35	23	10	4	8	9	12	29	20	1	18	28	19	2	5	15	22	14	4	14	57	69	3	19	4	23	7	7	5	4	10	19	7					
		2.56%	1.91%	2.44%	2.41%	1.68%	1.10%	3.42%	2.83%	1.55%	2.27%	3.61%	2.39%	3.16%	1.47%	2.40%	2.36%	2.82%	2.43%	3.09%	2.53%	3.49%	2.98%	2.26%	2.71%	4.01%	3.79%	2.85%	2.07%	2.53%	1.75%	3.44%	3.08%	3.88%	1.52%	3.31%	1.85%	3.60%	0.45%	2.57%	4.53%	2.72%	2.06%	1.62%	2.43%	2.12%	2.27%	2.77%	0.85%	2.34%	5.79%	6.71%	1.01%	2.89%	1.63%	2.03%	1.09%	3.12%	1.99%	4.08%	7.17%	0.90%	2.36%	1.93%	1.95%	3.41%	2.01%	1.34%	1.50%	1.34%	1.79%	3.78%					
20	. Миронов Сергей Михайлович	372	7	10	13	5	4	7	6	9	12	2	2	16	4	11	9	5	6	13	0	0	6	6	1	10	3	25	4	5	6	6	0	3	3	2	0	4	5	10	7	4	0	4	3	3	10	13	2	3	2	0	0	0	7	9	5	2	2	11	2	2	2	2	3	1	3	3	1	13	9	4					
		0.74%	0.95%	0.81%	0.92%	0.35%	0.63%	0.68%	1.06%	1.00%	0.82%	0.38%	0.21%	1.15%	0.74%	0.78%	0.79%	1.18%	0.86%	1.44%	0.00%	0.00%	0.47%	0.68%	0.16%	2.51%	0.45%	1.66%	0.38%	0.97%	0.66%	0.62%	0.00%	1.16%	1.14%	0.37%	0.00%	0.63%	0.75%	0.74%	1.38%	1.09%	0.00%	0.81%	0.81%	0.53%	0.78%	1.80%	1.69%	0.39%	0.41%	0.00%	0.00%	0.00%	0.76%	0.83%	0.39%	1.56%	0.28%	0.79%	0.21%	0.60%	0.25%	0.97%	0.25%	0.49%	0.86%	0.80%	0.38%	1.74%	0.85%	2.16%					
21	. Путин Владимир Владимирович	32060	495	797	909	920	408	611	355	561	911	335	668	926	330	950	752	307	408	508	484	62	789	588	443	226	467	1012	727	355	511	451	164	150	152	330	171	491	506	911	351	250	110	328	254	315	717	385	94	486	305	143	164	143	613	547	886	74	467	845	543	209	595	146	778	155	232	265	215	424	772	108					
		64.05%	67.53%	64.85%	64.42%	64.43%	64.15%	59.73%	62.83%	62.20%	62.57%	63.69%	69.37%	66.48%	60.66%	67.00%	65.79%	72.24%	58.29%	56.13%	61.34%	72.09%	61.93%	66.37%	70.65%	56.64%	70.76%	67.06%	68.26%	69.20%	56.03%	46.98%	63.08%	58.14%	57.58%	60.77%	63.10%	76.84%	75.75%	66.99%	69.09%	68.12%	56.70%	66.53%	68.65%	55.56%	56.10%	53.32%	79.66%	63.12%	63.02%	50.53%	82.83%	82.66%	66.63%	50.41%	69.27%	57.81%	66.34%	60.44%	56.39%	62.95%	73.82%	70.53%	65.93%	75.61%	66.48%	70.86%	80.83%	56.76%	72.69%	58.38%					
22	. Хакамада Ирина Муцуовна	1060	20	31	36	39	13	33	13	23	35	12	20	29	14	35	26	4	17	25	17	2	31	18	11	6	8	27	34	4	26	23	4	4	4	2	0	11	7	28	15	7	1	8	7	17	39	17	0	17	8	7	0	9	10	28	18	3	22	21	11	10	5	3	26	5	6	4	0	8	32	4					
		2.12%	2.73%	2.52%	2.55%	2.73%	2.04%	3.23%	2.30%	2.55%	2.40%	2.28%	2.08%	2.08%	2.57%	2.47%	2.27%	0.94%	2.43%	2.76%	2.15%	2.33%	2.43%	2.03%	1.75%	1.50%	1.21%	1.79%	3.19%	0.78%	2.85%	2.40%	1.54%	1.55%	1.52%	0.37%	0.00%	1.72%	1.05%	2.06%	2.95%	1.91%	0.52%	1.62%	1.89%	3.00%	3.05%	2.35%	0.00%	2.21%	1.65%	2.47%	0.00%	5.20%	1.09%	2.58%	1.41%	2.34%	3.12%	1.50%	1.14%	3.01%	0.62%	1.45%	2.20%	2.44%	1.72%	1.07%	0.00%	1.07%	3.01%	2.16%					
23	. Харитонов Николай Михайлович	11255	101	200	271	271	160	268	126	193	304	116	188	217	125	257	211	64	167	267	203	13	273	178	94	117	100	239	201	94	282	346	75	80	89	147	90	76	101	298	86	83	77	126	79	166	411	210	14	201	118	99	23	12	250	423	286	32	157	351	269	94	149	49	272	29	75	84	35	187	164	42					
		22.48%	13.78%	16.27%	19.21%	18.98%	25.16%	26.20%	22.30%	21.40%	20.88%	22.05%	19.52%	15.58%	22.98%	18.12%	18.46%	15.06%	23.86%	29.50%	25.73%	15.12%	21.43%	20.09%	14.99%	29.32%	15.15%	15.84%	18.87%	18.32%	30.92%	36.04%	28.85%	31.01%	33.71%	27.07%	33.21%	11.89%	15.12%	21.91%	16.93%	22.62%	39.69%	25.56%	21.35%	29.28%	32.16%	29.09%	11.86%	26.10%	24.38%	34.98%	11.62%	6.94%	27.17%	38.99%	22.36%	25.00%	22.30%	25.11%	27.93%	28.31%	18.49%	23.67%	23.05%	14.15%	21.49%	22.46%	13.16%	25.03%	15.44%	22.70%					
																																																																													
24	Против всех	1277	36	52	49	56	7	25	14	23	57	19	15	46	14	44	31	12	28	26	24	3	47	19	15	5	24	33	21	15	24	37	3	5	7	13	1	5	16	32	13	2	1	5	6	15	18	26	0	15	6	10	0	0	13	19	22	6	14	44	24	2	13	0	22	2	6	2	2	37	21	8					
		2.55%	4.91%	4.23%	3.47%	3.92%	1.10%	2.44%	2.48%	2.55%	3.91%	3.61%	1.56%	3.30%	2.57%	3.10%	2.71%	2.82%	4.00%	2.87%	3.04%	3.49%	3.69%	2.14%	2.39%	1.25%	3.64%	2.19%	1.97%	2.92%	2.63%	3.85%	1.15%	1.94%	2.65%	2.39%	0.37%	0.78%	2.40%	2.35%	2.56%	0.54%	0.52%	1.01%	1.62%	2.65%	1.41%	3.60%	0.00%	1.95%	1.24%	3.53%	0.00%	0.00%	1.41%	1.75%	1.72%	4.69%	1.99%	3.15%	2.49%	0.60%	1.61%	0.00%	1.86%	0.98%	1.72%	0.53%	0.75%	4.95%	1.98%	4.32%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
