Выборы Президента Российской Федерации																																																																																
Дата голосования: 18.03.2018																																																																																
																																																																																
Наименование Избирательной комиссии:    Гулькевичская																																																																																
																																																																																
Сводная таблица итогов голосования																																																																																
																																																																																
	Число участковых избирательных комиссий	70																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																														
																																																																																
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170									
		8.86%	4.05%	7.85%	8.40%	12.15%	6.52%	6.21%	13.86%	9.09%	11.32%	17.56%	3.54%	18.75%	17.63%	14.36%	6.56%	8.40%	13.20%	7.78%	9.32%	24.64%	17.98%	14.79%	15.46%	20.18%	4.17%	13.11%	3.04%	4.48%	9.05%	2.64%	5.86%	4.88%	7.14%	6.37%	9.54%	24.29%	9.88%	16.37%	8.89%	10.28%	10.65%	10.70%	6.25%	0.96%	1.59%	1.51%	0.93%	11.69%	7.68%	2.07%	0.00%	3.52%	20.25%	7.64%	3.31%	5.10%	4.70%	9.77%	1.93%	5.12%	7.04%	6.22%	4.90%	6.65%	5.06%	3.37%	4.24%	4.03%	5.00%									
15	Жириновский Владимир Вольфович	2403	15	72	62	105	45	81	59	56	55	51	12	85	21	47	57	18	46	86	62	1	64	55	39	33	15	88	13	13	29	15	11	14	25	50	15	55	20	63	27	13	0	28	27	3	15	8	1	33	26	3	9	4	52	59	17	3	51	116	5	51	12	92	7	16	21	9	3	33	6									
		4.20%	1.96%	3.87%	3.54%	5.48%	4.81%	4.70%	6.76%	5.30%	4.65%	6.68%	1.21%	6.25%	3.66%	2.62%	3.17%	3.09%	5.95%	6.19%	5.25%	0.72%	5.99%	4.96%	6.15%	9.65%	1.56%	7.69%	1.04%	1.82%	2.82%	1.20%	3.79%	4.88%	7.44%	8.38%	3.87%	7.81%	3.47%	4.25%	4.36%	3.26%	0.00%	4.54%	7.03%	0.48%	1.08%	0.76%	0.93%	4.02%	4.34%	1.24%	6.57%	1.76%	8.04%	4.42%	1.08%	3.06%	6.14%	9.37%	1.38%	7.06%	5.63%	5.11%	2.86%	3.94%	4.43%	3.03%	0.40%	2.83%	4.29%									
16	Путин Владимир Владимирович	48337	698	1569	1502	1509	799	1515	653	897	953	537	929	939	418	1413	1602	485	588	1188	1002	99	757	840	463	232	892	865	1187	662	881	1165	256	253	281	494	330	445	475	1138	519	341	151	501	314	605	1341	1026	104	683	521	229	126	210	439	1158	1491	89	718	969	346	616	184	1584	218	353	418	270	713	1070	119									
		84.41%	91.12%	84.35%	85.83%	78.72%	85.45%	87.93%	74.80%	84.94%	80.49%	70.38%	93.93%	69.04%	72.95%	78.63%	89.00%	83.19%	76.07%	85.53%	84.92%	71.74%	70.88%	75.74%	73.03%	67.84%	93.01%	75.61%	94.96%	92.72%	85.70%	93.20%	88.28%	88.15%	83.63%	82.75%	85.05%	63.21%	82.32%	76.68%	83.84%	85.46%	89.35%	81.20%	81.77%	97.11%	96.61%	96.88%	96.30%	83.19%	86.98%	94.63%	91.97%	92.51%	67.85%	86.74%	95.03%	90.82%	86.51%	78.27%	95.32%	85.32%	86.38%	87.90%	88.98%	86.95%	88.19%	90.91%	94.56%	91.69%	85.00%									
17	Собчак Ксения Анатольевна	258	2	21	8	11	3	1	3	2	7	6	2	18	4	11	5	10	7	1	1	1	14	9	6	1	2	4	2	1	9	18	1	2	1	0	1	5	3	2	3	0	0	10	4	1	1	1	1	2	1	1	0	1	3	2	1	0	2	4	1	4	0	1	1	2	2	1	1	1	1									
		0.45%	0.26%	1.13%	0.46%	0.57%	0.32%	0.06%	0.34%	0.19%	0.59%	0.79%	0.20%	1.32%	0.70%	0.61%	0.28%	1.72%	0.91%	0.07%	0.08%	0.72%	1.31%	0.81%	0.95%	0.29%	0.21%	0.35%	0.16%	0.14%	0.88%	1.44%	0.34%	0.70%	0.30%	0.00%	0.26%	0.71%	0.52%	0.13%	0.48%	0.00%	0.00%	1.62%	1.04%	0.16%	0.07%	0.09%	0.93%	0.24%	0.17%	0.41%	0.00%	0.44%	0.46%	0.15%	0.06%	0.00%	0.24%	0.32%	0.28%	0.55%	0.00%	0.06%	0.41%	0.49%	0.42%	0.34%	0.13%	0.09%	0.71%									
18	Сурайкин Максим Александрович	218	1	10	7	9	8	3	5	1	6	11	4	12	4	8	4	3	7	1	1	1	1	4	6	0	3	4	3	1	4	6	0	1	2	2	1	4	5	2	0	2	0	1	4	1	1	1	0	2	1	1	0	1	6	3	1	0	6	10	1	4	0	3	2	3	2	2	0	3	2									
		0.38%	0.13%	0.54%	0.40%	0.47%	0.86%	0.17%	0.57%	0.09%	0.51%	1.44%	0.40%	0.88%	0.70%	0.45%	0.22%	0.51%	0.91%	0.07%	0.08%	0.72%	0.09%	0.36%	0.95%	0.00%	0.31%	0.35%	0.24%	0.14%	0.39%	0.48%	0.00%	0.35%	0.60%	0.34%	0.26%	0.57%	0.87%	0.13%	0.00%	0.50%	0.00%	0.16%	1.04%	0.16%	0.07%	0.09%	0.00%	0.24%	0.17%	0.41%	0.00%	0.44%	0.93%	0.22%	0.06%	0.00%	0.72%	0.81%	0.28%	0.55%	0.00%	0.17%	0.82%	0.74%	0.42%	0.67%	0.00%	0.26%	1.43%									
19	Титов Борис Юрьевич	188	2	11	4	7	5	1	8	1	3	6	4	11	6	13	2	4	5	1	1	0	8	6	2	1	1	7	2	2	4	2	2	2	1	1	1	7	5	6	3	0	0	3	2	1	1	1	0	0	1	1	0	0	0	2	1	0	1	2	1	1	0	1	1	1	3	1	0	3	2									
