Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Морозовская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1243	УИК №2539	УИК №2540					
11	Число полученных открепительных  удостоверений	730	25	25	25	25	25	25	25	25	60	25	25	50	25	25	10	10	10	5	30	5	5	20	5	10	5	5	40	5	5	5	10	10	10	10	10	15	5	5	15	10	10	25	5	5					
12	Число выданных открепительных удостоверений	393	11	7	8	10	13	7	18	13	52	13	18	36	10	17	3	2	5	0	16	4	2	14	3	6	0	0	31	4	1	3	3	2	6	5	4	15	2	2	10	5	4	6	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	188	3	4	6	2	13	16	4	23	5	7	0	8	4	3	3	0	2	0	19	4	3	2	1	5	2	2	4	3	2	1	3	5	2	3	3	3	2	1	1	3	2	6	1	2					
14	Число неиспользованных открепительных удостоверений	337	14	18	17	15	12	18	7	12	8	12	7	14	15	8	7	8	5	5	14	1	3	6	2	4	5	5	9	1	4	2	7	8	4	5	6	0	3	3	5	5	6	19	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	890	40	57	36	30	36	31	42	39	51	37	49	78	46	11	17	14	10	0	24	8	5	17	2	3	12	18	26	0	1	0	5	6	15	2	6	9	6	10	15	0	12	44	10	10					
		3.22%	3.91%	4.42%	3.60%	3.59%	3.54%	3.20%	3.09%	3.12%	2.98%	3.91%	3.55%	7.49%	3.95%	1.54%	3.74%	2.81%	2.56%	0.00%	2.76%	2.96%	2.81%	4.33%	0.83%	0.83%	4.12%	6.59%	4.70%	0.00%	1.56%	0.00%	1.03%	1.21%	2.36%	0.64%	1.44%	1.52%	2.64%	3.03%	1.66%	0.00%	2.72%	3.42%	12.35%	5.08%					
19	. Малышкин Олег Александрович	1229	46	47	52	36	55	46	45	52	79	37	50	46	49	15	21	14	25	1	42	20	11	28	7	6	25	17	21	4	6	2	1	16	23	16	13	15	10	17	63	25	36	66	5	18					
		4.45%	4.49%	3.64%	5.21%	4.31%	5.40%	4.75%	3.31%	4.17%	4.61%	3.91%	3.62%	4.42%	4.21%	2.10%	4.63%	2.81%	6.41%	1.39%	4.83%	7.41%	6.18%	7.12%	2.89%	1.66%	8.59%	6.23%	3.80%	3.85%	9.38%	2.47%	0.21%	3.24%	3.62%	5.11%	3.12%	2.53%	4.41%	5.15%	6.98%	6.10%	8.16%	5.13%	6.17%	9.14%					
20	. Миронов Сергей Михайлович	141	4	3	5	7	4	4	4	6	18	5	4	6	7	2	2	4	4	0	1	0	1	2	1	0	2	1	8	0	0	0	2	2	5	1	2	1	0	2	7	4	1	9	0	0					
		0.51%	0.39%	0.23%	0.50%	0.84%	0.39%	0.41%	0.29%	0.48%	1.05%	0.53%	0.29%	0.58%	0.60%	0.28%	0.44%	0.80%	1.03%	0.00%	0.12%	0.00%	0.56%	0.51%	0.41%	0.00%	0.69%	0.37%	1.45%	0.00%	0.00%	0.00%	0.41%	0.40%	0.79%	0.32%	0.48%	0.17%	0.00%	0.61%	0.78%	0.98%	0.23%	0.70%	0.00%	0.00%					
21	. Путин Владимир Владимирович	20481	758	903	694	566	673	687	1045	945	1400	663	1052	713	783	631	316	376	290	57	669	200	127	306	216	300	176	145	356	84	50	72	453	437	529	237	323	438	165	247	683	310	332	862	56	156					
		74.18%	74.02%	70.00%	69.47%	67.70%	66.11%	70.97%	76.78%	75.72%	81.78%	70.01%	76.18%	68.49%	67.27%	88.25%	69.60%	75.50%	74.36%	79.17%	76.99%	74.07%	71.35%	77.86%	89.26%	82.87%	60.48%	53.11%	64.38%	80.77%	78.12%	88.89%	93.02%	88.46%	83.31%	75.72%	77.64%	73.99%	72.69%	74.85%	75.64%	75.61%	75.28%	66.98%	69.14%	79.19%					
22	. Хакамада Ирина Муцуовна	393	12	26	13	21	17	17	15	23	22	8	26	17	16	9	3	2	2	2	8	2	2	4	5	4	5	10	11	0	0	0	3	5	11	15	3	2	3	8	9	1	9	20	0	2					
		1.42%	1.17%	2.02%	1.30%	2.51%	1.67%	1.76%	1.10%	1.84%	1.29%	0.84%	1.88%	1.63%	1.37%	1.26%	0.66%	0.40%	0.51%	2.78%	0.92%	0.74%	1.12%	1.02%	2.07%	1.10%	1.72%	3.66%	1.99%	0.00%	0.00%	0.00%	0.62%	1.01%	1.73%	4.79%	0.72%	0.34%	1.32%	2.42%	1.00%	0.24%	2.04%	1.55%	0.00%	1.02%					
23	. Харитонов Николай Михайлович	3777	153	222	170	148	204	169	191	155	109	172	171	98	211	30	92	79	47	12	101	34	28	29	7	47	55	81	111	14	5	6	23	25	33	37	53	104	34	38	103	58	47	254	10	7					
		13.68%	14.94%	17.21%	17.02%	17.70%	20.04%	17.46%	14.03%	12.42%	6.37%	18.16%	12.38%	9.41%	18.13%	4.20%	20.26%	15.86%	12.05%	16.67%	11.62%	12.59%	15.73%	7.38%	2.89%	12.98%	18.90%	29.67%	20.07%	13.46%	7.81%	7.41%	4.72%	5.06%	5.20%	11.82%	12.74%	17.57%	14.98%	11.52%	11.41%	14.15%	10.66%	19.74%	12.35%	3.55%					
																																																			
24	Против всех	540	6	28	15	18	22	11	11	18	33	18	24	76	52	13	1	5	8	0	21	5	4	6	4	2	13	1	16	2	1	1	0	3	11	4	9	15	0	7	17	7	4	25	0	3					
		1.96%	0.59%	2.17%	1.50%	2.15%	2.16%	1.14%	0.81%	1.44%	1.93%	1.90%	1.74%	7.30%	4.47%	1.82%	0.22%	1.00%	2.05%	0.00%	2.42%	1.85%	2.25%	1.53%	1.65%	0.55%	4.47%	0.37%	2.89%	1.92%	1.56%	1.23%	0.00%	0.61%	1.73%	1.28%	2.16%	2.53%	0.00%	2.12%	1.88%	1.71%	0.91%	1.94%	0.00%	1.52%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
