Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Судогодская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
		1.77%	3.80%	2.43%	2.03%	2.27%	2.05%	1.25%	1.59%	0.91%	1.41%	0.37%	0.71%	0.48%	1.24%	5.01%	2.68%	1.36%	1.90%	1.58%	0.84%	0.00%	3.56%	0.65%	2.98%	4.05%	0.95%	1.87%	0.60%	1.20%	1.19%	0.00%	2.13%	1.62%	0.00%	0.89%	0.72%	1.43%	1.74%	4.50%	1.36%					
23	. Харитонов Николай Михайлович	3663	177	201	204	315	209	139	68	164	217	40	253	131	32	91	14	85	30	78	81	24	22	30	26	17	139	58	26	38	114	30	191	159	17	28	52	36	47	22	58					
		21.19%	22.41%	24.42%	24.40%	28.64%	25.24%	21.72%	21.66%	29.93%	21.79%	14.81%	30.01%	31.12%	7.96%	13.02%	12.50%	19.23%	18.99%	13.71%	13.61%	12.44%	8.70%	9.71%	15.48%	22.97%	26.38%	18.07%	15.48%	22.89%	19.35%	11.63%	29.07%	25.77%	20.00%	25.00%	18.71%	25.71%	13.66%	11.00%	13.15%					
																																														
24	Против всех	515	34	24	31	38	36	29	12	9	34	5	16	9	10	44	2	26	1	14	21	3	2	4	0	0	14	13	5	5	5	1	19	19	0	4	4	2	3	3	14					
		2.98%	4.30%	2.92%	3.71%	3.45%	4.35%	4.53%	3.82%	1.64%	3.41%	1.85%	1.90%	2.14%	2.49%	6.29%	1.79%	5.88%	0.63%	2.46%	3.53%	1.55%	0.79%	1.29%	0.00%	0.00%	2.66%	4.05%	2.98%	3.01%	0.85%	0.39%	2.89%	3.08%	0.00%	3.57%	1.44%	1.43%	0.87%	1.50%	3.17%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
