Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Таловская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640					
		0.62%	0.57%	0.63%	0.79%	1.23%	0.51%	0.36%	0.27%	0.63%	0.94%	0.90%	1.14%	1.02%	0.81%	0.21%	0.98%	0.00%	0.32%	0.55%	1.25%	1.14%	0.50%	0.28%	0.00%	0.39%	0.97%	0.80%	0.00%	0.00%	0.00%	1.54%	0.36%	0.21%	0.21%	0.00%	0.00%	0.21%	1.24%	1.02%	0.00%	0.17%					
21	. Путин Владимир Владимирович	17383	802	857	568	868	847	168	288	456	563	602	268	346	366	262	549	667	381	478	348	324	600	538	280	190	303	339	143	190	305	372	422	684	674	353	136	351	499	296	253	447					
		64.54%	57.49%	59.56%	56.13%	62.76%	61.33%	61.09%	77.63%	71.47%	58.52%	49.14%	76.57%	70.47%	73.94%	54.24%	66.95%	76.14%	61.06%	65.66%	54.38%	73.64%	60.00%	74.72%	63.64%	74.22%	48.79%	68.07%	64.41%	74.51%	68.85%	57.32%	76.73%	70.44%	69.84%	76.74%	66.34%	74.52%	56.32%	75.51%	78.33%	77.07%					
22	. Хакамада Ирина Муцуовна	497	35	40	28	46	28	9	9	9	10	33	9	4	7	2	7	8	12	8	9	9	8	14	4	3	17	15	12	7	11	15	10	13	17	5	3	0	8	2	2	9					
		1.85%	2.51%	2.78%	2.77%	3.33%	2.03%	3.27%	2.43%	1.41%	1.04%	2.69%	2.57%	0.81%	1.41%	0.41%	0.85%	0.91%	1.92%	1.10%	1.41%	2.05%	0.80%	1.94%	0.91%	1.17%	2.74%	3.01%	5.41%	2.75%	2.48%	2.31%	1.82%	1.34%	1.76%	1.09%	1.46%	0.00%	0.90%	0.51%	0.62%	1.55%					
23	. Харитонов Николай Михайлович	7000	421	392	324	346	412	66	61	132	333	453	48	108	86	194	206	159	198	204	243	81	311	122	123	49	245	100	43	40	92	189	97	209	196	78	52	90	304	65	51	77					
		25.99%	30.18%	27.24%	32.02%	25.02%	29.83%	24.00%	16.44%	20.69%	34.62%	36.98%	13.71%	22.00%	17.37%	40.17%	25.12%	18.15%	31.73%	28.02%	37.97%	18.41%	31.10%	16.94%	27.95%	19.14%	39.45%	20.08%	19.37%	15.69%	20.77%	29.12%	17.64%	21.52%	20.31%	16.96%	25.37%	19.11%	34.31%	16.58%	15.79%	13.28%					
																																															
24	Против всех	506	40	39	25	27	16	12	2	9	12	37	1	2	4	7	8	12	2	9	10	2	20	13	15	2	20	10	5	7	8	23	1	21	29	11	3	4	15	6	5	12					
		1.88%	2.87%	2.71%	2.47%	1.95%	1.16%	4.36%	0.54%	1.41%	1.25%	3.02%	0.29%	0.41%	0.81%	1.45%	0.98%	1.37%	0.32%	1.24%	1.56%	0.45%	2.00%	1.81%	3.41%	0.78%	3.22%	2.01%	2.25%	2.75%	1.81%	3.54%	0.18%	2.16%	3.01%	2.39%	1.46%	0.85%	1.69%	1.53%	1.55%	2.07%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
