Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Нурлатская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410					
11	Число полученных открепительных  удостоверений	500	20	8	10	10	10	6	10	6	10	12	12	8	8	8	8	16	8	17	8	5	12	8	15	12	12	8	22	15	18	12	22	20	15	12	10	6	6	15	15	12	6	7	12	8					
12	Число выданных открепительных удостоверений	80	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	1	1	2	0	6	1	2	0	8	9	2	1	22	1	3	0	0	0	0	0	0	3	0	0	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	3	0	0	3	0	3	4	0	2	0	1	3	2	7	5	0	0	0	0	0	0	0	1	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	420	18	7	9	10	10	6	9	6	10	12	11	8	8	8	8	13	7	17	7	4	10	8	9	11	10	8	14	6	16	11	0	19	12	12	10	6	6	15	15	9	6	7	4	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19012	934	185	204	250	348	129	320	177	332	513	468	220	356	296	334	661	267	706	305	164	438	386	620	554	555	382	1012	598	764	427	970	857	511	440	323	178	157	589	592	451	145	192	419	283					
		99.74%	99.79%	100.00%	100.00%	99.60%	100.00%	99.23%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	97.27%	100.00%	100.00%	99.70%	100.00%	100.00%	100.00%	100.00%	99.55%	99.23%	99.84%	99.82%	99.82%	100.00%	100.00%	100.00%	100.00%	99.07%	99.49%	100.00%	100.00%	99.77%	100.00%	100.00%	100.00%	98.66%	100.00%	99.56%	98.64%	98.97%	99.52%	100.00%					
22	. Хакамада Ирина Муцуовна	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	29	2	0	0	1	0	1	0	0	0	0	0	0	5	0	0	2	0	0	0	0	2	3	1	0	1	0	0	0	0	3	3	0	0	1	0	0	0	0	0	1	1	2	0	0					
		0.15%	0.21%	0.00%	0.00%	0.40%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.45%	0.77%	0.16%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.70%	0.31%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.68%	1.03%	0.00%	0.00%					
																																																			
24	Против всех	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
