Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Гиагинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
12	Число выданных открепительных удостоверений	50	1	6	9	5	0	0	2	8	4	1	2	0	0	0	0	1	0	0	0	4	0	0	0	4	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	0	6	0	2	2	1	0	2	3	0	0	0	0	0	2	1	0	1	1	3	0	1	0	2	5	0					
14	Число неиспользованных открепительных удостоверений	48	3	0	1	0	4	4	2	1	0	0	1	1	1	4	4	3	4	4	1	0	1	4	2	1	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	352	41	35	37	3	31	27	6	27	16	8	2	2	3	18	1	37	10	6	1	25	2	1	4	4	3	2					
		1.93%	2.30%	2.85%	2.89%	0.22%	2.94%	2.73%	0.83%	3.17%	2.31%	2.59%	0.36%	1.60%	3.75%	2.00%	0.10%	4.13%	1.87%	1.22%	1.16%	2.77%	1.49%	0.19%	2.35%	0.99%	0.27%	1.68%					
19	. Малышкин Олег Александрович	378	43	39	37	5	48	19	8	25	30	7	2	6	3	16	4	23	11	13	1	12	1	3	6	5	9	2					
		2.07%	2.42%	3.17%	2.89%	0.37%	4.55%	1.92%	1.11%	2.93%	4.33%	2.27%	0.36%	4.80%	3.75%	1.78%	0.41%	2.57%	2.06%	2.64%	1.16%	1.33%	0.75%	0.56%	3.53%	1.23%	0.82%	1.68%					
20	. Миронов Сергей Михайлович	92	8	5	4	9	10	4	4	5	7	1	3	0	2	4	1	2	0	1	1	4	4	6	0	2	4	1					
		0.50%	0.45%	0.41%	0.31%	0.67%	0.95%	0.40%	0.55%	0.59%	1.01%	0.32%	0.55%	0.00%	2.50%	0.45%	0.10%	0.22%	0.00%	0.20%	1.16%	0.44%	2.99%	1.12%	0.00%	0.49%	0.37%	0.84%					
21	. Путин Владимир Владимирович	14603	1536	942	1053	1201	673	706	553	539	381	268	470	101	55	752	926	756	402	412	57	771	111	448	145	324	944	77					
		80.01%	86.34%	76.59%	82.14%	89.23%	63.73%	71.39%	76.49%	63.26%	54.98%	86.73%	85.45%	80.80%	68.75%	83.74%	95.37%	84.47%	75.28%	83.74%	66.28%	85.48%	82.84%	83.27%	85.29%	80.00%	86.37%	64.71%					
22	. Хакамада Ирина Муцуовна	163	15	12	9	0	17	4	6	15	13	7	4	0	1	6	0	9	5	4	3	6	1	7	1	6	11	1					
		0.89%	0.84%	0.98%	0.70%	0.00%	1.61%	0.40%	0.83%	1.76%	1.88%	2.27%	0.73%	0.00%	1.25%	0.67%	0.00%	1.01%	0.94%	0.81%	3.49%	0.67%	0.75%	1.30%	0.59%	1.48%	1.01%	0.84%					
23	. Харитонов Николай Михайлович	2264	88	171	90	107	228	211	146	223	216	15	61	14	15	97	36	44	97	36	23	67	14	57	11	53	115	29					
		12.40%	4.95%	13.90%	7.02%	7.95%	21.59%	21.33%	20.19%	26.17%	31.17%	4.85%	11.09%	11.20%	18.75%	10.80%	3.71%	4.92%	18.16%	7.32%	26.74%	7.43%	10.45%	10.59%	6.47%	13.09%	10.52%	24.37%					
																																	
24	Против всех	257	35	21	38	0	38	12	0	14	21	3	8	0	1	5	3	17	6	8	0	12	0	6	1	6	0	2					
		1.41%	1.97%	1.71%	2.96%	0.00%	3.60%	1.21%	0.00%	1.64%	3.03%	0.97%	1.45%	0.00%	1.25%	0.56%	0.31%	1.90%	1.12%	1.63%	0.00%	1.33%	0.00%	1.12%	0.59%	1.48%	0.00%	1.68%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
