Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Игринская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845					
11	Число полученных открепительных  удостоверений	290	5	6	8	21	7	15	15	3	5	8	6	9	9	8	1	12	9	1	8	13	1	6	1	6	5	1	10	9	1	4	2	13	16	1	3	6	8	4	1	6	3	1	10	3	0					
12	Число выданных открепительных удостоверений	271	5	6	8	21	7	15	15	3	5	8	6	9	9	5	0	12	9	1	8	13	1	6	1	6	5	1	10	9	1	3	2	11	16	0	2	6	7	4	1	6	3	1	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	189	7	3	10	10	7	5	3	4	3	2	2	5	7	5	4	8	6	5	6	7	4	2	1	1	5	3	6	5	4	10	3	2	2	2	4	2	4	3	4	1	4	0	5	1	2					
14	Число неиспользованных открепительных удостоверений	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	0	0	0	0	0	6	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	759	46	32	47	63	54	55	27	10	15	18	30	17	42	16	3	38	15	0	9	43	3	35	1	7	3	6	4	13	6	16	11	14	5	7	1	10	8	4	12	2	2	4	5	0	0					
		3.34%	5.48%	4.31%	4.45%	4.86%	6.07%	4.45%	3.34%	2.42%	5.49%	2.80%	4.67%	3.52%	3.10%	3.09%	2.86%	4.05%	2.05%	0.00%	2.56%	4.65%	2.52%	4.31%	0.76%	2.33%	0.64%	1.60%	1.08%	2.35%	1.32%	2.85%	2.90%	1.76%	1.38%	2.95%	0.36%	2.30%	1.83%	2.35%	7.41%	0.72%	0.93%	2.15%	2.66%	0.00%	0.00%					
19	. Малышкин Олег Александрович	834	31	28	52	67	47	48	34	19	12	27	9	28	36	16	6	32	29	1	6	18	3	29	1	5	13	21	5	20	15	32	14	32	16	6	13	19	7	6	11	5	1	8	2	2	2					
		3.67%	3.69%	3.77%	4.93%	5.17%	5.29%	3.89%	4.20%	4.59%	4.40%	4.21%	1.40%	5.80%	2.66%	3.09%	5.71%	3.41%	3.97%	1.20%	1.70%	1.95%	2.52%	3.57%	0.76%	1.66%	2.79%	5.60%	1.35%	3.61%	3.29%	5.70%	3.69%	4.03%	4.41%	2.53%	4.66%	4.37%	1.60%	3.53%	6.79%	1.81%	0.47%	4.30%	1.06%	3.03%	3.51%					
20	. Миронов Сергей Михайлович	173	6	11	5	10	5	12	10	5	1	5	4	4	17	7	0	6	9	0	3	4	1	6	2	3	2	1	3	1	2	3	2	5	0	2	1	4	1	2	2	2	1	0	1	1	1					
		0.76%	0.71%	1.48%	0.47%	0.77%	0.56%	0.97%	1.24%	1.21%	0.37%	0.78%	0.62%	0.83%	1.25%	1.35%	0.00%	0.64%	1.23%	0.00%	0.85%	0.43%	0.84%	0.74%	1.53%	1.00%	0.43%	0.27%	0.81%	0.18%	0.44%	0.53%	0.53%	0.63%	0.00%	0.84%	0.36%	0.92%	0.23%	1.18%	1.23%	0.72%	0.47%	0.00%	0.53%	1.52%	1.75%					
21	. Путин Владимир Владимирович	17552	617	549	772	934	565	916	624	337	217	492	519	378	1081	387	81	737	553	77	293	744	96	630	110	264	386	274	307	427	365	434	305	604	286	193	232	352	350	133	114	242	165	141	168	58	43					
		77.26%	73.45%	73.99%	73.18%	72.12%	63.55%	74.17%	77.13%	81.40%	79.49%	76.64%	80.84%	78.26%	79.78%	74.71%	77.14%	78.57%	75.75%	92.77%	83.24%	80.43%	80.67%	77.49%	83.97%	87.71%	82.83%	73.07%	82.75%	77.08%	80.04%	77.36%	80.47%	75.97%	78.79%	81.43%	83.15%	80.92%	80.09%	78.24%	70.37%	87.36%	77.10%	75.81%	89.36%	87.88%	75.44%					
22	. Хакамада Ирина Муцуовна	480	21	24	33	47	25	37	15	6	8	16	13	10	31	8	2	19	12	0	7	13	2	14	3	3	6	3	3	11	8	9	11	16	5	5	4	3	7	3	4	2	3	2	1	2	3					
		2.11%	2.50%	3.23%	3.13%	3.63%	2.81%	3.00%	1.85%	1.45%	2.93%	2.49%	2.02%	2.07%	2.29%	1.54%	1.90%	2.03%	1.64%	0.00%	1.99%	1.41%	1.68%	1.72%	2.29%	1.00%	1.29%	0.80%	0.81%	1.99%	1.75%	1.60%	2.90%	2.01%	1.38%	2.11%	1.43%	0.69%	1.60%	1.76%	2.47%	0.72%	1.40%	1.08%	0.53%	3.03%	5.26%					
23	. Харитонов Николай Михайлович	2059	96	67	90	117	128	122	81	25	13	61	44	28	120	57	8	58	68	2	25	82	7	62	12	9	39	52	35	66	47	52	18	100	40	18	22	37	51	15	14	19	23	18	5	2	4					
		9.06%	11.43%	9.03%	8.53%	9.03%	14.40%	9.88%	10.01%	6.04%	4.76%	9.50%	6.85%	5.80%	8.86%	11.00%	7.62%	6.18%	9.32%	2.41%	7.10%	8.86%	5.88%	7.63%	9.16%	2.99%	8.37%	13.87%	9.43%	11.91%	10.31%	9.27%	4.75%	12.58%	11.02%	7.59%	7.89%	8.51%	11.67%	8.82%	8.64%	6.86%	10.75%	9.68%	2.66%	3.03%	7.02%					
																																																				
24	Против всех	492	13	24	37	34	56	39	11	4	4	14	10	4	15	11	2	36	21	2	1	13	1	23	1	4	4	11	6	7	8	11	6	11	5	2	4	3	6	3	2	3	6	9	1	0	4					
		2.17%	1.55%	3.23%	3.51%	2.63%	6.30%	3.16%	1.36%	0.97%	1.47%	2.18%	1.56%	0.83%	1.11%	2.12%	1.90%	3.84%	2.88%	2.41%	0.28%	1.41%	0.84%	2.83%	0.76%	1.33%	0.86%	2.93%	1.62%	1.26%	1.75%	1.96%	1.58%	1.38%	1.38%	0.84%	1.43%	0.69%	1.37%	1.76%	1.23%	1.08%	2.80%	4.84%	0.53%	0.00%	7.02%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
